,ENSCHAT00000051173_ENSCHAG00000021822,ENSCHAT00000051195_ENSCHAG00000021822,ENSCHAT00000051212_ENSCHAG00000021822,ENSCHAT00000051226_ENSCHAG00000021822,ENSCHAT00000051233_ENSCHAG00000021822,ENSDCDT00000070008_ENSDCDG00000033731,ENSDCDT00000070012_ENSDCDG00000033731,ENSDCDT00000070018_ENSDCDG00000033731,ENSDCDT00000070019_ENSDCDG00000033731,ENSDCDT00000070020_ENSDCDG00000033731,ENSEEET00000011207_ENSEEEG00000005614,ENSEEET00000011210_ENSEEEG00000005614,ENSIPUT00000023034_ENSIPUG00000014968,ENSIPUT00000023072_ENSIPUG00000014968,ENSAMXT00000015741_ENSAMXG00000015289
ENSCHAT00000051173_ENSCHAG00000021822,1.0,0.95,0.93,0.93,0.85,0.79,0.82,0.8,0.8,0.79,0.79,0.77,0.79,0.77,0.79
ENSCHAT00000051195_ENSCHAG00000021822,0.95,1.0,0.99,0.98,0.87,0.76,0.8,0.81,0.8,0.79,0.77,0.76,0.76,0.75,0.77
ENSCHAT00000051212_ENSCHAG00000021822,0.93,0.99,1.0,0.96,0.85,0.75,0.79,0.8,0.79,0.8,0.76,0.75,0.75,0.74,0.76
ENSCHAT00000051226_ENSCHAG00000021822,0.93,0.98,0.96,1.0,0.89,0.76,0.79,0.81,0.82,0.81,0.76,0.77,0.75,0.74,0.77
ENSCHAT00000051233_ENSCHAG00000021822,0.85,0.87,0.85,0.89,1.0,0.69,0.73,0.72,0.75,0.74,0.7,0.7,0.69,0.68,0.7
ENSDCDT00000070008_ENSDCDG00000033731,0.79,0.76,0.75,0.76,0.69,1.0,0.96,0.91,0.9,0.89,0.75,0.72,0.74,0.73,0.75
ENSDCDT00000070012_ENSDCDG00000033731,0.82,0.8,0.79,0.79,0.73,0.96,1.0,0.95,0.95,0.93,0.78,0.76,0.78,0.76,0.78
ENSDCDT00000070018_ENSDCDG00000033731,0.8,0.81,0.8,0.81,0.72,0.91,0.95,1.0,0.93,0.92,0.76,0.75,0.75,0.74,0.76
ENSDCDT00000070019_ENSDCDG00000033731,0.8,0.8,0.79,0.82,0.75,0.9,0.95,0.93,1.0,0.99,0.76,0.76,0.76,0.74,0.78
ENSDCDT00000070020_ENSDCDG00000033731,0.79,0.79,0.8,0.81,0.74,0.89,0.93,0.92,0.99,1.0,0.76,0.76,0.75,0.74,0.77
ENSEEET00000011207_ENSEEEG00000005614,0.79,0.77,0.76,0.76,0.7,0.75,0.78,0.76,0.76,0.76,1.0,0.96,0.84,0.83,0.84
ENSEEET00000011210_ENSEEEG00000005614,0.77,0.76,0.75,0.77,0.7,0.72,0.76,0.75,0.76,0.76,0.96,1.0,0.81,0.8,0.81
ENSIPUT00000023034_ENSIPUG00000014968,0.79,0.76,0.75,0.75,0.69,0.74,0.78,0.75,0.76,0.75,0.84,0.81,1.0,0.98,0.85
ENSIPUT00000023072_ENSIPUG00000014968,0.77,0.75,0.74,0.74,0.68,0.73,0.76,0.74,0.74,0.74,0.83,0.8,0.98,1.0,0.83
ENSAMXT00000015741_ENSAMXG00000015289,0.79,0.77,0.76,0.77,0.7,0.75,0.78,0.76,0.78,0.77,0.84,0.81,0.85,0.83,1.0
