,FBtr0300420_FBgn0028577,FBtr0072708_FBgn0028577,FBtr0072707_FBgn0028577,FBtr0072710_FBgn0028577,FBtr0301523_FBgn0028577,FBtr0300419_FBgn0028577,FBtr0072709_FBgn0028577,FBtr0300417_FBgn0028577,FBtr0300416_FBgn0028577,FBtr0300418_FBgn0028577,ENSPKIT00000012740_ENSPKIG00000012204,ENSPKIT00000012769_ENSPKIG00000012204,ENSPKIT00000012794_ENSPKIG00000012204,ENSPKIT00000012808_ENSPKIG00000012204,ENSSFOT00015030523_ENSSFOG00015019371,ENSSFOT00015030544_ENSSFOG00015019371,ENSSFOT00015030565_ENSSFOG00015019371,ENSSMAT00000027126_ENSSMAG00000016381,ENSCSET00000031474_ENSCSEG00000019887,ENSPFOT00000019355_ENSPFOG00000019217,ENSPLAT00000003249_ENSPLAG00000010754,ENSPLAT00000003261_ENSPLAG00000010754,ENSPMET00000027307_ENSPMEG00000000838,ENSPMET00000027330_ENSPMEG00000000838,ENSPMET00000034122_ENSPMEG00000000838,ENSPRET00000008343_ENSPREG00000005440,ENSPRET00000008381_ENSPREG00000005440,ENSPRET00000008396_ENSPREG00000005440,ENSXMAT00000033745_ENSXMAG00000001862,ENSXMAT00000001864_ENSXMAG00000001862,ENSXMAT00000026940_ENSXMAG00000001862,ENSXCOT00000016559_ENSXCOG00000012355,ENSGAFT00000031529_ENSGAFG00000021040,ENSGAFT00000031530_ENSGAFG00000021040,ENSFHET00000027134_ENSFHEG00000020046,ENSFHET00000027147_ENSFHEG00000020046,ENSFHET00000034279_ENSFHEG00000020046,ENSCVAT00000002844_ENSCVAG00000009386,ENSCVAT00000002857_ENSCVAG00000009386,ENSCVAT00000002865_ENSCVAG00000009386,ENSCVAT00000002872_ENSCVAG00000009386,ENSKMAT00000022857_ENSKMAG00000016745
FBtr0300420_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0072708_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0072707_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0072710_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0301523_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0300419_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0072709_FBgn0028577,0.92,0.92,0.92,0.92,0.92,0.92,1.0,0.92,0.92,0.92,0.52,0.5,0.52,0.52,0.49,0.48,0.53,0.39,0.47,0.48,0.51,0.52,0.52,0.51,0.48,0.49,0.52,0.53,0.51,0.48,0.49,0.52,0.51,0.47,0.5,0.51,0.52,0.51,0.51,0.51,0.52,0.51
FBtr0300417_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0300416_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
FBtr0300418_FBgn0028577,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.59,0.57,0.59,0.59,0.56,0.55,0.59,0.46,0.54,0.55,0.58,0.59,0.59,0.58,0.55,0.56,0.59,0.58,0.58,0.55,0.56,0.59,0.58,0.54,0.57,0.58,0.59,0.58,0.58,0.58,0.59,0.58
