,FBtr0071132_FBgn0029979,FBtr0344137_FBgn0029979,FBtr0309319_FBgn0003261,FBtr0078651_FBgn0003261,FBtr0078654_FBgn0003261,FBtr0309322_FBgn0003261,FBtr0309321_FBgn0003261,FBtr0078649_FBgn0003261,FBtr0078650_FBgn0003261,FBtr0309320_FBgn0003261,FBtr0078653_FBgn0003261,FBtr0302597_FBgn0003261,FBtr0078652_FBgn0003261,FBtr0301947_FBgn0003261,FBtr0308654_FBgn0029880
FBtr0071132_FBgn0029979,1.0,0.83,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.08,0.21,0.21,0.06,0.07,0.3
FBtr0344137_FBgn0029979,0.83,1.0,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.08,0.21,0.21,0.06,0.07,0.3
FBtr0309319_FBgn0003261,0.08,0.08,1.0,0.21,0.21,0.5,0.5,0.21,0.42,0.5,0.19,0.19,0.29,0.42,0.07
FBtr0078651_FBgn0003261,0.07,0.07,0.21,1.0,1.0,0.21,0.21,1.0,0.58,0.21,0.5,0.5,0.5,0.58,0.06
FBtr0078654_FBgn0003261,0.07,0.07,0.21,1.0,1.0,0.21,0.21,1.0,0.58,0.21,0.5,0.5,0.5,0.58,0.06
FBtr0309322_FBgn0003261,0.08,0.08,0.5,0.21,0.21,1.0,0.5,0.21,0.42,0.75,0.19,0.19,0.29,0.42,0.07
FBtr0309321_FBgn0003261,0.08,0.08,0.5,0.21,0.21,0.5,1.0,0.21,0.42,0.5,0.19,0.19,0.29,0.42,0.07
FBtr0078649_FBgn0003261,0.07,0.07,0.21,1.0,1.0,0.21,0.21,1.0,0.58,0.21,0.5,0.5,0.5,0.58,0.06
FBtr0078650_FBgn0003261,0.07,0.07,0.42,0.58,0.58,0.42,0.42,0.58,1.0,0.42,0.5,0.5,0.67,0.9,0.06
FBtr0309320_FBgn0003261,0.08,0.08,0.5,0.21,0.21,0.75,0.5,0.21,0.42,1.0,0.19,0.19,0.29,0.42,0.07
FBtr0078653_FBgn0003261,0.21,0.21,0.19,0.5,0.5,0.19,0.19,0.5,0.5,0.19,1.0,0.92,0.44,0.5,0.19
FBtr0302597_FBgn0003261,0.21,0.21,0.19,0.5,0.5,0.19,0.19,0.5,0.5,0.19,0.92,1.0,0.44,0.5,0.19
FBtr0078652_FBgn0003261,0.06,0.06,0.29,0.5,0.5,0.29,0.29,0.5,0.67,0.29,0.44,0.44,1.0,0.67,0.06
FBtr0301947_FBgn0003261,0.07,0.07,0.42,0.58,0.58,0.42,0.42,0.58,0.9,0.42,0.5,0.5,0.67,1.0,0.06
FBtr0308654_FBgn0029880,0.3,0.3,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.07,0.19,0.19,0.06,0.06,1.0
