,ENSSHAT00000007634_ENSSHAG00000006580,ENSMODT00000041963_ENSMODG00000027692,ENSMODT00000081845_ENSMODG00000027692,ENSMODT00000062926_ENSMODG00000027692,ENSMODT00000011853_ENSMODG00000009310,ENSPTRT00000107020_ENSPTRG00000046614,ENSPTRT00000103593_ENSPTRG00000046614,ENSPPAT00000015700_ENSPPAG00000014326,ENSPPAT00000015714_ENSPPAG00000014326,ENSGGOT00000065765_ENSGGOG00000043704,ENSGGOT00000064764_ENSGGOG00000043704,ENST00000442687_ENSG00000239642
ENSSHAT00000007634_ENSSHAG00000006580,1.0,0.65,0.65,0.66,0.19,0.48,0.46,0.48,0.46,0.48,0.46,0.48
ENSMODT00000041963_ENSMODG00000027692,0.65,1.0,0.89,0.9,0.14,0.51,0.48,0.51,0.49,0.51,0.48,0.51
ENSMODT00000081845_ENSMODG00000027692,0.65,0.89,1.0,0.92,0.12,0.52,0.5,0.52,0.51,0.53,0.5,0.53
ENSMODT00000062926_ENSMODG00000027692,0.66,0.9,0.92,1.0,0.13,0.56,0.53,0.56,0.52,0.56,0.53,0.56
ENSMODT00000011853_ENSMODG00000009310,0.19,0.14,0.12,0.13,1.0,0.23,0.26,0.23,0.26,0.23,0.26,0.23
ENSPTRT00000107020_ENSPTRG00000046614,0.48,0.51,0.52,0.56,0.23,1.0,0.94,0.98,0.92,0.98,0.94,0.98
ENSPTRT00000103593_ENSPTRG00000046614,0.46,0.48,0.5,0.53,0.26,0.94,1.0,0.94,0.96,0.94,0.98,0.94
ENSPPAT00000015700_ENSPPAG00000014326,0.48,0.51,0.52,0.56,0.23,0.98,0.94,1.0,0.92,0.98,0.94,0.98
ENSPPAT00000015714_ENSPPAG00000014326,0.46,0.49,0.51,0.52,0.26,0.92,0.96,0.92,1.0,0.91,0.96,0.91
ENSGGOT00000065765_ENSGGOG00000043704,0.48,0.51,0.53,0.56,0.23,0.98,0.94,0.98,0.91,1.0,0.94,0.98
ENSGGOT00000064764_ENSGGOG00000043704,0.46,0.48,0.5,0.53,0.26,0.94,0.98,0.94,0.96,0.94,1.0,0.94
ENST00000442687_ENSG00000239642,0.48,0.51,0.53,0.56,0.23,0.98,0.94,0.98,0.91,0.98,0.94,1.0
