,ENSCHAT00000035784_ENSCHAG00000015727,ENSCHAT00000035868_ENSCHAG00000015727,ENSCHAT00000035892_ENSCHAG00000015727,ENSDCDT00000039808_ENSDCDG00000021467,ENSDCDT00000039811_ENSDCDG00000021467,ENSEEET00000024157_ENSEEEG00000011580,ENSEEET00000024158_ENSEEEG00000011580,ENSEEET00000024161_ENSEEEG00000011580,ENSIPUT00000014631_ENSIPUG00000009584,ENSPNAT00000022921_ENSPNAG00000020833,ENSAMXT00000010873_ENSAMXG00000010584,ENSDART00000158046_ENSDARG00000102167,ENSDART00000180030_ENSDARG00000102167,ENSHHUT00000020049_ENSHHUG00000012084,ENSHHUT00000058392_ENSHHUG00000033688,ENSELUT00000034877_ENSELUG00000022493,ENSXMAT00000042306_ENSXMAG00000026912,ENSXCOT00000011951_ENSXCOG00000008931,ENSPRET00000027115_ENSPREG00000018136,ENSPFOT00000000113_ENSPFOG00000000128,ENSPLAT00000022559_ENSPLAG00000017965,ENSCVAT00000020604_ENSCVAG00000015584,ENSCVAT00000030617_ENSCVAG00000015584
ENSCHAT00000035784_ENSCHAG00000015727,1.0,0.67,0.58,0.71,0.62,0.71,0.58,0.62,0.71,0.71,0.54,0.71,0.71,0.67,0.54,0.67,0.67,0.23,0.67,0.36,0.27,0.67,0.67
ENSCHAT00000035868_ENSCHAG00000015727,0.67,1.0,0.65,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,0.67,0.54,0.67,0.67,0.23,0.67,0.29,0.25,0.67,0.67
ENSCHAT00000035892_ENSCHAG00000015727,0.58,0.65,1.0,0.62,0.54,0.62,0.5,0.46,0.62,0.62,0.46,0.62,0.62,0.58,0.46,0.58,0.58,0.21,0.58,0.23,0.19,0.58,0.58
ENSDCDT00000039808_ENSDCDG00000021467,0.71,0.71,0.62,1.0,0.67,0.75,0.62,0.58,0.75,0.75,0.58,0.75,0.75,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.25,0.71,0.71
ENSDCDT00000039811_ENSDCDG00000021467,0.62,0.62,0.54,0.67,1.0,0.67,0.54,0.54,0.67,0.67,0.5,0.67,0.67,0.62,0.5,0.62,0.62,0.19,0.62,0.36,0.27,0.62,0.62
ENSEEET00000024157_ENSEEEG00000011580,0.71,0.71,0.62,0.75,0.67,1.0,0.62,0.58,0.75,0.75,0.58,0.75,0.75,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.25,0.71,0.71
ENSEEET00000024158_ENSEEEG00000011580,0.58,0.58,0.5,0.62,0.54,0.62,1.0,0.46,0.62,0.62,0.54,0.62,0.62,0.58,0.54,0.58,0.58,0.25,0.58,0.23,0.15,0.58,0.58
ENSEEET00000024161_ENSEEEG00000011580,0.62,0.54,0.46,0.58,0.54,0.58,0.46,1.0,0.58,0.58,0.42,0.58,0.58,0.54,0.42,0.54,0.54,0.14,0.54,0.36,0.27,0.54,0.54
ENSIPUT00000014631_ENSIPUG00000009584,0.71,0.71,0.62,0.75,0.67,0.75,0.62,0.58,1.0,0.75,0.58,0.75,0.75,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.25,0.71,0.71
ENSPNAT00000022921_ENSPNAG00000020833,0.71,0.71,0.62,0.75,0.67,0.75,0.62,0.58,0.75,1.0,0.58,0.75,0.75,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.25,0.71,0.71
