,FBtr0083574_FBgn0038597,F13H8.2.1_WBGene00017435,ENSHHUT00000086643_ENSHHUG00000048727,ENSPMAT00000000993_ENSPMAG00000000901,ENSCINT00000010464_ENSCING00000005068,ENSVURT00010012105_ENSVURG00010008236,ENSPCIT00000001448_ENSPCIG00000000938,ENSPCIT00000001468_ENSPCIG00000000938,ENSPCIT00000001481_ENSPCIG00000000938,ENSMEUT00000009728_ENSMEUG00000009673,ENSSHAT00000005980_ENSSHAG00000005169,ENSMODT00000006596_ENSMODG00000005243,ENSMODT00000069443_ENSMODG00000005243,ENSMNET00000057020_ENSMNEG00000039555,ENSMNET00000057027_ENSMNEG00000039555,ENSMNET00000057029_ENSMNEG00000039555,ENSMMUT00000011907_ENSMMUG00000008513,ENSMMUT00000011909_ENSMMUG00000008513,ENSMFAT00000010854_ENSMFAG00000034570,ENSMFAT00000010868_ENSMFAG00000034570,ENSMFAT00000010872_ENSMFAG00000034570,ENSTGET00000012016_ENSTGEG00000008189,ENSPANT00000023899_ENSPANG00000020680,ENSPANT00000023900_ENSPANG00000020680,ENSPANT00000056404_ENSPANG00000020680,ENSMLET00000046235_ENSMLEG00000035516,ENSMLET00000046250_ENSMLEG00000035516,ENSMLET00000046256_ENSMLEG00000035516,ENSCATT00000051977_ENSCATG00000037200,ENSCATT00000051978_ENSCATG00000037200,ENSCATT00000051980_ENSCATG00000037200,ENSCSAT00000016824_ENSCSAG00000001705,ENSPTET00000048345_ENSPTEG00000033520
FBtr0083574_FBgn0038597,1.0,0.16,0.2,0.23,0.15,0.15,0.13,0.11,0.15,0.13,0.15,0.15,0.15,0.15,0.15,0.22,0.15,0.15,0.15,0.15,0.22,0.15,0.15,0.15,0.22,0.15,0.15,0.22,0.15,0.15,0.22,0.15,0.15
F13H8.2.1_WBGene00017435,0.16,1.0,0.21,0.32,0.2,0.23,0.21,0.21,0.23,0.19,0.23,0.24,0.22,0.24,0.24,0.18,0.24,0.24,0.24,0.24,0.18,0.24,0.24,0.24,0.18,0.24,0.24,0.18,0.24,0.24,0.18,0.24,0.24
ENSHHUT00000086643_ENSHHUG00000048727,0.2,0.21,1.0,0.22,0.17,0.2,0.18,0.18,0.2,0.19,0.2,0.2,0.21,0.2,0.2,0.26,0.2,0.2,0.2,0.2,0.26,0.2,0.2,0.2,0.26,0.2,0.2,0.26,0.2,0.2,0.26,0.2,0.2
ENSPMAT00000000993_ENSPMAG00000000901,0.23,0.32,0.22,1.0,0.26,0.28,0.25,0.23,0.28,0.21,0.26,0.28,0.26,0.28,0.28,0.24,0.28,0.28,0.28,0.28,0.24,0.28,0.28,0.28,0.24,0.28,0.28,0.24,0.28,0.28,0.24,0.28,0.28
ENSCINT00000010464_ENSCING00000005068,0.15,0.2,0.17,0.26,1.0,0.39,0.38,0.36,0.39,0.26,0.38,0.39,0.41,0.39,0.35,0.17,0.39,0.39,0.39,0.35,0.17,0.39,0.39,0.35,0.17,0.39,0.35,0.17,0.39,0.39,0.17,0.39,0.39
ENSVURT00010012105_ENSVURG00010008236,0.15,0.23,0.2,0.28,0.39,1.0,0.85,0.81,0.91,0.47,0.8,0.91,0.88,0.9,0.75,0.17,0.9,0.83,0.9,0.75,0.17,0.9,0.9,0.75,0.17,0.9,0.75,0.17,0.9,0.83,0.17,0.9,0.9
ENSPCIT00000001448_ENSPCIG00000000938,0.13,0.21,0.18,0.25,0.38,0.85,1.0,0.89,0.86,0.44,0.76,0.85,0.83,0.85,0.7,0.15,0.85,0.78,0.85,0.7,0.15,0.85,0.85,0.7,0.15,0.85,0.7,0.15,0.85,0.78,0.15,0.85,0.85
ENSPCIT00000001468_ENSPCIG00000000938,0.11,0.21,0.18,0.23,0.36,0.81,0.89,1.0,0.81,0.45,0.72,0.81,0.79,0.81,0.68,0.15,0.81,0.75,0.81,0.68,0.15,0.81,0.81,0.68,0.15,0.81,0.68,0.15,0.81,0.75,0.15,0.81,0.81
ENSPCIT00000001481_ENSPCIG00000000938,0.15,0.23,0.2,0.28,0.39,0.91,0.86,0.81,1.0,0.47,0.8,0.91,0.88,0.9,0.75,0.17,0.9,0.83,0.9,0.75,0.17,0.9,0.9,0.75,0.17,0.9,0.75,0.17,0.9,0.83,0.17,0.9,0.9
ENSMEUT00000009728_ENSMEUG00000009673,0.13,0.19,0.19,0.21,0.26,0.47,0.44,0.45,0.47,1.0,0.43,0.47,0.48,0.47,0.42,0.17,0.47,0.43,0.47,0.42,0.17,0.47,0.47,0.42,0.17,0.47,0.42,0.17,0.47,0.43,0.17,0.47,0.47
