,FBtr0077685_FBgn0051694,F58B3.6.1_WBGene00010232,ENSOANT00000005620_ENSOANG00000003546,ENSVURT00010014025_ENSVURG00010009503,ENSVURT00010014039_ENSVURG00010009503,ENSPCIT00000019958_ENSPCIG00000012498,ENSPCIT00000058566_ENSPCIG00000012498,ENSPCIT00000063516_ENSPCIG00000012498,ENSMEUT00000014109_ENSMEUG00000014064,ENSSHAT00000017059_ENSSHAG00000014390,ENSSHAT00000017060_ENSSHAG00000014390,ENSMODT00000020216_ENSMODG00000015916,ENSLAFT00000004166_ENSLAFG00000004167,ENSLAFT00000029713_ENSLAFG00000004167,ENSPCAT00000013376_ENSPCAG00000013362,ENSETET00000019162_ENSETEG00000019162,ENSPPAT00000063600_ENSPPAG00000042969,ENSPTRT00000093690_ENSPTRG00000019601,ENSPTRT00000089084_ENSPTRG00000019601,ENST00000432734_ENSG00000006652,ENST00000005558_ENSG00000006652,ENST00000443101_ENSG00000006652,ENST00000445335_ENSG00000006652,ENST00000417662_ENSG00000006652,ENST00000403825_ENSG00000006652,ENST00000429071_ENSG00000006652,ENST00000476927_ENSG00000006652,ENST00000440625_ENSG00000006652,ENST00000621379_ENSG00000006652,ENST00000535603_ENSG00000006652,ENSGGOT00000030418_ENSGGOG00000000718,ENSGGOT00000049977_ENSGGOG00000000718,ENSGGOT00000000723_ENSGGOG00000000718,ENSPPYT00000033253_ENSPPYG00000029715,ENSNLET00000014451_ENSNLEG00000011280,ENSNLET00000041149_ENSNLEG00000011280,ENSMMUT00000096258_ENSMMUG00000008033,ENSMMUT00000076969_ENSMMUG00000052812,ENSMFAT00000002238_ENSMFAG00000045385,ENSMNET00000069071_ENSMNEG00000044857,ENSMNET00000069077_ENSMNEG00000044857,ENSCATT00000058979_ENSCATG00000040248,ENSMLET00000040590_ENSMLEG00000032760,ENSMLET00000040592_ENSMLEG00000032760,ENSMLET00000040599_ENSMLEG00000032760,ENSTGET00000022507_ENSTGEG00000015223,ENSTGET00000022515_ENSTGEG00000015223,ENSPANT00000054433_ENSPANG00000021877,ENSCSAT00000009208_ENSCSAG00000011121,ENSPTET00000029704_ENSPTEG00000021693
FBtr0077685_FBgn0051694,1.0,0.28,0.24,0.21,0.18,0.21,0.25,0.18,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.18,0.22,0.19,0.21,0.18,0.18,0.19,0.21,0.18,0.18,0.18,0.22,0.22,0.21,0.18,0.22,0.18,0.21,0.18,0.21,0.19,0.18,0.21,0.18,0.18,0.21,0.18,0.21,0.21,0.18,0.18,0.21,0.21
F58B3.6.1_WBGene00010232,0.28,1.0,0.32,0.25,0.18,0.25,0.25,0.18,0.23,0.24,0.25,0.25,0.24,0.25,0.25,0.21,0.18,0.18,0.26,0.19,0.25,0.19,0.18,0.19,0.25,0.18,0.18,0.18,0.26,0.26,0.25,0.18,0.26,0.22,0.25,0.18,0.25,0.19,0.18,0.25,0.18,0.18,0.25,0.18,0.25,0.25,0.18,0.18,0.25,0.25
ENSOANT00000005620_ENSOANG00000003546,0.24,0.32,1.0,0.39,0.19,0.39,0.39,0.19,0.29,0.38,0.39,0.39,0.38,0.39,0.34,0.27,0.19,0.19,0.41,0.19,0.39,0.19,0.19,0.19,0.39,0.19,0.19,0.19,0.41,0.41,0.39,0.19,0.41,0.36,0.39,0.19,0.39,0.33,0.19,0.39,0.19,0.19,0.39,0.19,0.39,0.39,0.19,0.19,0.39,0.39
ENSVURT00010014025_ENSVURG00010009503,0.21,0.25,0.39,1.0,0.45,0.86,0.73,0.44,0.34,0.77,0.86,0.86,0.76,0.85,0.73,0.53,0.44,0.45,0.74,0.26,0.85,0.26,0.3,0.26,0.85,0.44,0.4,0.4,0.74,0.74,0.85,0.45,0.74,0.81,0.85,0.45,0.85,0.26,0.44,0.85,0.45,0.44,0.73,0.37,0.69,0.85,0.45,0.44,0.85,0.85
ENSVURT00010014039_ENSVURG00010009503,0.18,0.18,0.19,0.45,1.0,0.45,0.37,0.8,0.22,0.4,0.45,0.45,0.4,0.45,0.42,0.45,0.76,0.84,0.36,0.36,0.45,0.36,0.44,0.36,0.45,0.76,0.53,0.53,0.36,0.36,0.45,0.84,0.36,0.48,0.45,0.84,0.45,0.19,0.76,0.45,0.84,0.76,0.37,0.6,0.34,0.45,0.84,0.76,0.45,0.45
ENSPCIT00000019958_ENSPCIG00000012498,0.21,0.25,0.39,0.86,0.45,1.0,0.73,0.44,0.34,0.77,0.86,0.86,0.77,0.85,0.73,0.53,0.44,0.45,0.74,0.26,0.85,0.26,0.3,0.26,0.85,0.44,0.4,0.41,0.74,0.74,0.85,0.45,0.74,0.81,0.85,0.45,0.85,0.26,0.44,0.85,0.45,0.44,0.73,0.37,0.69,0.85,0.45,0.44,0.85,0.85
ENSPCIT00000058566_ENSPCIG00000012498,0.25,0.25,0.39,0.73,0.37,0.73,1.0,0.36,0.29,0.66,0.73,0.73,0.66,0.73,0.66,0.45,0.36,0.37,0.74,0.18,0.73,0.26,0.22,0.19,0.73,0.36,0.4,0.41,0.74,0.74,0.73,0.37,0.74,0.69,0.73,0.37,0.73,0.26,0.36,0.73,0.37,0.36,0.73,0.37,0.69,0.73,0.37,0.36,0.73,0.73
ENSPCIT00000063516_ENSPCIG00000012498,0.18,0.18,0.19,0.44,0.8,0.44,0.36,1.0,0.22,0.39,0.44,0.44,0.39,0.44,0.4,0.44,0.66,0.73,0.34,0.33,0.44,0.33,0.4,0.33,0.44,0.66,0.49,0.48,0.34,0.34,0.44,0.73,0.34,0.45,0.44,0.73,0.44,0.19,0.66,0.44,0.73,0.66,0.36,0.54,0.33,0.44,0.73,0.66,0.44,0.44
ENSMEUT00000014109_ENSMEUG00000014064,0.2,0.23,0.29,0.34,0.22,0.34,0.29,0.22,1.0,0.33,0.34,0.34,0.33,0.34,0.29,0.28,0.23,0.22,0.3,0.24,0.34,0.18,0.23,0.24,0.34,0.23,0.18,0.18,0.3,0.3,0.34,0.22,0.3,0.32,0.34,0.22,0.34,0.24,0.23,0.34,0.22,0.23,0.29,0.18,0.29,0.34,0.22,0.23,0.34,0.34
ENSSHAT00000017059_ENSSHAG00000014390,0.21,0.24,0.38,0.77,0.4,0.77,0.66,0.39,0.33,1.0,0.77,0.77,0.69,0.77,0.66,0.49,0.39,0.4,0.66,0.25,0.77,0.25,0.28,0.25,0.77,0.39,0.36,0.36,0.66,0.66,0.77,0.4,0.66,0.73,0.77,0.4,0.77,0.25,0.39,0.77,0.4,0.39,0.66,0.33,0.63,0.77,0.4,0.39,0.77,0.77
