,ENSPTRT00000097157_ENSPTRG00000049529,ENSPTRT00000088077_ENSPTRG00000045418,ENSPTRT00000086603_ENSPTRG00000050484,ENSPTRT00000098439_ENSPTRG00000051023,ENSPTRT00000095420_ENSPTRG00000049606,ENSPTRT00000091009_ENSPTRG00000047969,ENSPTRT00000089054_ENSPTRG00000048167,ENSPPAT00000024879_ENSPPAG00000022685,ENSPTRT00000078128_ENSPTRG00000045444,ENSPTRT00000098683_ENSPTRG00000046400,ENSGGOT00000051478_ENSGGOG00000038097,ENSNLET00000046344_ENSNLEG00000035606,ENST00000407184_ENSG00000272968,ENST00000396904_ENSG00000272968,ENSCCNT00000032594_ENSCCNG00000024980,ENSFCAT00000067972_ENSFCAG00000048020
ENSPTRT00000097157_ENSPTRG00000049529,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000088077_ENSPTRG00000045418,0.95,1.0,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000086603_ENSPTRG00000050484,0.95,0.95,1.0,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000098439_ENSPTRG00000051023,0.95,0.95,0.95,1.0,0.95,0.95,0.95,0.9,0.95,0.95,0.94,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000095420_ENSPTRG00000049606,0.95,0.95,0.95,0.95,1.0,0.95,0.95,0.9,0.95,0.95,0.94,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000091009_ENSPTRG00000047969,0.95,0.95,0.95,0.95,0.95,1.0,0.95,0.9,0.95,0.95,0.95,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000089054_ENSPTRG00000048167,0.95,0.95,0.95,0.95,0.95,0.95,1.0,0.9,0.95,0.95,0.95,0.95,0.42,0.64,0.66,0.43
ENSPPAT00000024879_ENSPPAG00000022685,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.89,0.89,0.89,0.89,0.42,0.65,0.66,0.43
ENSPTRT00000078128_ENSPTRG00000045444,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.89,1.0,0.95,0.94,0.95,0.42,0.64,0.66,0.43
ENSPTRT00000098683_ENSPTRG00000046400,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.89,0.95,1.0,0.94,0.95,0.42,0.64,0.66,0.43
ENSGGOT00000051478_ENSGGOG00000038097,0.95,0.95,0.95,0.94,0.94,0.95,0.95,0.89,0.94,0.94,1.0,0.95,0.42,0.64,0.66,0.43
ENSNLET00000046344_ENSNLEG00000035606,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.89,0.95,0.95,0.95,1.0,0.42,0.64,0.66,0.43
ENST00000407184_ENSG00000272968,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,1.0,0.65,0.38,0.24
ENST00000396904_ENSG00000272968,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.64,0.64,0.64,0.64,0.65,1.0,0.6,0.46
ENSCCNT00000032594_ENSCCNG00000024980,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.38,0.6,1.0,0.38
ENSFCAT00000067972_ENSFCAG00000048020,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.24,0.46,0.38,1.0
