,Y57G11C.25.1_WBGene00013319,F38C2.5.1_WBGene00009537,F52E1.1.1_WBGene00004078,C35D6.4.1_WBGene00007961,Y60A9.3.1_WBGene00013370,F38C2.7.1_WBGene00009539,Y116A8C.19.1_WBGene00013796,Y116A8C.20.1_WBGene00013797,Y116A8C.17.1_WBGene00013794,Y116A8C.17.2_WBGene00013794
Y57G11C.25.1_WBGene00013319,1.0,0.57,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26
F38C2.5.1_WBGene00009537,0.57,1.0,0.25,0.27,0.27,0.27,0.28,0.27,0.27,0.27
F52E1.1.1_WBGene00004078,0.26,0.25,1.0,0.05,0.05,0.05,0.04,0.05,0.04,0.04
C35D6.4.1_WBGene00007961,0.26,0.27,0.05,1.0,0.59,0.59,0.57,0.57,0.56,0.56
Y60A9.3.1_WBGene00013370,0.26,0.27,0.05,0.59,1.0,0.59,0.57,0.57,0.56,0.56
F38C2.7.1_WBGene00009539,0.26,0.27,0.05,0.59,0.59,1.0,0.57,0.57,0.56,0.56
Y116A8C.19.1_WBGene00013796,0.27,0.28,0.04,0.57,0.57,0.57,1.0,0.57,0.56,0.56
Y116A8C.20.1_WBGene00013797,0.26,0.27,0.05,0.57,0.57,0.57,0.57,1.0,0.57,0.57
Y116A8C.17.1_WBGene00013794,0.26,0.27,0.04,0.56,0.56,0.56,0.56,0.57,1.0,0.6
Y116A8C.17.2_WBGene00013794,0.26,0.27,0.04,0.56,0.56,0.56,0.56,0.57,0.6,1.0
