,ENSAOWT00000005520_ENSAOWG00000003321,ENSAOWT00000005572_ENSAOWG00000003321,ENSAOWT00000005573_ENSAOWG00000003321,ENSARWT00000012595_ENSARWG00000007561,ENSARWT00000012696_ENSARWG00000007561,ENSARWT00000012697_ENSARWG00000007561,ENSAHAT00000018484_ENSAHAG00000011917,ENSAHAT00000018486_ENSAHAG00000011917,ENSAHAT00000018489_ENSAHAG00000011917,ENSAHAT00000018491_ENSAHAG00000011917,ENSDNVT00000020613_ENSDNVG00000011993,ENSDNVT00000020619_ENSDNVG00000011993,ENSDNVT00000020625_ENSDNVG00000011993,ENSNPET00000007897_ENSNPEG00000005764,ENSNPET00000007902_ENSNPEG00000005764
ENSAOWT00000005520_ENSAOWG00000003321,1.0,0.9,0.84,1.0,0.9,0.84,0.88,0.9,0.93,0.84,0.89,0.92,0.86,0.9,0.96
ENSAOWT00000005572_ENSAOWG00000003321,0.9,1.0,0.94,0.9,1.0,0.94,0.86,0.87,0.9,0.82,0.86,0.89,0.84,0.82,0.88
ENSAOWT00000005573_ENSAOWG00000003321,0.84,0.94,1.0,0.84,0.94,1.0,0.8,0.82,0.85,0.87,0.81,0.84,0.89,0.76,0.83
ENSARWT00000012595_ENSARWG00000007561,1.0,0.9,0.84,1.0,0.9,0.84,0.88,0.9,0.93,0.84,0.89,0.92,0.86,0.9,0.96
ENSARWT00000012696_ENSARWG00000007561,0.9,1.0,0.94,0.9,1.0,0.94,0.86,0.87,0.9,0.82,0.86,0.89,0.84,0.82,0.88
ENSARWT00000012697_ENSARWG00000007561,0.84,0.94,1.0,0.84,0.94,1.0,0.8,0.82,0.85,0.87,0.81,0.84,0.89,0.76,0.83
ENSAHAT00000018484_ENSAHAG00000011917,0.88,0.86,0.8,0.88,0.86,0.8,1.0,0.98,0.96,0.93,0.97,0.94,0.89,0.8,0.87
ENSAHAT00000018486_ENSAHAG00000011917,0.9,0.87,0.82,0.9,0.87,0.82,0.98,1.0,0.97,0.94,0.99,0.96,0.9,0.82,0.88
ENSAHAT00000018489_ENSAHAG00000011917,0.93,0.9,0.85,0.93,0.9,0.85,0.96,0.97,1.0,0.91,0.96,0.99,0.93,0.85,0.91
ENSAHAT00000018491_ENSAHAG00000011917,0.84,0.82,0.87,0.84,0.82,0.87,0.93,0.94,0.91,1.0,0.93,0.9,0.96,0.76,0.83
ENSDNVT00000020613_ENSDNVG00000011993,0.89,0.86,0.81,0.89,0.86,0.81,0.97,0.99,0.96,0.93,1.0,0.97,0.91,0.82,0.88
ENSDNVT00000020619_ENSDNVG00000011993,0.92,0.89,0.84,0.92,0.89,0.84,0.94,0.96,0.99,0.9,0.97,1.0,0.94,0.84,0.91
ENSDNVT00000020625_ENSDNVG00000011993,0.86,0.84,0.89,0.86,0.84,0.89,0.89,0.9,0.93,0.96,0.91,0.94,1.0,0.79,0.85
ENSNPET00000007897_ENSNPEG00000005764,0.9,0.82,0.76,0.9,0.82,0.76,0.8,0.82,0.85,0.76,0.82,0.84,0.79,1.0,0.93
ENSNPET00000007902_ENSNPEG00000005764,0.96,0.88,0.83,0.96,0.88,0.83,0.87,0.88,0.91,0.83,0.88,0.91,0.85,0.93,1.0
