,FBtr0080896_FBgn0264695,FBtr0080907_FBgn0264695,FBtr0080900_FBgn0264695,FBtr0080897_FBgn0264695,FBtr0080903_FBgn0264695,FBtr0346712_FBgn0264695,FBtr0080898_FBgn0264695,FBtr0080902_FBgn0264695,FBtr0080901_FBgn0264695,FBtr0307494_FBgn0264695,FBtr0307492_FBgn0264695,FBtr0080905_FBgn0264695,FBtr0080906_FBgn0264695,FBtr0080895_FBgn0264695,FBtr0301829_FBgn0264695,FBtr0301827_FBgn0264695,FBtr0307496_FBgn0264695,FBtr0301828_FBgn0264695,FBtr0080899_FBgn0264695,FBtr0307493_FBgn0264695,FBtr0307495_FBgn0264695
FBtr0080896_FBgn0264695,1.0,0.69,0.9,0.74,0.81,0.75,0.82,0.9,0.9,0.75,0.83,0.63,0.63,0.9,0.69,0.93,0.84,0.9,0.81,0.75,0.83
FBtr0080907_FBgn0264695,0.69,1.0,0.7,0.93,0.63,0.69,0.63,0.61,0.7,0.69,0.62,0.92,0.84,0.62,0.93,0.69,0.71,0.62,0.55,0.69,0.7
FBtr0080900_FBgn0264695,0.9,0.7,1.0,0.76,0.9,0.68,0.9,0.81,0.92,0.68,0.75,0.64,0.64,0.82,0.7,0.84,0.93,0.82,0.72,0.77,0.85
FBtr0080897_FBgn0264695,0.74,0.93,0.76,1.0,0.68,0.73,0.68,0.66,0.76,0.73,0.66,0.85,0.78,0.66,0.93,0.69,0.7,0.66,0.59,0.74,0.76
FBtr0080903_FBgn0264695,0.81,0.63,0.9,0.68,1.0,0.6,0.81,0.9,0.82,0.6,0.67,0.63,0.63,0.72,0.63,0.75,0.83,0.72,0.82,0.68,0.76
FBtr0346712_FBgn0264695,0.75,0.69,0.68,0.73,0.6,1.0,0.76,0.68,0.68,0.92,0.84,0.62,0.62,0.84,0.68,0.7,0.63,0.84,0.75,0.76,0.68
FBtr0080898_FBgn0264695,0.82,0.63,0.9,0.68,0.81,0.76,1.0,0.72,0.83,0.76,0.83,0.57,0.57,0.9,0.63,0.75,0.83,0.9,0.81,0.85,0.77
FBtr0080902_FBgn0264695,0.9,0.61,0.81,0.66,0.9,0.68,0.72,1.0,0.81,0.68,0.74,0.61,0.61,0.81,0.61,0.83,0.75,0.81,0.9,0.67,0.75
FBtr0080901_FBgn0264695,0.9,0.7,0.92,0.76,0.82,0.68,0.83,0.81,1.0,0.68,0.75,0.64,0.64,0.82,0.7,0.84,0.85,0.82,0.72,0.77,0.85
FBtr0307494_FBgn0264695,0.75,0.69,0.68,0.73,0.6,0.92,0.76,0.68,0.68,1.0,0.91,0.62,0.62,0.84,0.68,0.7,0.63,0.84,0.75,0.82,0.73
FBtr0307492_FBgn0264695,0.83,0.62,0.75,0.66,0.67,0.84,0.83,0.74,0.75,0.91,1.0,0.56,0.56,0.92,0.61,0.77,0.7,0.92,0.83,0.9,0.82
FBtr0080905_FBgn0264695,0.63,0.92,0.64,0.85,0.63,0.62,0.57,0.61,0.64,0.62,0.56,1.0,0.92,0.56,0.85,0.63,0.65,0.56,0.55,0.63,0.64
FBtr0080906_FBgn0264695,0.63,0.84,0.64,0.78,0.63,0.62,0.57,0.61,0.64,0.62,0.56,0.92,1.0,0.56,0.79,0.63,0.65,0.56,0.55,0.57,0.7
FBtr0080895_FBgn0264695,0.9,0.62,0.82,0.66,0.72,0.84,0.9,0.81,0.82,0.84,0.92,0.56,0.56,1.0,0.61,0.83,0.75,1.0,0.9,0.83,0.75
FBtr0301829_FBgn0264695,0.69,0.93,0.7,0.93,0.63,0.68,0.63,0.61,0.7,0.68,0.61,0.85,0.79,0.61,1.0,0.74,0.76,0.61,0.55,0.69,0.7
FBtr0301827_FBgn0264695,0.93,0.69,0.84,0.69,0.75,0.7,0.75,0.83,0.84,0.7,0.77,0.63,0.63,0.83,0.74,1.0,0.9,0.83,0.75,0.7,0.78
FBtr0307496_FBgn0264695,0.84,0.71,0.93,0.7,0.83,0.63,0.83,0.75,0.85,0.63,0.7,0.65,0.65,0.75,0.76,0.9,1.0,0.75,0.68,0.71,0.79
FBtr0301828_FBgn0264695,0.9,0.62,0.82,0.66,0.72,0.84,0.9,0.81,0.82,0.84,0.92,0.56,0.56,1.0,0.61,0.83,0.75,1.0,0.9,0.83,0.75
FBtr0080899_FBgn0264695,0.81,0.55,0.72,0.59,0.82,0.75,0.81,0.9,0.72,0.75,0.83,0.55,0.55,0.9,0.55,0.75,0.68,0.9,1.0,0.75,0.67
FBtr0307493_FBgn0264695,0.75,0.69,0.77,0.74,0.68,0.76,0.85,0.67,0.77,0.82,0.9,0.63,0.57,0.83,0.69,0.7,0.71,0.83,0.75,1.0,0.83
FBtr0307495_FBgn0264695,0.83,0.7,0.85,0.76,0.76,0.68,0.77,0.75,0.85,0.73,0.82,0.64,0.7,0.75,0.7,0.78,0.79,0.75,0.67,0.83,1.0
