,ENSGGOT00000046719_ENSGGOG00000040814,ENSPPYT00000010322_ENSPPYG00000008845,ENSNLET00000033222_ENSNLEG00000030074,ENSMFAT00000012871_ENSMFAG00000038657,ENSMNET00000040964_ENSMNEG00000032387,ENSCATT00000047695_ENSCATG00000035292,ENSMLET00000005310_ENSMLEG00000004818,ENSPANT00000051633_ENSPANG00000031478,ENSRROT00000059013_ENSRROG00000040832,ENSRBIT00000048766_ENSRBIG00000036328
ENSGGOT00000046719_ENSGGOG00000040814,1.0,0.99,0.9,0.85,0.85,0.69,0.55,0.86,0.86,0.86
ENSPPYT00000010322_ENSPPYG00000008845,0.99,1.0,0.89,0.85,0.84,0.68,0.55,0.86,0.85,0.85
ENSNLET00000033222_ENSNLEG00000030074,0.9,0.89,1.0,0.76,0.76,0.59,0.46,0.77,0.77,0.77
ENSMFAT00000012871_ENSMFAG00000038657,0.85,0.85,0.76,1.0,1.0,0.83,0.68,0.99,0.98,0.98
ENSMNET00000040964_ENSMNEG00000032387,0.85,0.84,0.76,1.0,1.0,0.82,0.68,0.99,0.98,0.98
ENSCATT00000047695_ENSCATG00000035292,0.69,0.68,0.59,0.83,0.82,1.0,0.85,0.82,0.82,0.82
ENSMLET00000005310_ENSMLEG00000004818,0.55,0.55,0.46,0.68,0.68,0.85,1.0,0.69,0.68,0.68
ENSPANT00000051633_ENSPANG00000031478,0.86,0.86,0.77,0.99,0.99,0.82,0.69,1.0,0.99,0.99
ENSRROT00000059013_ENSRROG00000040832,0.86,0.85,0.77,0.98,0.98,0.82,0.68,0.99,1.0,1.0
ENSRBIT00000048766_ENSRBIG00000036328,0.86,0.85,0.77,0.98,0.98,0.82,0.68,0.99,1.0,1.0
