,ENSPTRT00000021499_ENSPTRG00000011536,ENSPTRT00000093418_ENSPTRG00000011536,ENSPPAT00000060025_ENSPPAG00000041319,ENSGGOT00000000340_ENSGGOG00000000337,ENSGGOT00000049750_ENSGGOG00000000337,ENST00000591790_ENSG00000198046,ENST00000504904_ENSG00000198046,ENST00000292069_ENSG00000198046,ENST00000587555_ENSG00000198046,ENST00000589946_ENSG00000198046
ENSPTRT00000021499_ENSPTRG00000011536,1.0,0.37,0.94,0.94,0.37,0.37,0.94,0.94,0.6,0.47
ENSPTRT00000093418_ENSPTRG00000011536,0.37,1.0,0.37,0.36,1.0,1.0,0.36,0.36,0.71,0.84
ENSPPAT00000060025_ENSPPAG00000041319,0.94,0.37,1.0,0.94,0.37,0.37,0.94,0.94,0.6,0.47
ENSGGOT00000000340_ENSGGOG00000000337,0.94,0.36,0.94,1.0,0.36,0.36,1.0,1.0,0.59,0.47
ENSGGOT00000049750_ENSGGOG00000000337,0.37,1.0,0.37,0.36,1.0,1.0,0.36,0.36,0.71,0.84
ENST00000591790_ENSG00000198046,0.37,1.0,0.37,0.36,1.0,1.0,0.36,0.36,0.71,0.84
ENST00000504904_ENSG00000198046,0.94,0.36,0.94,1.0,0.36,0.36,1.0,1.0,0.59,0.47
ENST00000292069_ENSG00000198046,0.94,0.36,0.94,1.0,0.36,0.36,1.0,1.0,0.59,0.47
ENST00000587555_ENSG00000198046,0.6,0.71,0.6,0.59,0.71,0.71,0.59,0.59,1.0,0.82
ENST00000589946_ENSG00000198046,0.47,0.84,0.47,0.47,0.84,0.84,0.47,0.47,0.82,1.0
