,ENSCVAT00000001817_ENSCVAG00000010118,ENSFHET00000023196_ENSFHEG00000000426,ENSPFOT00000020952_ENSPFOG00000020802,ENSPLAT00000018096_ENSPLAG00000013866,ENSPMET00000025107_ENSPMEG00000000731,ENSPRET00000030371_ENSPREG00000020335,ENSXMAT00000019776_ENSXMAG00000019701,ENSXCOT00000007138_ENSXCOG00000005445,ENSGAFT00000001579_ENSGAFG00000001094,ENSKMAT00000011881_ENSKMAG00000008815
ENSCVAT00000001817_ENSCVAG00000010118,1.0,0.41,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
ENSFHET00000023196_ENSFHEG00000000426,0.41,1.0,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
ENSPFOT00000020952_ENSPFOG00000020802,0.96,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97
ENSPLAT00000018096_ENSPLAG00000013866,0.96,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97
ENSPMET00000025107_ENSPMEG00000000731,0.96,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97
ENSPRET00000030371_ENSPREG00000020335,0.96,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
ENSXMAT00000019776_ENSXMAG00000019701,0.96,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97
ENSXCOT00000007138_ENSXCOG00000005445,0.96,0.41,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.97
ENSGAFT00000001579_ENSGAFG00000001094,0.96,0.41,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.97
ENSKMAT00000011881_ENSKMAG00000008815,0.96,0.41,0.97,0.97,0.97,0.98,0.97,0.97,0.97,1.0
