,ENSPNAT00000020640_ENSPNAG00000018987,ENSPNAT00000012838_ENSPNAG00000000536,ENSPNAT00000036833_ENSPNAG00000019080,ENSPNAT00000000683_ENSPNAG00000013763,ENSAMXT00000053476_ENSAMXG00000034060,ENSAMXT00000056689_ENSAMXG00000035706,ENSAMXT00000034398_ENSAMXG00000030731,ENSAMXT00000037052_ENSAMXG00000043157,ENSAMXT00000033358_ENSAMXG00000034150,ENSAMXT00000033625_ENSAMXG00000031476,ENSAMXT00000048486_ENSAMXG00000029336,ENSAMXT00000051424_ENSAMXG00000031595
ENSPNAT00000020640_ENSPNAG00000018987,1.0,0.36,0.26,0.34,0.3,0.29,0.36,0.34,0.27,0.37,0.18,0.38
ENSPNAT00000012838_ENSPNAG00000000536,0.36,1.0,0.31,0.61,0.44,0.34,0.5,0.46,0.3,0.65,0.21,0.56
ENSPNAT00000036833_ENSPNAG00000019080,0.26,0.31,1.0,0.27,0.31,0.39,0.28,0.27,0.24,0.29,0.24,0.3
ENSPNAT00000000683_ENSPNAG00000013763,0.34,0.61,0.27,1.0,0.44,0.34,0.61,0.54,0.3,0.65,0.21,0.53
ENSAMXT00000053476_ENSAMXG00000034060,0.3,0.44,0.31,0.44,1.0,0.44,0.44,0.52,0.33,0.48,0.26,0.48
ENSAMXT00000056689_ENSAMXG00000035706,0.29,0.34,0.39,0.34,0.44,1.0,0.36,0.36,0.32,0.36,0.27,0.32
ENSAMXT00000034398_ENSAMXG00000030731,0.36,0.5,0.28,0.61,0.44,0.36,1.0,0.59,0.33,0.62,0.22,0.49
ENSAMXT00000037052_ENSAMXG00000043157,0.34,0.46,0.27,0.54,0.52,0.36,0.59,1.0,0.33,0.5,0.22,0.51
ENSAMXT00000033358_ENSAMXG00000034150,0.27,0.3,0.24,0.3,0.33,0.32,0.33,0.33,1.0,0.34,0.19,0.3
ENSAMXT00000033625_ENSAMXG00000031476,0.37,0.65,0.29,0.65,0.48,0.36,0.62,0.5,0.34,1.0,0.23,0.6
ENSAMXT00000048486_ENSAMXG00000029336,0.18,0.21,0.24,0.21,0.26,0.27,0.22,0.22,0.19,0.23,1.0,0.19
ENSAMXT00000051424_ENSAMXG00000031595,0.38,0.56,0.3,0.53,0.48,0.32,0.49,0.51,0.3,0.6,0.19,1.0
