,ENSPNAT00000035669_ENSPNAG00000015825,ENSAMXT00000052843_ENSAMXG00000030757,ENSIPUT00000029314_ENSIPUG00000019040,ENSIPUT00000029348_ENSIPUG00000019040,ENSIPUT00000029369_ENSIPUG00000019040,ENSIPUT00000029409_ENSIPUG00000019040,ENSIPUT00000029419_ENSIPUG00000019040,ENSEEET00000045334_ENSEEEG00000021156,ENSEEET00000045335_ENSEEEG00000021156,ENSEEET00000045336_ENSEEEG00000021156
ENSPNAT00000035669_ENSPNAG00000015825,1.0,0.31,0.28,0.28,0.3,0.28,0.21,0.36,0.39,0.37
ENSAMXT00000052843_ENSAMXG00000030757,0.31,1.0,0.5,0.42,0.53,0.54,0.44,0.39,0.48,0.48
ENSIPUT00000029314_ENSIPUG00000019040,0.28,0.5,1.0,0.86,0.93,0.83,0.79,0.37,0.46,0.47
ENSIPUT00000029348_ENSIPUG00000019040,0.28,0.42,0.86,1.0,0.8,0.74,0.68,0.43,0.46,0.49
ENSIPUT00000029369_ENSIPUG00000019040,0.3,0.53,0.93,0.8,1.0,0.78,0.73,0.39,0.49,0.49
ENSIPUT00000029409_ENSIPUG00000019040,0.28,0.54,0.83,0.74,0.78,1.0,0.79,0.37,0.46,0.47
ENSIPUT00000029419_ENSIPUG00000019040,0.21,0.44,0.79,0.68,0.73,0.79,1.0,0.29,0.38,0.39
ENSEEET00000045334_ENSEEEG00000021156,0.36,0.39,0.37,0.43,0.39,0.37,0.29,1.0,0.72,0.61
ENSEEET00000045335_ENSEEEG00000021156,0.39,0.48,0.46,0.46,0.49,0.46,0.38,0.72,1.0,0.69
ENSEEET00000045336_ENSEEEG00000021156,0.37,0.48,0.47,0.49,0.49,0.47,0.39,0.61,0.69,1.0
