,ENSFDAT00000015196_ENSFDAG00000011234,ENSSDAT00000027319_ENSSDAG00000021749,ENSNGAT00000012439_ENSNGAG00000010352,ENSTSYT00000039482_ENSTSYG00000031710,ENSBMUT00000000261_ENSBMUG00000000211,ENSRBIT00000046359_ENSRBIG00000035188,ENSRBIT00000046360_ENSRBIG00000035188,ENSDNOT00000010934_ENSDNOG00000010944,ENSPVAT00000011999_ENSPVAG00000011999,ENSMLUT00000022444_ENSMLUG00000009729,ENSMLUT00000009714_ENSMLUG00000009729
ENSFDAT00000015196_ENSFDAG00000011234,1.0,0.72,0.72,0.72,0.72,0.41,0.72,0.36,0.2,0.24,0.26
ENSSDAT00000027319_ENSSDAG00000021749,0.72,1.0,0.82,0.82,0.82,0.41,0.82,0.42,0.22,0.26,0.28
ENSNGAT00000012439_ENSNGAG00000010352,0.72,0.82,1.0,0.81,0.82,0.41,0.82,0.41,0.22,0.25,0.28
ENSTSYT00000039482_ENSTSYG00000031710,0.72,0.82,0.81,1.0,0.82,0.41,0.82,0.42,0.22,0.26,0.28
ENSBMUT00000000261_ENSBMUG00000000211,0.72,0.82,0.82,0.82,1.0,0.41,0.82,0.42,0.22,0.26,0.28
ENSRBIT00000046359_ENSRBIG00000035188,0.41,0.41,0.41,0.41,0.41,1.0,0.42,0.17,0.15,0.1,0.11
ENSRBIT00000046360_ENSRBIG00000035188,0.72,0.82,0.82,0.82,0.82,0.42,1.0,0.42,0.22,0.26,0.28
ENSDNOT00000010934_ENSDNOG00000010944,0.36,0.42,0.41,0.42,0.42,0.17,0.42,1.0,0.49,0.52,0.55
ENSPVAT00000011999_ENSPVAG00000011999,0.2,0.22,0.22,0.22,0.22,0.15,0.22,0.49,1.0,0.44,0.53
ENSMLUT00000022444_ENSMLUG00000009729,0.24,0.26,0.25,0.26,0.26,0.1,0.26,0.52,0.44,1.0,0.78
ENSMLUT00000009714_ENSMLUG00000009729,0.26,0.28,0.28,0.28,0.28,0.11,0.28,0.55,0.53,0.78,1.0
