,ENSPCIT00000023503_ENSPCIG00000014553,ENSPCIT00000056567_ENSPCIG00000014553,ENSPCIT00000064645_ENSPCIG00000014553,ENSVURT00010004702_ENSVURG00010003320,ENSSHAT00000014406_ENSSHAG00000012209,ENSMODT00000042628_ENSMODG00000029138,ENSMODT00000064571_ENSMODG00000029138,ENSLAFT00000016006_ENSLAFG00000016007,ENST00000612610_ENSG00000277117,ENST00000623960_ENSG00000277117,ENST00000623795_ENSG00000277117,ENST00000620481_ENSG00000277117,ENST00000344330_ENSG00000160223,ENST00000407780_ENSG00000160223,ENST00000400379_ENSG00000160223,ENST00000400377_ENSG00000160223,ENSPPAT00000050003_ENSPPAG00000036658,ENSPPAT00000050006_ENSPPAG00000036658,ENSPTRT00000111015_ENSPTRG00000013972,ENSPTRT00000063935_ENSPTRG00000013972,ENSGGOT00000057825_ENSGGOG00000012425,ENSGGOT00000030068_ENSGGOG00000012425,ENSPPYT00000033846_ENSPPYG00000011481,ENSNLET00000051095_ENSNLEG00000033148,ENSNLET00000060081_ENSNLEG00000033148,ENSNLET00000049296_ENSNLEG00000033148,ENSMMUT00000054194_ENSMMUG00000010647,ENSMNET00000034686_ENSMNEG00000029638,ENSCATT00000026698_ENSCATG00000023031,ENSCATT00000026734_ENSCATG00000023031,ENSPANT00000015073_ENSPANG00000017861,ENSPANT00000049896_ENSPANG00000017861,ENSTGET00000028894_ENSTGEG00000019592,ENSTGET00000028900_ENSTGEG00000019592,ENSCSAT00000005927_ENSCSAG00000007876,ENSRBIT00000062548_ENSRBIG00000042775,ENSRBIT00000062550_ENSRBIG00000042775,ENSRBIT00000062551_ENSRBIG00000042775,ENSRROT00000050268_ENSRROG00000036751
ENSPCIT00000023503_ENSPCIG00000014553,1.0,0.81,0.71,0.99,0.92,0.87,0.8,0.38,0.67,0.78,0.65,0.56,0.67,0.78,0.46,0.65,0.7,0.59,0.59,0.69,0.78,0.65,0.62,0.66,0.77,0.65,0.77,0.77,0.77,0.65,0.77,0.65,0.77,0.65,0.78,0.77,0.71,0.65,0.62
ENSPCIT00000056567_ENSPCIG00000014553,0.81,1.0,0.82,0.79,0.76,0.71,0.64,0.38,0.53,0.62,0.53,0.44,0.53,0.62,0.34,0.53,0.56,0.48,0.45,0.53,0.62,0.53,0.76,0.52,0.61,0.53,0.62,0.62,0.62,0.53,0.62,0.53,0.61,0.53,0.62,0.62,0.56,0.53,0.76
ENSPCIT00000064645_ENSPCIG00000014553,0.71,0.82,1.0,0.7,0.67,0.62,0.56,0.37,0.52,0.53,0.44,0.44,0.52,0.53,0.39,0.44,0.49,0.41,0.44,0.45,0.53,0.44,0.62,0.52,0.52,0.44,0.52,0.53,0.52,0.44,0.53,0.44,0.52,0.44,0.53,0.53,0.47,0.44,0.62
ENSVURT00010004702_ENSVURG00010003320,0.99,0.79,0.7,1.0,0.92,0.87,0.8,0.38,0.66,0.77,0.65,0.55,0.66,0.77,0.46,0.65,0.7,0.59,0.59,0.69,0.77,0.65,0.61,0.66,0.77,0.65,0.77,0.77,0.77,0.65,0.77,0.65,0.77,0.65,0.77,0.77,0.71,0.65,0.61
ENSSHAT00000014406_ENSSHAG00000012209,0.92,0.76,0.67,0.92,1.0,0.89,0.83,0.38,0.66,0.77,0.65,0.55,0.66,0.77,0.46,0.65,0.7,0.58,0.59,0.69,0.77,0.65,0.61,0.66,0.77,0.65,0.77,0.77,0.77,0.65,0.77,0.65,0.77,0.65,0.77,0.77,0.7,0.65,0.61
ENSMODT00000042628_ENSMODG00000029138,0.87,0.71,0.62,0.87,0.89,1.0,0.9,0.38,0.66,0.77,0.65,0.55,0.66,0.77,0.46,0.65,0.7,0.58,0.59,0.69,0.77,0.64,0.62,0.66,0.77,0.64,0.77,0.77,0.77,0.64,0.77,0.64,0.77,0.64,0.77,0.77,0.7,0.64,0.61
ENSMODT00000064571_ENSMODG00000029138,0.8,0.64,0.56,0.8,0.83,0.9,1.0,0.4,0.61,0.71,0.58,0.49,0.61,0.71,0.41,0.58,0.67,0.56,0.56,0.65,0.71,0.58,0.55,0.61,0.7,0.58,0.7,0.7,0.7,0.58,0.7,0.58,0.7,0.58,0.71,0.7,0.77,0.58,0.55
ENSLAFT00000016006_ENSLAFG00000016007,0.38,0.38,0.37,0.38,0.38,0.38,0.4,1.0,0.43,0.44,0.33,0.32,0.43,0.44,0.25,0.33,0.44,0.33,0.5,0.51,0.44,0.33,0.43,0.44,0.44,0.33,0.44,0.44,0.44,0.33,0.44,0.33,0.44,0.33,0.44,0.44,0.46,0.33,0.43
ENST00000612610_ENSG00000277117,0.67,0.53,0.52,0.66,0.66,0.66,0.61,0.43,1.0,0.86,0.66,0.76,0.97,0.86,0.64,0.66,0.8,0.6,0.85,0.74,0.86,0.65,0.67,0.96,0.85,0.65,0.84,0.84,0.84,0.64,0.84,0.64,0.84,0.64,0.84,0.84,0.78,0.64,0.66
ENST00000623960_ENSG00000277117,0.78,0.62,0.53,0.77,0.77,0.77,0.71,0.44,0.86,1.0,0.76,0.66,0.86,0.97,0.65,0.76,0.89,0.69,0.74,0.85,0.97,0.75,0.76,0.85,0.96,0.74,0.95,0.95,0.95,0.74,0.95,0.74,0.95,0.74,0.95,0.95,0.88,0.74,0.75
