,Y53H1A.1a.1_WBGene00013177,Y53H1A.1b.1_WBGene00013177,FBtr0082479_FBgn0051211,FBtr0082480_FBgn0051211,FBtr0082481_FBgn0051211,ENSAHAT00000007592_ENSAHAG00000005131,ENSAHAT00000007594_ENSAHAG00000005131,ENSARWT00000020264_ENSARWG00000012255,ENSARWT00000020266_ENSARWG00000012255,ENSAOWT00000008876_ENSAOWG00000005386,ENSAOWT00000008881_ENSAOWG00000005386,ENSAOWT00000008888_ENSAOWG00000005386,ENSAOWT00000008901_ENSAOWG00000005386,ENSDNVT00000007986_ENSDNVG00000004739
Y53H1A.1a.1_WBGene00013177,1.0,0.81,0.17,0.17,0.26,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Y53H1A.1b.1_WBGene00013177,0.81,1.0,0.16,0.16,0.25,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14
FBtr0082479_FBgn0051211,0.17,0.16,1.0,0.85,0.73,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FBtr0082480_FBgn0051211,0.17,0.16,0.85,1.0,0.72,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
FBtr0082481_FBgn0051211,0.26,0.25,0.73,0.72,1.0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
ENSAHAT00000007592_ENSAHAG00000005131,0.13,0.13,0.2,0.19,0.17,1.0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ENSAHAT00000007594_ENSAHAG00000005131,0.13,0.13,0.2,0.19,0.17,0.89,1.0,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ENSARWT00000020264_ENSARWG00000012255,0.13,0.14,0.2,0.19,0.17,0.89,0.89,1.0,0.89,0.89,0.89,0.89,0.89,0.89
ENSARWT00000020266_ENSARWG00000012255,0.13,0.14,0.2,0.19,0.17,0.89,0.89,0.89,1.0,0.89,0.89,0.89,0.89,0.89
ENSAOWT00000008876_ENSAOWG00000005386,0.13,0.14,0.2,0.19,0.17,0.89,0.89,0.89,0.89,1.0,0.89,0.89,0.89,0.89
ENSAOWT00000008881_ENSAOWG00000005386,0.13,0.14,0.2,0.19,0.17,0.89,0.89,0.89,0.89,0.89,1.0,0.89,0.89,0.89
ENSAOWT00000008888_ENSAOWG00000005386,0.13,0.14,0.2,0.19,0.17,0.89,0.89,0.89,0.89,0.89,0.89,1.0,0.89,0.89
ENSAOWT00000008901_ENSAOWG00000005386,0.13,0.14,0.2,0.19,0.17,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.0,0.89
ENSDNVT00000007986_ENSDNVG00000004739,0.13,0.14,0.2,0.19,0.17,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.0
