,ENSVURT00010020571_ENSVURG00010013829,ENSSHAT00000007686_ENSSHAG00000006626,ENSMODT00000044445_ENSMODG00000028096,ENSSHAT00000009010_ENSSHAG00000007740,ENSVURT00010020603_ENSVURG00010013838,ENSDNOT00000001795_ENSDNOG00000001797,ENSCHOT00000000559_ENSCHOG00000000553,ENSPCAT00000007640_ENSPCAG00000007656,ENSETET00000010263_ENSETEG00000010263,ENSPTRT00000055218_ENSPTRG00000028413,ENSPPAT00000056237_ENSPPAG00000039543,ENST00000422698_ENSG00000204403,ENSGGOT00000012117_ENSGGOG00000012075,ENSPPYT00000004547_ENSPPYG00000003823,ENSCATT00000041830_ENSCATG00000032709,ENSCATT00000041833_ENSCATG00000032709,ENSTGET00000021820_ENSTGEG00000014774,ENSPANT00000014171_ENSPANG00000003600,ENSPANT00000040730_ENSPANG00000003600,ENSMFAT00000053683_ENSMFAG00000019805,ENSMFAT00000053779_ENSMFAG00000019805,ENSMFAT00000053987_ENSMFAG00000019805,ENSMNET00000041090_ENSMNEG00000032441,ENSMNET00000041101_ENSMNEG00000032441,ENSMMUT00000055572_ENSMMUG00000016548,ENSMMUT00000023241_ENSMMUG00000016548,ENSMMUT00000082067_ENSMMUG00000016548,ENSMMUT00000078926_ENSMMUG00000016548,ENSCSAT00000001112_ENSCSAG00000003084
ENSVURT00010020571_ENSVURG00010013829,1.0,0.84,0.84,0.68,0.61,0.75,0.47,0.58,0.39,0.7,0.7,0.7,0.7,0.78,0.78,0.68,0.78,0.78,0.68,0.7,0.78,0.68,0.78,0.68,0.74,0.68,0.78,0.68,0.78
ENSSHAT00000007686_ENSSHAG00000006626,0.84,1.0,0.84,0.69,0.57,0.79,0.51,0.61,0.37,0.75,0.75,0.75,0.71,0.74,0.74,0.65,0.74,0.74,0.65,0.67,0.74,0.65,0.74,0.65,0.79,0.72,0.74,0.65,0.74
ENSMODT00000044445_ENSMODG00000028096,0.84,0.84,1.0,0.72,0.56,0.75,0.48,0.58,0.37,0.71,0.71,0.71,0.74,0.74,0.74,0.65,0.74,0.74,0.65,0.67,0.74,0.65,0.74,0.65,0.74,0.68,0.74,0.65,0.74
ENSSHAT00000009010_ENSSHAG00000007740,0.68,0.69,0.72,1.0,0.57,0.66,0.45,0.56,0.35,0.68,0.68,0.68,0.71,0.66,0.65,0.57,0.65,0.65,0.57,0.58,0.65,0.57,0.65,0.57,0.66,0.6,0.65,0.56,0.65
ENSVURT00010020603_ENSVURG00010013838,0.61,0.57,0.56,0.57,1.0,0.54,0.48,0.63,0.43,0.61,0.61,0.61,0.61,0.56,0.56,0.54,0.56,0.56,0.54,0.61,0.56,0.54,0.56,0.54,0.54,0.55,0.56,0.54,0.56
ENSDNOT00000001795_ENSDNOG00000001797,0.75,0.79,0.75,0.66,0.54,1.0,0.52,0.64,0.37,0.79,0.79,0.78,0.74,0.84,0.84,0.74,0.84,0.84,0.74,0.77,0.84,0.74,0.84,0.74,0.9,0.83,0.84,0.75,0.84
ENSCHOT00000000559_ENSCHOG00000000553,0.47,0.51,0.48,0.45,0.48,0.52,1.0,0.6,0.51,0.6,0.6,0.6,0.57,0.48,0.48,0.41,0.48,0.48,0.41,0.42,0.48,0.41,0.48,0.41,0.52,0.46,0.48,0.4,0.48
ENSPCAT00000007640_ENSPCAG00000007656,0.58,0.61,0.58,0.56,0.63,0.64,0.6,1.0,0.46,0.73,0.73,0.73,0.69,0.6,0.6,0.58,0.6,0.6,0.58,0.6,0.6,0.58,0.6,0.58,0.64,0.65,0.6,0.58,0.6
ENSETET00000010263_ENSETEG00000010263,0.39,0.37,0.37,0.35,0.43,0.37,0.51,0.46,1.0,0.44,0.44,0.45,0.45,0.36,0.36,0.29,0.36,0.36,0.29,0.3,0.36,0.29,0.36,0.29,0.37,0.32,0.36,0.28,0.36
ENSPTRT00000055218_ENSPTRG00000028413,0.7,0.75,0.71,0.68,0.61,0.79,0.6,0.73,0.44,1.0,0.97,0.97,0.9,0.78,0.77,0.67,0.77,0.77,0.67,0.7,0.77,0.67,0.77,0.67,0.83,0.76,0.77,0.68,0.77
