,ENSPCIT00000054159_ENSPCIG00000002498,ENSPCIT00000053294_ENSPCIG00000002498,ENSPCIT00000066196_ENSPCIG00000002498,ENSPCIT00000059281_ENSPCIG00000002498,ENSPCIT00000059505_ENSPCIG00000002498,ENSPCIT00000053529_ENSPCIG00000002498,ENSPCIT00000003828_ENSPCIG00000002498,ENSPCIT00000003773_ENSPCIG00000002498,ENSVURT00010030033_ENSVURG00010020173,ENSVURT00010030054_ENSVURG00010020173,ENSVURT00010030070_ENSVURG00010020173,ENSVURT00010030094_ENSVURG00010020173,ENSMEUT00000011835_ENSMEUG00000011778,ENSSHAT00000000893_ENSSHAG00000000789,ENSMODT00000074297_ENSMODG00000012216,ENSMODT00000075490_ENSMODG00000012216,ENSMODT00000015588_ENSMODG00000012216,ENSMODT00000088724_ENSMODG00000012216,ENSMODT00000062761_ENSMODG00000012216
ENSPCIT00000054159_ENSPCIG00000002498,1.0,0.95,0.92,0.95,0.92,0.93,0.92,0.92,0.95,0.9,0.9,0.87,0.5,0.95,0.95,0.9,0.9,0.87,0.87
ENSPCIT00000053294_ENSPCIG00000002498,0.95,1.0,0.87,0.9,0.87,0.88,0.87,0.97,0.9,0.95,0.85,0.82,0.47,0.9,0.9,0.95,0.85,0.82,0.82
ENSPCIT00000066196_ENSPCIG00000002498,0.92,0.87,1.0,0.87,0.84,0.93,0.83,0.83,0.87,0.82,0.82,0.95,0.49,0.87,0.87,0.82,0.82,0.78,0.95
ENSPCIT00000059281_ENSPCIG00000002498,0.95,0.9,0.87,1.0,0.97,0.89,0.87,0.87,0.9,0.85,0.85,0.82,0.47,0.9,0.9,0.85,0.85,0.82,0.82
ENSPCIT00000059505_ENSPCIG00000002498,0.92,0.87,0.84,0.97,1.0,0.85,0.84,0.84,0.87,0.82,0.82,0.79,0.45,0.87,0.87,0.82,0.82,0.79,0.79
ENSPCIT00000053529_ENSPCIG00000002498,0.93,0.88,0.93,0.89,0.85,1.0,0.85,0.85,0.88,0.83,0.83,0.88,0.46,0.88,0.88,0.83,0.83,0.8,0.88
ENSPCIT00000003828_ENSPCIG00000002498,0.92,0.87,0.83,0.87,0.84,0.85,1.0,0.83,0.87,0.82,0.82,0.78,0.45,0.87,0.87,0.82,0.83,0.95,0.78
ENSPCIT00000003773_ENSPCIG00000002498,0.92,0.97,0.83,0.87,0.84,0.85,0.83,1.0,0.87,0.91,0.82,0.78,0.47,0.87,0.87,0.91,0.82,0.78,0.78
ENSVURT00010030033_ENSVURG00010020173,0.95,0.9,0.87,0.9,0.87,0.88,0.87,0.87,1.0,0.95,0.95,0.91,0.47,1.0,1.0,0.95,0.95,0.91,0.91
ENSVURT00010030054_ENSVURG00010020173,0.9,0.95,0.82,0.85,0.82,0.83,0.82,0.91,0.95,1.0,0.9,0.86,0.45,0.95,0.95,1.0,0.9,0.86,0.86
ENSVURT00010030070_ENSVURG00010020173,0.9,0.85,0.82,0.85,0.82,0.83,0.82,0.82,0.95,0.9,1.0,0.86,0.44,0.95,0.95,0.9,0.9,0.86,0.86
ENSVURT00010030094_ENSVURG00010020173,0.87,0.82,0.95,0.82,0.79,0.88,0.78,0.78,0.91,0.86,0.86,1.0,0.46,0.91,0.91,0.86,0.86,0.83,1.0
ENSMEUT00000011835_ENSMEUG00000011778,0.5,0.47,0.49,0.47,0.45,0.46,0.45,0.47,0.47,0.45,0.44,0.46,1.0,0.47,0.47,0.45,0.5,0.42,0.46
ENSSHAT00000000893_ENSSHAG00000000789,0.95,0.9,0.87,0.9,0.87,0.88,0.87,0.87,1.0,0.95,0.95,0.91,0.47,1.0,1.0,0.95,0.95,0.91,0.91
ENSMODT00000074297_ENSMODG00000012216,0.95,0.9,0.87,0.9,0.87,0.88,0.87,0.87,1.0,0.95,0.95,0.91,0.47,1.0,1.0,0.95,0.95,0.91,0.91
ENSMODT00000075490_ENSMODG00000012216,0.9,0.95,0.82,0.85,0.82,0.83,0.82,0.91,0.95,1.0,0.9,0.86,0.45,0.95,0.95,1.0,0.9,0.86,0.86
ENSMODT00000015588_ENSMODG00000012216,0.9,0.85,0.82,0.85,0.82,0.83,0.83,0.82,0.95,0.9,0.9,0.86,0.5,0.95,0.95,0.9,1.0,0.88,0.86
ENSMODT00000088724_ENSMODG00000012216,0.87,0.82,0.78,0.82,0.79,0.8,0.95,0.78,0.91,0.86,0.86,0.83,0.42,0.91,0.91,0.86,0.88,1.0,0.83
ENSMODT00000062761_ENSMODG00000012216,0.87,0.82,0.95,0.82,0.79,0.88,0.78,0.78,0.91,0.86,0.86,1.0,0.46,0.91,0.91,0.86,0.86,0.83,1.0
