,ENSPSIT00000002546_ENSPSIG00000002494,ENSPSIT00000019915_ENSPSIG00000017581,ENSSCAT00000008446_ENSSCAG00000005749,ENSDCDT00000022313_ENSDCDG00000007332,ENSDCDT00000022315_ENSDCDG00000007332,ENSDCDT00000022321_ENSDCDG00000007332,ENSDCDT00000022323_ENSDCDG00000007332,ENSDCDT00000022324_ENSDCDG00000007332,ENSDCDT00000022331_ENSDCDG00000007332,ENSDCDT00000022334_ENSDCDG00000007332,ENSDCDT00000022337_ENSDCDG00000007332,ENSDCDT00000022339_ENSDCDG00000007332,ENSCHAT00000058187_ENSCHAG00000024452,ENSCHAT00000058198_ENSCHAG00000024452,ENSCHAT00000058315_ENSCHAG00000024452,ENSCHAT00000058318_ENSCHAG00000024452,ENSCHAT00000058330_ENSCHAG00000024452,ENSCHAT00000058404_ENSCHAG00000024452,ENSCHAT00000058410_ENSCHAG00000024452,ENSCHAT00000058421_ENSCHAG00000024452,ENSCHAT00000058433_ENSCHAG00000024452,ENSCHAT00000058444_ENSCHAG00000024452,ENSPNAT00000026230_ENSPNAG00000023776,ENSPNAT00000038525_ENSPNAG00000023776
ENSPSIT00000002546_ENSPSIG00000002494,1.0,0.26,0.23,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.31,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.24,0.25,0.24,0.25,0.29,0.29
ENSPSIT00000019915_ENSPSIG00000017581,0.26,1.0,0.58,0.25,0.26,0.25,0.24,0.25,0.24,0.24,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.25,0.25,0.25,0.25
ENSSCAT00000008446_ENSSCAG00000005749,0.23,0.58,1.0,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2
ENSDCDT00000022313_ENSDCDG00000007332,0.29,0.25,0.2,1.0,0.98,0.93,0.89,0.93,0.88,0.89,0.87,0.89,0.8,0.81,0.84,0.81,0.82,0.77,0.8,0.74,0.79,0.83,0.95,0.84
ENSDCDT00000022315_ENSDCDG00000007332,0.29,0.26,0.21,0.98,1.0,0.92,0.88,0.92,0.87,0.88,0.86,0.89,0.79,0.81,0.84,0.81,0.81,0.76,0.8,0.73,0.79,0.83,0.94,0.83
ENSDCDT00000022321_ENSDCDG00000007332,0.29,0.25,0.2,0.93,0.92,1.0,0.88,0.92,0.87,0.88,0.86,0.89,0.79,0.81,0.84,0.81,0.81,0.76,0.8,0.73,0.79,0.83,0.89,0.84
ENSDCDT00000022323_ENSDCDG00000007332,0.29,0.24,0.2,0.89,0.88,0.88,1.0,0.89,0.84,0.85,0.83,0.85,0.8,0.78,0.8,0.78,0.78,0.73,0.77,0.7,0.76,0.79,0.85,0.8
ENSDCDT00000022324_ENSDCDG00000007332,0.29,0.25,0.2,0.93,0.92,0.92,0.89,1.0,0.88,0.88,0.87,0.89,0.8,0.81,0.84,0.81,0.81,0.77,0.8,0.73,0.79,0.83,0.89,0.84
ENSDCDT00000022331_ENSDCDG00000007332,0.28,0.24,0.2,0.88,0.87,0.87,0.84,0.88,1.0,0.87,0.84,0.87,0.75,0.77,0.81,0.79,0.79,0.74,0.78,0.76,0.77,0.8,0.84,0.81
ENSDCDT00000022334_ENSDCDG00000007332,0.28,0.24,0.2,0.89,0.88,0.88,0.85,0.88,0.87,1.0,0.85,0.87,0.76,0.78,0.83,0.8,0.8,0.76,0.79,0.76,0.78,0.81,0.84,0.82
ENSDCDT00000022337_ENSDCDG00000007332,0.31,0.25,0.21,0.87,0.86,0.86,0.83,0.87,0.84,0.85,1.0,0.87,0.74,0.76,0.8,0.78,0.78,0.73,0.77,0.7,0.77,0.79,0.83,0.8
ENSDCDT00000022339_ENSDCDG00000007332,0.26,0.26,0.21,0.89,0.89,0.89,0.85,0.89,0.87,0.87,0.87,1.0,0.8,0.83,0.85,0.85,0.85,0.8,0.87,0.76,0.85,0.9,0.85,0.83
ENSCHAT00000058187_ENSCHAG00000024452,0.26,0.25,0.2,0.8,0.79,0.79,0.8,0.8,0.75,0.76,0.74,0.8,1.0,0.91,0.84,0.91,0.86,0.86,0.85,0.83,0.79,0.87,0.79,0.75
ENSCHAT00000058198_ENSCHAG00000024452,0.26,0.24,0.2,0.81,0.81,0.81,0.78,0.81,0.77,0.78,0.76,0.83,0.91,1.0,0.87,0.94,0.88,0.89,0.87,0.85,0.81,0.89,0.81,0.77
ENSCHAT00000058315_ENSCHAG00000024452,0.27,0.24,0.2,0.84,0.84,0.84,0.8,0.84,0.81,0.83,0.8,0.85,0.84,0.87,1.0,0.92,0.92,0.86,0.91,0.83,0.86,0.93,0.84,0.84
ENSCHAT00000058318_ENSCHAG00000024452,0.26,0.24,0.2,0.81,0.81,0.81,0.78,0.81,0.79,0.8,0.78,0.85,0.91,0.94,0.92,1.0,0.94,0.94,0.93,0.9,0.86,0.95,0.81,0.82
ENSCHAT00000058330_ENSCHAG00000024452,0.26,0.25,0.2,0.82,0.81,0.81,0.78,0.81,0.79,0.8,0.78,0.85,0.86,0.88,0.92,0.94,1.0,0.88,0.93,0.84,0.86,0.95,0.81,0.82
ENSCHAT00000058404_ENSCHAG00000024452,0.26,0.24,0.2,0.77,0.76,0.76,0.73,0.77,0.74,0.76,0.73,0.8,0.86,0.89,0.86,0.94,0.88,1.0,0.87,0.94,0.81,0.89,0.76,0.77
ENSCHAT00000058410_ENSCHAG00000024452,0.24,0.25,0.2,0.8,0.8,0.8,0.77,0.8,0.78,0.79,0.77,0.87,0.85,0.87,0.91,0.93,0.93,0.87,1.0,0.83,0.85,0.97,0.8,0.8
ENSCHAT00000058421_ENSCHAG00000024452,0.25,0.24,0.2,0.74,0.73,0.73,0.7,0.73,0.76,0.76,0.7,0.76,0.83,0.85,0.83,0.9,0.84,0.94,0.83,1.0,0.78,0.85,0.73,0.73
ENSCHAT00000058433_ENSCHAG00000024452,0.24,0.25,0.2,0.79,0.79,0.79,0.76,0.79,0.77,0.78,0.77,0.85,0.79,0.81,0.86,0.86,0.86,0.81,0.85,0.78,1.0,0.88,0.79,0.79
ENSCHAT00000058444_ENSCHAG00000024452,0.25,0.25,0.21,0.83,0.83,0.83,0.79,0.83,0.8,0.81,0.79,0.9,0.87,0.89,0.93,0.95,0.95,0.89,0.97,0.85,0.88,1.0,0.83,0.83
ENSPNAT00000026230_ENSPNAG00000023776,0.29,0.25,0.2,0.95,0.94,0.89,0.85,0.89,0.84,0.84,0.83,0.85,0.79,0.81,0.84,0.81,0.81,0.76,0.8,0.73,0.79,0.83,1.0,0.88
ENSPNAT00000038525_ENSPNAG00000023776,0.29,0.25,0.2,0.84,0.83,0.84,0.8,0.84,0.81,0.82,0.8,0.83,0.75,0.77,0.84,0.82,0.82,0.77,0.8,0.73,0.79,0.83,0.88,1.0
