,ENSAPET00000002059_ENSAPEG00000001473,ENSAOCT00000014108_ENSAOCG00000003835,ENSAPOT00000004189_ENSAPOG00000009932,ENSSPAT00000002357_ENSSPAG00000001774,ENSPRNT00000007883_ENSPRNG00000004264,ENSPRNT00000007346_ENSPRNG00000004008,ENSFHET00000013836_ENSFHEG00000002215,ENSCVAT00000018339_ENSCVAG00000013661,ENSXCOT00000002690_ENSXCOG00000002119,ENSXMAT00000013802_ENSXMAG00000013749,ENSGAFT00000024719_ENSGAFG00000016506,ENSPMET00000004583_ENSPMEG00000008797,ENSPFOT00000017752_ENSPFOG00000017644,ENSPLAT00000021729_ENSPLAG00000017115,ENSKMAT00000019273_ENSKMAG00000014130
ENSAPET00000002059_ENSAPEG00000001473,1.0,0.87,0.86,0.98,0.95,0.67,0.79,0.71,0.88,0.88,0.94,0.68,0.94,0.88,0.95
ENSAOCT00000014108_ENSAOCG00000003835,0.87,1.0,0.99,0.85,0.83,0.58,0.7,0.8,0.88,0.88,0.82,0.62,0.82,0.87,0.82
ENSAPOT00000004189_ENSAPOG00000009932,0.86,0.99,1.0,0.85,0.83,0.58,0.69,0.8,0.87,0.87,0.81,0.62,0.81,0.87,0.82
ENSSPAT00000002357_ENSSPAG00000001774,0.98,0.85,0.85,1.0,0.96,0.67,0.78,0.71,0.88,0.88,0.94,0.68,0.94,0.88,0.96
ENSPRNT00000007883_ENSPRNG00000004264,0.95,0.83,0.83,0.96,1.0,0.7,0.78,0.7,0.88,0.88,0.94,0.68,0.94,0.88,0.94
ENSPRNT00000007346_ENSPRNG00000004008,0.67,0.58,0.58,0.67,0.7,1.0,0.53,0.49,0.61,0.61,0.65,0.49,0.65,0.61,0.65
ENSFHET00000013836_ENSFHEG00000002215,0.79,0.7,0.69,0.78,0.78,0.53,1.0,0.61,0.75,0.75,0.79,0.6,0.79,0.75,0.79
ENSCVAT00000018339_ENSCVAG00000013661,0.71,0.8,0.8,0.71,0.7,0.49,0.61,1.0,0.78,0.78,0.72,0.67,0.72,0.78,0.72
ENSXCOT00000002690_ENSXCOG00000002119,0.88,0.88,0.87,0.88,0.88,0.61,0.75,0.78,1.0,1.0,0.93,0.7,0.93,0.99,0.89
ENSXMAT00000013802_ENSXMAG00000013749,0.88,0.88,0.87,0.88,0.88,0.61,0.75,0.78,1.0,1.0,0.93,0.7,0.93,0.99,0.89
ENSGAFT00000024719_ENSGAFG00000016506,0.94,0.82,0.81,0.94,0.94,0.65,0.79,0.72,0.93,0.93,1.0,0.73,0.99,0.93,0.95
ENSPMET00000004583_ENSPMEG00000008797,0.68,0.62,0.62,0.68,0.68,0.49,0.6,0.67,0.7,0.7,0.73,1.0,0.73,0.71,0.68
ENSPFOT00000017752_ENSPFOG00000017644,0.94,0.82,0.81,0.94,0.94,0.65,0.79,0.72,0.93,0.93,0.99,0.73,1.0,0.94,0.95
ENSPLAT00000021729_ENSPLAG00000017115,0.88,0.87,0.87,0.88,0.88,0.61,0.75,0.78,0.99,0.99,0.93,0.71,0.94,1.0,0.88
ENSKMAT00000019273_ENSKMAG00000014130,0.95,0.82,0.82,0.96,0.94,0.65,0.79,0.72,0.89,0.89,0.95,0.68,0.95,0.88,1.0
