,ENSVURT00010027957_ENSVURG00010018808,ENSVURT00010027963_ENSVURG00010018808,ENSVURT00010027975_ENSVURG00010018808,ENSVURT00010027994_ENSVURG00010018808,ENSVURT00010028005_ENSVURG00010018808,ENSVURT00010028008_ENSVURG00010018808,ENSPCIT00000042209_ENSPCIG00000025378,ENSPCIT00000042204_ENSPCIG00000025378,ENSPCIT00000042217_ENSPCIG00000025378,ENSPCIT00000042212_ENSPCIG00000025378,ENSSHAT00000009164_ENSSHAG00000007874,ENSSHAT00000009165_ENSSHAG00000007874,ENSMODT00000064087_ENSMODG00000009796,ENSMODT00000080766_ENSMODG00000009796,ENSMODT00000053868_ENSMODG00000009796,ENSMODT00000061257_ENSMODG00000009796,ENSMODT00000064411_ENSMODG00000009796,ENSMODT00000056231_ENSMODG00000009796,ENSMODT00000012469_ENSMODG00000009796
ENSVURT00010027957_ENSVURG00010018808,1.0,0.94,0.9,0.88,0.88,0.9,0.98,0.92,0.88,0.85,0.94,0.96,0.94,0.88,0.88,0.94,0.88,0.78,0.83
ENSVURT00010027963_ENSVURG00010018808,0.94,1.0,0.96,0.93,0.93,0.84,0.92,0.98,0.93,0.91,0.88,0.9,0.88,0.94,0.84,0.88,0.82,0.83,0.89
ENSVURT00010027975_ENSVURG00010018808,0.9,0.96,1.0,0.89,0.89,0.8,0.88,0.93,0.98,0.87,0.84,0.86,0.84,0.9,0.88,0.83,0.78,0.87,0.93
ENSVURT00010027994_ENSVURG00010018808,0.88,0.93,0.89,1.0,0.87,0.8,0.85,0.91,0.87,0.85,0.82,0.84,0.82,0.88,0.78,0.81,0.85,0.87,0.93
ENSVURT00010028005_ENSVURG00010018808,0.88,0.93,0.89,0.87,1.0,0.78,0.85,0.91,0.87,0.98,0.84,0.84,0.84,0.9,0.8,0.93,0.78,0.79,0.83
ENSVURT00010028008_ENSVURG00010018808,0.9,0.84,0.8,0.8,0.78,1.0,0.88,0.82,0.78,0.76,0.85,0.87,0.85,0.79,0.79,0.84,0.81,0.71,0.76
ENSPCIT00000042209_ENSPCIG00000025378,0.98,0.92,0.88,0.85,0.85,0.88,1.0,0.94,0.9,0.88,0.92,0.94,0.92,0.86,0.86,0.92,0.86,0.76,0.81
ENSPCIT00000042204_ENSPCIG00000025378,0.92,0.98,0.93,0.91,0.91,0.82,0.94,1.0,0.96,0.93,0.86,0.88,0.86,0.92,0.82,0.85,0.8,0.81,0.87
ENSPCIT00000042217_ENSPCIG00000025378,0.88,0.93,0.98,0.87,0.87,0.78,0.9,0.96,1.0,0.89,0.82,0.84,0.82,0.88,0.85,0.81,0.76,0.85,0.91
ENSPCIT00000042212_ENSPCIG00000025378,0.85,0.91,0.87,0.85,0.98,0.76,0.88,0.93,0.89,1.0,0.82,0.82,0.82,0.88,0.78,0.91,0.76,0.77,0.8
ENSSHAT00000009164_ENSSHAG00000007874,0.94,0.88,0.84,0.82,0.84,0.85,0.92,0.86,0.82,0.82,1.0,0.9,1.0,0.94,0.94,0.9,0.94,0.84,0.78
ENSSHAT00000009165_ENSSHAG00000007874,0.96,0.9,0.86,0.84,0.84,0.87,0.94,0.88,0.84,0.82,0.9,1.0,0.9,0.85,0.85,0.9,0.85,0.75,0.8
ENSMODT00000064087_ENSMODG00000009796,0.94,0.88,0.84,0.82,0.84,0.85,0.92,0.86,0.82,0.82,1.0,0.9,1.0,0.94,0.94,0.9,0.94,0.84,0.78
ENSMODT00000080766_ENSMODG00000009796,0.88,0.94,0.9,0.88,0.9,0.79,0.86,0.92,0.88,0.88,0.94,0.85,0.94,1.0,0.9,0.84,0.88,0.9,0.83
ENSMODT00000053868_ENSMODG00000009796,0.88,0.84,0.88,0.78,0.8,0.79,0.86,0.82,0.85,0.78,0.94,0.85,0.94,0.9,1.0,0.84,0.88,0.88,0.81
ENSMODT00000061257_ENSMODG00000009796,0.94,0.88,0.83,0.81,0.93,0.84,0.92,0.85,0.81,0.91,0.9,0.9,0.9,0.84,0.84,1.0,0.84,0.74,0.77
ENSMODT00000064411_ENSMODG00000009796,0.88,0.82,0.78,0.85,0.78,0.81,0.86,0.8,0.76,0.76,0.94,0.85,0.94,0.88,0.88,0.84,1.0,0.88,0.81
ENSMODT00000056231_ENSMODG00000009796,0.78,0.83,0.87,0.87,0.79,0.71,0.76,0.81,0.85,0.77,0.84,0.75,0.84,0.9,0.88,0.74,0.88,1.0,0.91
ENSMODT00000012469_ENSMODG00000009796,0.83,0.89,0.93,0.93,0.83,0.76,0.81,0.87,0.91,0.8,0.78,0.8,0.78,0.83,0.81,0.77,0.81,0.91,1.0
