,ENSHHUT00000009994_ENSHHUG00000005918,ENSHHUT00000009998_ENSHHUG00000005918,ENSCMIT00000027857_ENSCMIG00000011872,ENSCMIT00000027866_ENSCMIG00000011872,ENSCMIT00000027870_ENSCMIG00000011872,ENSCMIT00000027873_ENSCMIG00000011872,ENSEBUT00000013902_ENSEBUG00000008427,ENSEBUT00000013923_ENSEBUG00000008427,ENSEBUT00000013946_ENSEBUG00000008427,ENSPMAT00000010485_ENSPMAG00000009496,ENSLOCT00000011244_ENSLOCG00000009200,ENSLOCT00000011255_ENSLOCG00000009200,ENSECRT00000025268_ENSECRG00000016755,ENSECRT00000025320_ENSECRG00000016755,ENSAOCT00000007551_ENSAOCG00000008175,ENSSFOT00015014774_ENSSFOG00015009418,ENSSFOT00015014821_ENSSFOG00015009418,ENSSFOT00015014887_ENSSFOG00015009418,ENSSFOT00015014937_ENSSFOG00015009418,ENSSFOT00015014970_ENSSFOG00015009418,ENSSFOT00015015027_ENSSFOG00015009418,ENSSFOT00015015078_ENSSFOG00015009418,ENSPKIT00000025047_ENSPKIG00000019538,ENSPKIT00000025098_ENSPKIG00000019538,ENSPKIT00000025166_ENSPKIG00000019538,ENSPKIT00000025236_ENSPKIG00000019538,ENSPKIT00000025302_ENSPKIG00000019538,ENSPKIT00000025363_ENSPKIG00000019538,ENSPKIT00000025436_ENSPKIG00000019538,ENSPKIT00000025507_ENSPKIG00000019538,ENSPKIT00000025585_ENSPKIG00000019538,ENSPKIT00000025637_ENSPKIG00000019538,ENSPKIT00000015572_ENSPKIG00000013885,ENSPKIT00000015585_ENSPKIG00000013885,ENSSFOT00015024517_ENSSFOG00015015592,ENSSFOT00015024529_ENSSFOG00015015592,ENSCHAT00000004010_ENSCHAG00000002272,ENSCHAT00000004115_ENSCHAG00000002272,ENSCHAT00000004202_ENSCHAG00000002272,ENSCHAT00000004491_ENSCHAG00000002272,ENSCHAT00000005390_ENSCHAG00000002272,ENSCHAT00000005450_ENSCHAG00000002272,ENSCHAT00000005689_ENSCHAG00000002272,ENSCHAT00000005984_ENSCHAG00000002272,ENSDCDT00000053516_ENSDCDG00000026116,ENSDCDT00000053518_ENSDCDG00000026116,ENSDCDT00000053525_ENSDCDG00000026116,ENSDCDT00000053531_ENSDCDG00000026116,ENSDCDT00000053535_ENSDCDG00000026116,ENSDCDT00000053544_ENSDCDG00000026116,ENSDCDT00000053548_ENSDCDG00000026116,ENSDCDT00000053552_ENSDCDG00000026116,ENSDCDT00000053553_ENSDCDG00000026116,ENSDCDT00000053568_ENSDCDG00000026116
ENSHHUT00000009994_ENSHHUG00000005918,1.0,0.79,0.13,0.13,0.13,0.24,0.12,0.12,0.12,0.24,0.09,0.1,0.11,0.11,0.21,0.09,0.1,0.11,0.11,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.11,0.11,0.26,0.26,0.2,0.25,0.09,0.09,0.09,0.09,0.11,0.09,0.1,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11
ENSHHUT00000009998_ENSHHUG00000005918,0.79,1.0,0.12,0.12,0.13,0.23,0.12,0.11,0.12,0.23,0.08,0.09,0.1,0.1,0.2,0.09,0.09,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.26,0.26,0.2,0.24,0.08,0.08,0.08,0.08,0.1,0.08,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.11
ENSCMIT00000027857_ENSCMIG00000011872,0.13,0.12,1.0,0.77,0.83,0.42,0.3,0.29,0.3,0.31,0.52,0.51,0.59,0.62,0.36,0.53,0.53,0.54,0.56,0.54,0.53,0.57,0.53,0.55,0.51,0.53,0.53,0.53,0.53,0.53,0.54,0.6,0.15,0.15,0.39,0.15,0.52,0.52,0.52,0.52,0.57,0.52,0.55,0.57,0.53,0.55,0.55,0.56,0.56,0.53,0.55,0.57,0.57,0.55
ENSCMIT00000027866_ENSCMIG00000011872,0.13,0.12,0.77,1.0,0.77,0.42,0.28,0.27,0.28,0.31,0.53,0.51,0.59,0.63,0.35,0.53,0.53,0.54,0.56,0.54,0.53,0.57,0.53,0.56,0.52,0.53,0.53,0.53,0.53,0.53,0.54,0.6,0.15,0.15,0.38,0.14,0.52,0.53,0.53,0.52,0.55,0.52,0.55,0.58,0.54,0.55,0.55,0.56,0.56,0.54,0.53,0.58,0.58,0.56
ENSCMIT00000027870_ENSCMIG00000011872,0.13,0.13,0.83,0.77,1.0,0.43,0.3,0.29,0.3,0.32,0.52,0.51,0.59,0.63,0.36,0.53,0.53,0.54,0.56,0.54,0.53,0.57,0.53,0.55,0.51,0.53,0.53,0.53,0.53,0.53,0.54,0.6,0.15,0.15,0.4,0.15,0.52,0.52,0.52,0.52,0.57,0.52,0.55,0.58,0.53,0.55,0.55,0.56,0.56,0.53,0.55,0.57,0.57,0.55
ENSCMIT00000027873_ENSCMIG00000011872,0.24,0.23,0.42,0.42,0.43,1.0,0.11,0.11,0.11,0.56,0.3,0.3,0.34,0.35,0.64,0.31,0.31,0.32,0.32,0.31,0.31,0.33,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.35,0.26,0.26,0.7,0.26,0.3,0.31,0.31,0.3,0.35,0.3,0.32,0.33,0.31,0.32,0.32,0.33,0.33,0.31,0.31,0.32,0.37,0.32
ENSEBUT00000013902_ENSEBUG00000008427,0.12,0.12,0.3,0.28,0.3,0.11,1.0,0.78,0.78,0.11,0.24,0.25,0.29,0.29,0.11,0.26,0.28,0.28,0.29,0.26,0.26,0.28,0.26,0.27,0.27,0.28,0.28,0.28,0.28,0.26,0.26,0.29,0.12,0.12,0.11,0.12,0.25,0.27,0.25,0.25,0.25,0.25,0.26,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.26,0.25
ENSEBUT00000013923_ENSEBUG00000008427,0.12,0.11,0.29,0.27,0.29,0.11,0.78,1.0,0.78,0.11,0.24,0.25,0.27,0.29,0.11,0.25,0.25,0.26,0.26,0.26,0.25,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.12,0.12,0.11,0.12,0.24,0.25,0.25,0.24,0.24,0.24,0.26,0.27,0.27,0.27,0.28,0.27,0.28,0.27,0.29,0.29,0.25,0.25
ENSEBUT00000013946_ENSEBUG00000008427,0.12,0.12,0.3,0.28,0.3,0.11,0.78,0.78,1.0,0.11,0.24,0.25,0.28,0.29,0.11,0.26,0.26,0.26,0.27,0.26,0.26,0.28,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.29,0.12,0.12,0.11,0.12,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.26,0.25
ENSPMAT00000010485_ENSPMAG00000009496,0.24,0.23,0.31,0.31,0.32,0.56,0.11,0.11,0.11,1.0,0.22,0.22,0.26,0.26,0.45,0.24,0.24,0.24,0.25,0.24,0.24,0.25,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.26,0.26,0.26,0.51,0.25,0.23,0.23,0.23,0.23,0.26,0.23,0.24,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.28,0.23
