,F14F8.12.1_WBGene00008818,F14F8.13.1_WBGene00023505,T25E12.11.1_WBGene00012026,T25E12.13.1_WBGene00012028,F14F8.4.1_WBGene00008815,F08H9.12.1_WBGene00023515,Y68A4A.6.1_WBGene00013468,Y102A5C.33.1_WBGene00013629,F49H6.11.1_WBGene00009912,C18D4.9.1_WBGene00007678,Y6G8.4.1_WBGene00012406,B0205.2a.1_WBGene00015018,B0205.2b.1_WBGene00015018
F14F8.12.1_WBGene00008818,1.0,0.88,0.69,0.69,0.67,0.6,0.67,0.67,0.66,0.6,0.58,0.43,0.56
F14F8.13.1_WBGene00023505,0.88,1.0,0.68,0.68,0.68,0.61,0.67,0.68,0.67,0.59,0.57,0.42,0.54
T25E12.11.1_WBGene00012026,0.69,0.68,1.0,0.89,0.63,0.61,0.67,0.65,0.64,0.57,0.55,0.41,0.53
T25E12.13.1_WBGene00012028,0.69,0.68,0.89,1.0,0.63,0.6,0.66,0.64,0.63,0.56,0.54,0.41,0.54
F14F8.4.1_WBGene00008815,0.67,0.68,0.63,0.63,1.0,0.58,0.65,0.64,0.63,0.56,0.54,0.41,0.53
F08H9.12.1_WBGene00023515,0.6,0.61,0.61,0.6,0.58,1.0,0.58,0.59,0.57,0.52,0.5,0.35,0.47
Y68A4A.6.1_WBGene00013468,0.67,0.67,0.67,0.66,0.65,0.58,1.0,0.64,0.62,0.57,0.56,0.4,0.52
Y102A5C.33.1_WBGene00013629,0.67,0.68,0.65,0.64,0.64,0.59,0.64,1.0,0.79,0.58,0.56,0.41,0.54
F49H6.11.1_WBGene00009912,0.66,0.67,0.64,0.63,0.63,0.57,0.62,0.79,1.0,0.57,0.54,0.4,0.52
C18D4.9.1_WBGene00007678,0.6,0.59,0.57,0.56,0.56,0.52,0.57,0.58,0.57,1.0,0.74,0.41,0.53
Y6G8.4.1_WBGene00012406,0.58,0.57,0.55,0.54,0.54,0.5,0.56,0.56,0.54,0.74,1.0,0.4,0.52
B0205.2a.1_WBGene00015018,0.43,0.42,0.41,0.41,0.41,0.35,0.4,0.41,0.4,0.41,0.4,1.0,0.82
B0205.2b.1_WBGene00015018,0.56,0.54,0.53,0.54,0.53,0.47,0.52,0.54,0.52,0.53,0.52,0.82,1.0
