apteryx_haastii ENSAHAG00000000553
apteryx_owenii ENSAOWG00000011440
dromaius_novaehollandiae ENSDNVG00000014192
calidris_pygmaea ENSCPGG00000014309
calidris_pugnax ENSCPUG00000018074
taeniopygia_guttata ENSTGUG00000017375
lonchura_striata_domestica ENSLSDG00000016298
serinus_canaria ENSSCAG00000002269
ficedula_albicollis ENSFALG00000003167
junco_hyemalis ENSJHYG00000011644
parus_major ENSPMJG00000009885
lepidothrix_coronata ENSLCOG00000006157
melopsittacus_undulatus ENSMUNG00000007603
coturnix_japonica ENSCJPG00005013999
meleagris_gallopavo ENSMGAG00000014162
gallus_gallus ENSGALG00000030994
numida_meleagris ENSNMEG00000005961
taeniopygia_guttata ENSTGUG00000014420
nothoprocta_perdicaria ENSNPEG00000001623
anser_brachyrhynchus ENSABRG00000020533
apteryx_rowi ENSARWG00000012374
crocodylus_porosus ENSCPRG00005007941
chelonoidis_abingdonii ENSCABG00000017743
gopherus_agassizii ENSGAGG00000023203
chrysemys_picta_bellii ENSCPBG00000026291
pelodiscus_sinensis ENSPSIG00000007061
anolis_carolinensis ENSACAG00000015408
pogona_vitticeps ENSPVIG00000019796
salvator_merianae ENSSMRG00000007705
sphenodon_punctatus ENSSPUG00000001037
notamacropus_eugenii ENSMEUG00000000003
phascolarctos_cinereus ENSPCIG00000024241
sarcophilus_harrisii ENSSHAG00000015996
monodelphis_domestica ENSMODG00000016790
loxodonta_africana ENSLAFG00000016421
procavia_capensis ENSPCAG00000012612
echinops_telfairi ENSETEG00000005242
echinops_telfairi ENSETEG00000010457
equus_caballus ENSECAG00000011340
equus_caballus ENSECAG00000038896
equus_asinus_asinus ENSEASG00005018266
bos_mutus ENSBMUG00000015630
bos_taurus ENSBTAG00000001520
bison_bison_bison ENSBBBG00000016485
capra_hircus ENSCHIG00000015041
ovis_aries ENSOARG00000006351
sus_scrofa ENSSSCG00000006469
tursiops_truncatus ENSTTRG00000014511
myotis_lucifugus ENSMLUG00000010399
pteropus_vampyrus ENSPVAG00000007512
ursus_americanus ENSUAMG00000013426
ursus_maritimus ENSUMAG00000017754
ailuropoda_melanoleuca ENSAMEG00000014954
neovison_vison ENSNVIG00000021105
mustela_putorius_furo ENSMPUG00000004003
canis_lupus_dingo ENSCAFG00020005199
canis_lupus_familiaris ENSCAFG00000016747
vulpes_vulpes ENSVVUG00000006101
panthera_tigris_altaica ENSPTIG00000017559
panthera_pardus ENSPPRG00000013731
felis_catus ENSFCAG00000009501
sorex_araneus ENSSARG00000000094
castor_canadensis ENSCCNG00000024087
dipodomys_ordii ENSDORG00000013739
mus_spicilegus ENSMSIG00000031681
mus_musculus ENSMUSG00000019710
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026086
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025145
mus_pahari MGP_PahariEiJ_G0026588
rattus_norvegicus ENSRNOG00000022234
meriones_unguiculatus ENSMUGG00000024440
cricetulus_griseus_crigri ENSCGRG00000004240
cricetulus_griseus_crigri-picr ENSCGRG00015025956
cricetulus_griseus_chok1gshd ENSCGRG00001014361
cricetulus_griseus_chok1gshd ENSCGRG00001011892
cricetulus_griseus_crigri ENSCGRG00000008577
cricetulus_griseus_crigri-picr ENSCGRG00015017097
mesocricetus_auratus ENSMAUG00000004911
peromyscus_maniculatus_bairdii ENSPEMG00000008158
microtus_ochrogaster ENSMOCG00000019591
nannospalax_galili ENSNGAG00000018401
jaculus_jaculus ENSJJAG00000017536
chinchilla_lanigera ENSCLAG00000003442
octodon_degus ENSODEG00000009307
cavia_porcellus ENSCPOG00000014635
cavia_aperea ENSCAPG00000015794
heterocephalus_glaber_male ENSHGLG00100010700
heterocephalus_glaber_female ENSHGLG00000003327
fukomys_damarensis ENSFDAG00000013215
urocitellus_parryii ENSUPAG00010004651
spermophilus_dauricus ENSSDAG00000023063
ictidomys_tridecemlineatus ENSSTOG00000007772
ictidomys_tridecemlineatus ENSSTOG00000026552
marmota_marmota_marmota ENSMMMG00000013341
oryctolagus_cuniculus ENSOCUG00000001466
ochotona_princeps ENSOPRG00000000646
propithecus_coquereli ENSPCOG00000024370
microcebus_murinus ENSMICG00000008944
prolemur_simus ENSPSMG00000010349
pan_paniscus ENSPPAG00000034534
pan_troglodytes ENSPTRG00000001473
homo_sapiens ENSG00000143314
gorilla_gorilla ENSGGOG00000027836
pongo_abelii ENSPPYG00000000704
nomascus_leucogenys ENSNLEG00000012751
rhinopithecus_bieti ENSRBIG00000043724
rhinopithecus_roxellana ENSRROG00000018487
piliocolobus_tephrosceles ENSPTEG00000013704
colobus_angolensis_palliatus ENSCANG00000028387
chlorocebus_sabaeus ENSCSAG00000018992
chlorocebus_sabaeus ENSCSAG00000002184
papio_anubis ENSPANG00000018542
cercocebus_atys ENSCATG00000041063
mandrillus_leucophaeus ENSMLEG00000027607
macaca_mulatta ENSMMUG00000000039
macaca_fascicularis ENSMFAG00000038168
macaca_nemestrina ENSMNEG00000042926
theropithecus_gelada ENSTGEG00000002154
callithrix_jacchus ENSCJAG00000006151
saimiri_boliviensis_boliviensis ENSSBOG00000031881
cebus_capucinus ENSCCAG00000034824
aotus_nancymaae ENSANAG00000034633
otolemur_garnettii ENSOGAG00000016825
carlito_syrichta ENSTSYG00000010231
tupaia_belangeri ENSTBEG00000015330
dasypus_novemcinctus ENSDNOG00000036571
ornithorhynchus_anatinus ENSOANG00000004559
xenopus_tropicalis ENSXETG00000018514
latimeria_chalumnae ENSLACG00000016614
seriola_lalandi_dorsalis ENSSLDG00000015607
seriola_dumerili ENSSDUG00000014548
scophthalmus_maximus ENSSMAG00000004352
periophthalmus_magnuspinnatus ENSPMGG00000021571
hippocampus_comes ENSHCOG00000003539
cynoglossus_semilaevis ENSCSEG00000006937
mastacembelus_armatus ENSMAMG00000016110
kryptolebias_marmoratus ENSKMAG00000010337
fundulus_heteroclitus ENSFHEG00000010405
cyprinodon_variegatus ENSCVAG00000013486
xiphophorus_maculatus ENSXMAG00000015099
gambusia_affinis ENSGAFG00000006423
poecilia_formosa ENSPFOG00000007709
poecilia_latipinna ENSPLAG00000011406
poecilia_mexicana ENSPMEG00000010505
xiphophorus_couchianus ENSXCOG00000019842
poecilia_reticulata ENSPREG00000012621
oryzias_latipes_asm223469v1 ENSORLG00015009595
oryzias_latipes ENSORLG00000020211
oryzias_melastigma ENSOMEG00000005545
stegastes_partitus ENSSPAG00000019224
maylandia_zebra ENSMZEG00005026624
astatotilapia_calliptera ENSACLG00000010827
pundamilia_nyererei ENSPNYG00000009437
neolamprologus_brichardi ENSNBRG00000000068
oreochromis_niloticus ENSONIG00000019772
amphilophus_citrinellus ENSACIG00000002624
labrus_bergylta ENSLBEG00000025438
gasterosteus_aculeatus ENSGACG00000004206
takifugu_rubripes ENSTRUG00000013588
tetraodon_nigroviridis ENSTNIG00000017529
mola_mola ENSMMOG00000017910
amphiprion_ocellaris ENSAOCG00000020676
amphiprion_percula ENSAPEG00000007569
acanthochromis_polyacanthus ENSAPOG00000021855
anabas_testudineus ENSATEG00000010477
monopterus_albus ENSMALG00000008190
gadus_morhua ENSGMOG00000016999
esox_lucius ENSELUG00000015553
pygocentrus_nattereri ENSPNAG00000008084
astyanax_mexicanus ENSAMXG00000008374
ictalurus_punctatus ENSIPUG00000011593
danio_rerio ENSDARG00000019222
