stegastes_partitus ENSSPAG00000018159
acanthochromis_polyacanthus ENSAPOG00000005411
haplochromis_burtoni ENSHBUG00000003418
maylandia_zebra ENSMZEG00005018247
oreochromis_niloticus ENSONIG00000007555
kryptolebias_marmoratus ENSKMAG00000014306
labrus_bergylta ENSLBEG00000014285
gasterosteus_aculeatus ENSGACG00000000655
mastacembelus_armatus ENSMAMG00000020919
monopterus_albus ENSMALG00000005891
anabas_testudineus ENSATEG00000001956
poecilia_formosa ENSPFOG00000000280
poecilia_mexicana ENSPMEG00000008058
cyprinodon_variegatus ENSCVAG00000008737
oryzias_latipes_asm223469v1 ENSORLG00015002033
oryzias_latipes ENSORLG00000025107
oryzias_melastigma ENSOMEG00000020429
gadus_morhua ENSGMOG00000017051
esox_lucius ENSELUG00000009615
astyanax_mexicanus ENSAMXG00000010211
pygocentrus_nattereri ENSPNAG00000029899
ictalurus_punctatus ENSIPUG00000018748
danio_rerio ENSDARG00000045747
scleropages_formosus ENSSFOG00015021926
paramormyrops_kingsleyae ENSPKIG00000016047
chelonoidis_abingdonii ENSCABG00000010273
chelonoidis_abingdonii ENSCABG00000010274
chrysemys_picta_bellii ENSCPBG00000008316
apteryx_rowi ENSARWG00000018549
apteryx_haastii ENSAHAG00000016390
apteryx_owenii ENSAOWG00000000997
cyanistes_caeruleus ENSCCEG00000004812
pelodiscus_sinensis ENSPSIG00000006819
notamacropus_eugenii ENSMEUG00000012056
phascolarctos_cinereus ENSPCIG00000011081
sarcophilus_harrisii ENSSHAG00000013416
monodelphis_domestica ENSMODG00000015486
chinchilla_lanigera ENSCLAG00000005090
octodon_degus ENSODEG00000011686
cavia_porcellus ENSCPOG00000007693
cavia_aperea ENSCAPG00000015011
heterocephalus_glaber_female ENSHGLG00000007984
heterocephalus_glaber_male ENSHGLG00100013284
fukomys_damarensis ENSFDAG00000016587
urocitellus_parryii ENSUPAG00010015735
ictidomys_tridecemlineatus ENSSTOG00000006527
spermophilus_dauricus ENSSDAG00000009084
marmota_marmota_marmota ENSMMMG00000014806
castor_canadensis ENSCCNG00000016514
dipodomys_ordii ENSDORG00000014498
meriones_unguiculatus ENSMUGG00000006912
meriones_unguiculatus ENSMUGG00000014536
mus_spicilegus ENSMSIG00000019364
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029130
mus_musculus ENSMUSG00000062980
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028130
mus_pahari MGP_PahariEiJ_G0021886
rattus_norvegicus ENSRNOG00000021840
cricetulus_griseus_chok1gshd ENSCGRG00001009705
cricetulus_griseus_crigri-picr ENSCGRG00015026778
cricetulus_griseus_crigri ENSCGRG00000011388
mesocricetus_auratus ENSMAUG00000012676
