chinchilla_lanigera ENSCLAG00000002439
fukomys_damarensis ENSFDAG00000002429
octodon_degus ENSODEG00000019776
dipodomys_ordii ENSDORG00000024714
jaculus_jaculus ENSJJAG00000005176
marmota_marmota_marmota ENSMMMG00000018196
urocitellus_parryii ENSUPAG00010016633
ictidomys_tridecemlineatus ENSSTOG00000022826
spermophilus_dauricus ENSSDAG00000002156
panthera_pardus ENSPPRG00000012239
panthera_tigris_altaica ENSPTIG00000006948
pteropus_vampyrus ENSPVAG00000014301
sorex_araneus ENSSARG00000001679
erinaceus_europaeus ENSEEUG00000006074
sus_scrofa ENSSSCG00000038102
phascolarctos_cinereus ENSPCIG00000017715
