cricetulus_griseus_chok1gshd ENSCGRG00001018687
cricetulus_griseus_crigri ENSCGRG00000001512
cricetulus_griseus_crigri-picr ENSCGRG00015019502
mesocricetus_auratus ENSMAUG00000009376
peromyscus_maniculatus_bairdii ENSPEMG00000025473
microtus_ochrogaster ENSMOCG00000010080
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034519
mus_spicilegus ENSMSIG00000000044
mus_musculus ENSMUSG00000079460
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033353
mus_pahari MGP_PahariEiJ_G0031893
rattus_norvegicus ENSRNOG00000042394
nannospalax_galili ENSNGAG00000001929
jaculus_jaculus ENSJJAG00000005323
dipodomys_ordii ENSDORG00000027967
ictidomys_tridecemlineatus ENSSTOG00000023046
oryctolagus_cuniculus ENSOCUG00000021447
myotis_lucifugus ENSMLUG00000026037
loxodonta_africana ENSLAFG00000028905
