apteryx_rowi ENSARWG00000003870
apteryx_haastii ENSAHAG00000003684
apteryx_owenii ENSAOWG00000011211
dromaius_novaehollandiae ENSDNVG00000014039
nothoprocta_perdicaria ENSNPEG00000003947
anas_platyrhynchos_platyrhynchos ENSAPLG00000010699
anser_brachyrhynchus ENSABRG00000015195
meleagris_gallopavo ENSMGAG00000004135
coturnix_japonica ENSCJPG00005009011
gallus_gallus ENSGALG00000032145
numida_meleagris ENSNMEG00000017962
calidris_pygmaea ENSCPGG00000004451
calidris_pugnax ENSCPUG00000007913
melopsittacus_undulatus ENSMUNG00000009932
cyanistes_caeruleus ENSCCEG00000004734
cyanistes_caeruleus ENSCCEG00000001365
parus_major ENSPMJG00000006588
junco_hyemalis ENSJHYG00000005511
lonchura_striata_domestica ENSLSDG00000014937
taeniopygia_guttata ENSTGUG00000000370
ficedula_albicollis ENSFALG00000008765
lepidothrix_coronata ENSLCOG00000008949
manacus_vitellinus ENSMVIG00005017305
crocodylus_porosus ENSCPRG00005014315
chrysemys_picta_bellii ENSCPBG00000022112
chelonoidis_abingdonii ENSCABG00000003962
pelodiscus_sinensis ENSPSIG00000018243
pogona_vitticeps ENSPVIG00000024965
anolis_carolinensis ENSACAG00000006599
notechis_scutatus ENSNSUG00000007553
salvator_merianae ENSSMRG00000007236
sphenodon_punctatus ENSSPUG00000005212
loxodonta_africana ENSLAFG00000031314
procavia_capensis ENSPCAG00000008137
echinops_telfairi ENSETEG00000002426
ovis_aries ENSOARG00000006000
capra_hircus ENSCHIG00000017893
bos_mutus ENSBMUG00000008125
bos_taurus ENSBTAG00000001767
bison_bison_bison ENSBBBG00000010990
tursiops_truncatus ENSTTRG00000015748
sus_scrofa ENSSSCG00000014035
equus_asinus_asinus ENSEASG00005012554
equus_caballus ENSECAG00000011175
ailuropoda_melanoleuca ENSAMEG00000006527
ursus_americanus ENSUAMG00000003674
mustela_putorius_furo ENSMPUG00000000752
neovison_vison ENSNVIG00000023145
canis_lupus_dingo ENSCAFG00020003660
canis_lupus_familiaris ENSCAFG00000000231
vulpes_vulpes ENSVVUG00000000970
panthera_pardus ENSPPRG00000000505
panthera_tigris_altaica ENSPTIG00000021765
felis_catus ENSFCAG00000024195
oryctolagus_cuniculus ENSOCUG00000003023
ochotona_princeps ENSOPRG00000007869
dipodomys_ordii ENSDORG00000000618
propithecus_coquereli ENSPCOG00000024461
prolemur_simus ENSPSMG00000012514
microcebus_murinus ENSMICG00000034153
otolemur_garnettii ENSOGAG00000029229
pan_paniscus ENSPPAG00000043542
pan_troglodytes ENSPTRG00000017592
homo_sapiens ENSG00000027847
gorilla_gorilla ENSGGOG00000036813
nomascus_leucogenys ENSNLEG00000012876
rhinopithecus_roxellana ENSRROG00000033084
rhinopithecus_bieti ENSRBIG00000035574
piliocolobus_tephrosceles ENSPTEG00000005869
piliocolobus_tephrosceles ENSPTEG00000005661
mandrillus_leucophaeus ENSMLEG00000042887
theropithecus_gelada ENSTGEG00000016411
papio_anubis ENSPANG00000014156
macaca_nemestrina ENSMNEG00000029820
macaca_mulatta ENSMMUG00000029662
macaca_fascicularis ENSMFAG00000040618
cercocebus_atys ENSCATG00000040396
chlorocebus_sabaeus ENSCSAG00000008715
saimiri_boliviensis_boliviensis ENSSBOG00000032343
callithrix_jacchus ENSCJAG00000011183
cebus_capucinus ENSCCAG00000024518
