seriola_lalandi_dorsalis ENSSLDG00000019258
seriola_dumerili ENSSDUG00000022822
scophthalmus_maximus ENSSMAG00000008474
monopterus_albus ENSMALG00000000569
mastacembelus_armatus ENSMAMG00000018020
anabas_testudineus ENSATEG00000023909
labrus_bergylta ENSLBEG00000027647
gasterosteus_aculeatus ENSGACG00000008312
cynoglossus_semilaevis ENSCSEG00000007268
amphiprion_percula ENSAPEG00000003829
amphiprion_ocellaris ENSAOCG00000007850
acanthochromis_polyacanthus ENSAPOG00000003763
stegastes_partitus ENSSPAG00000015292
astatotilapia_calliptera ENSACLG00000010635
maylandia_zebra ENSMZEG00005026924
pundamilia_nyererei ENSPNYG00000004873
haplochromis_burtoni ENSHBUG00000022417
neolamprologus_brichardi ENSNBRG00000016763
oreochromis_niloticus ENSONIG00000019426
amphilophus_citrinellus ENSACIG00000016828
xiphophorus_maculatus ENSXMAG00000021261
xiphophorus_couchianus ENSXCOG00000017631
gambusia_affinis ENSGAFG00000008675
poecilia_formosa ENSPFOG00000006632
poecilia_mexicana ENSPMEG00000022645
poecilia_latipinna ENSPLAG00000010914
poecilia_reticulata ENSPREG00000001019
fundulus_heteroclitus ENSFHEG00000003884
cyprinodon_variegatus ENSCVAG00000002570
kryptolebias_marmoratus ENSKMAG00000000466
tetraodon_nigroviridis ENSTNIG00000011000
takifugu_rubripes ENSTRUG00000023576
mola_mola ENSMMOG00000004901
oryzias_latipes_asm223469v1 ENSORLG00015007178
oryzias_latipes ENSORLG00020012180
oryzias_latipes ENSORLG00000016755
oryzias_melastigma ENSOMEG00000016112
hippocampus_comes ENSHCOG00000011672
gadus_morhua ENSGMOG00000017447
esox_lucius ENSELUG00000011193
periophthalmus_magnuspinnatus ENSPMGG00000022783
pygocentrus_nattereri ENSPNAG00000002363
astyanax_mexicanus ENSAMXG00000008474
ictalurus_punctatus ENSIPUG00000000463
danio_rerio ENSDARG00000035763
paramormyrops_kingsleyae ENSPKIG00000004152
scleropages_formosus ENSSFOG00015005528
lepisosteus_oculatus ENSLOCG00000009998
anas_platyrhynchos_platyrhynchos ENSAPLG00000003942
anser_brachyrhynchus ENSABRG00000001552
meleagris_gallopavo ENSMGAG00000012712
coturnix_japonica ENSCJPG00005018525
gallus_gallus ENSGALG00000015012
numida_meleagris ENSNMEG00000019248
zonotrichia_albicollis ENSZALG00000007595
junco_hyemalis ENSJHYG00000017643
lonchura_striata_domestica ENSLSDG00000006977
parus_major ENSPMJG00000016402
lepidothrix_coronata ENSLCOG00000015592
taeniopygia_guttata ENSTGUG00000009937
taeniopygia_guttata ENSTGUG00000017111
serinus_canaria ENSSCAG00000000340
ficedula_albicollis ENSFALG00000009455
manacus_vitellinus ENSMVIG00005004116
cyanistes_caeruleus ENSCCEG00000022915
melopsittacus_undulatus ENSMUNG00000016140
calidris_pygmaea ENSCPGG00000010377
calidris_pugnax ENSCPUG00000002995
apteryx_owenii ENSAOWG00000014274
apteryx_haastii ENSAHAG00000015821
apteryx_rowi ENSARWG00000014303
dromaius_novaehollandiae ENSDNVG00000003582
nothoprocta_perdicaria ENSNPEG00000002617
crocodylus_porosus ENSCPRG00005003880
gopherus_agassizii ENSGAGG00000021936
chelonoidis_abingdonii ENSCABG00000020496
chrysemys_picta_bellii ENSCPBG00000005749
pelodiscus_sinensis ENSPSIG00000016373
pogona_vitticeps ENSPVIG00000023186
anolis_carolinensis ENSACAG00000011038
notechis_scutatus ENSNSUG00000008390
salvator_merianae ENSSMRG00000023429
sphenodon_punctatus ENSSPUG00000007639
notamacropus_eugenii ENSMEUG00000013122
phascolarctos_cinereus ENSPCIG00000028215
monodelphis_domestica ENSMODG00000001530
sarcophilus_harrisii ENSSHAG00000008946
cavia_porcellus ENSCPOG00000020979
cavia_aperea ENSCAPG00000012933
octodon_degus ENSODEG00000010096
chinchilla_lanigera ENSCLAG00000014826
heterocephalus_glaber_female ENSHGLG00000004074
heterocephalus_glaber_male ENSHGLG00100011763
fukomys_damarensis ENSFDAG00000018621
dipodomys_ordii ENSDORG00000013927
marmota_marmota_marmota ENSMMMG00000015577
ictidomys_tridecemlineatus ENSSTOG00000014992
spermophilus_dauricus ENSSDAG00000016729
urocitellus_parryii ENSUPAG00010016466
oryctolagus_cuniculus ENSOCUG00000022115
oryctolagus_cuniculus ENSOCUG00000023273
oryctolagus_cuniculus ENSOCUG00000024666
oryctolagus_cuniculus ENSOCUG00000008072
ochotona_princeps ENSOPRG00000001138
microcebus_murinus ENSMICG00000009557
prolemur_simus ENSPSMG00000017430
propithecus_coquereli ENSPCOG00000022923
otolemur_garnettii ENSOGAG00000008553
homo_sapiens ENSG00000168818
pongo_abelii ENSPPYG00000014598
nomascus_leucogenys ENSNLEG00000016132
rhinopithecus_bieti ENSRBIG00000030947
rhinopithecus_roxellana ENSRROG00000043089
piliocolobus_tephrosceles ENSPTEG00000038515
macaca_nemestrina ENSMNEG00000034067
macaca_mulatta ENSMMUG00000020204
macaca_fascicularis ENSMFAG00000043473
papio_anubis ENSPANG00000002440
chlorocebus_sabaeus ENSCSAG00000016261
mandrillus_leucophaeus ENSMLEG00000030053
cercocebus_atys ENSCATG00000042652
theropithecus_gelada ENSTGEG00000025849
pan_paniscus ENSPPAG00000028228
pan_troglodytes ENSPTRG00000015870
gorilla_gorilla ENSGGOG00000028443
nomascus_leucogenys ENSNLEG00000003634
papio_anubis ENSPANG00000035070
mandrillus_leucophaeus ENSMLEG00000033338
macaca_nemestrina ENSMNEG00000040190
macaca_mulatta ENSMMUG00000047610
cercocebus_atys ENSCATG00000034184
rhinopithecus_bieti ENSRBIG00000027332
rhinopithecus_roxellana ENSRROG00000029465
pan_paniscus ENSPPAG00000033946
pan_troglodytes ENSPTRG00000047154
gorilla_gorilla ENSGGOG00000011121
colobus_angolensis_palliatus ENSCANG00000030653
saimiri_boliviensis_boliviensis ENSSBOG00000031642
cebus_capucinus ENSCCAG00000023114
callithrix_jacchus ENSCJAG00000000139
aotus_nancymaae ENSANAG00000028430
tupaia_belangeri ENSTBEG00000005672
dasypus_novemcinctus ENSDNOG00000007299
neovison_vison ENSNVIG00000007980
mustela_putorius_furo ENSMPUG00000007952
ursus_maritimus ENSUMAG00000000239
ursus_americanus ENSUAMG00000012697
ailuropoda_melanoleuca ENSAMEG00000013685
canis_lupus_familiaris ENSCAFG00000015700
canis_lupus_dingo ENSCAFG00020010892
vulpes_vulpes ENSVVUG00000014947
equus_asinus_asinus ENSEASG00005005299
equus_caballus ENSECAG00000015983
panthera_pardus ENSPPRG00000006631
panthera_tigris_altaica ENSPTIG00000007842
felis_catus ENSFCAG00000015515
pteropus_vampyrus ENSPVAG00000015190
capra_hircus ENSCHIG00000020439
ovis_aries ENSOARG00000007436
bos_taurus ENSBTAG00000005712
bos_mutus ENSBMUG00000002877
bison_bison_bison ENSBBBG00000017995
tursiops_truncatus ENSTTRG00000012826
vicugna_pacos ENSVPAG00000010077
sus_scrofa ENSSSCG00000038731
myotis_lucifugus ENSMLUG00000010496
carlito_syrichta ENSTSYG00000011713
choloepus_hoffmanni ENSCHOG00000008835
loxodonta_africana ENSLAFG00000000395
procavia_capensis ENSPCAG00000000860
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028171
mus_spicilegus ENSMSIG00000025536
mus_musculus ENSMUSG00000029125
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027174
mus_pahari MGP_PahariEiJ_G0016958
rattus_norvegicus ENSRNOG00000006139
