cyprinodon_variegatus ENSCVAG00000003689
amphilophus_citrinellus ENSACIG00000007616
cynoglossus_semilaevis ENSCSEG00000008215
seriola_lalandi_dorsalis ENSSLDG00000013636
hippocampus_comes ENSHCOG00000010490
haplochromis_burtoni ENSHBUG00000004402
pundamilia_nyererei ENSPNYG00000008011
haplochromis_burtoni ENSHBUG00000017914
pundamilia_nyererei ENSPNYG00000007990
acanthochromis_polyacanthus ENSAPOG00000002632
mola_mola ENSMMOG00000001482
periophthalmus_magnuspinnatus ENSPMGG00000012099
xiphophorus_maculatus ENSXMAG00000027085
xiphophorus_couchianus ENSXCOG00000008843
gambusia_affinis ENSGAFG00000006685
anabas_testudineus ENSATEG00000017843
taeniopygia_guttata ENSTGUG00000017297
ficedula_albicollis ENSFALG00000015215
junco_hyemalis ENSJHYG00000004159
numida_meleagris ENSNMEG00000020818
apteryx_rowi ENSARWG00000003284
dromaius_novaehollandiae ENSDNVG00000000539
