takifugu_rubripes ENSTRUG00000014365
tetraodon_nigroviridis ENSTNIG00000017672
mola_mola ENSMMOG00000006310
labrus_bergylta ENSLBEG00000022202
seriola_dumerili ENSSDUG00000000676
seriola_lalandi_dorsalis ENSSLDG00000021791
scophthalmus_maximus ENSSMAG00000013008
monopterus_albus ENSMALG00000013568
mastacembelus_armatus ENSMAMG00000013965
anabas_testudineus ENSATEG00000014282
cyprinodon_variegatus ENSCVAG00000006748
fundulus_heteroclitus ENSFHEG00000013565
xiphophorus_maculatus ENSXMAG00000014153
gambusia_affinis ENSGAFG00000019248
poecilia_formosa ENSPFOG00000018457
poecilia_latipinna ENSPLAG00000007417
poecilia_mexicana ENSPMEG00000002579
poecilia_reticulata ENSPREG00000018660
kryptolebias_marmoratus ENSKMAG00000013237
oryzias_latipes ENSORLG00020013704
oryzias_latipes ENSORLG00000000359
oryzias_latipes_asm223469v1 ENSORLG00015009598
oryzias_melastigma ENSOMEG00000016327
amphiprion_percula ENSAPEG00000016348
amphiprion_ocellaris ENSAOCG00000014312
acanthochromis_polyacanthus ENSAPOG00000022649
stegastes_partitus ENSSPAG00000014157
maylandia_zebra ENSMZEG00005020546
astatotilapia_calliptera ENSACLG00000017477
haplochromis_burtoni ENSHBUG00000014376
pundamilia_nyererei ENSPNYG00000011777
neolamprologus_brichardi ENSNBRG00000004516
oreochromis_niloticus ENSONIG00000003085
amphilophus_citrinellus ENSACIG00000023661
periophthalmus_magnuspinnatus ENSPMGG00000021176
gasterosteus_aculeatus ENSGACG00000014104
gadus_morhua ENSGMOG00000007031
cynoglossus_semilaevis ENSCSEG00000000862
esox_lucius ENSELUG00000005521
astyanax_mexicanus ENSAMXG00000036711
pygocentrus_nattereri ENSPNAG00000010608
ictalurus_punctatus ENSIPUG00000008908
danio_rerio ENSDARG00000009074
paramormyrops_kingsleyae ENSPKIG00000003928
scleropages_formosus ENSSFOG00015017754
lepisosteus_oculatus ENSLOCG00000013078
anser_brachyrhynchus ENSABRG00000016965
anas_platyrhynchos_platyrhynchos ENSAPLG00000006660
gallus_gallus ENSGALG00000009714
coturnix_japonica ENSCJPG00005000833
meleagris_gallopavo ENSMGAG00000002684
numida_meleagris ENSNMEG00000021866
manacus_vitellinus ENSMVIG00005013413
manacus_vitellinus ENSMVIG00005003344
lepidothrix_coronata ENSLCOG00000014437
lonchura_striata_domestica ENSLSDG00000009971
taeniopygia_guttata ENSTGUG00000006085
serinus_canaria ENSSCAG00000010314
junco_hyemalis ENSJHYG00000010722
zonotrichia_albicollis ENSZALG00000011051
parus_major ENSPMJG00000000979
cyanistes_caeruleus ENSCCEG00000013379
ficedula_albicollis ENSFALG00000011375
melopsittacus_undulatus ENSMUNG00000015173
calidris_pygmaea ENSCPGG00000006940
calidris_pugnax ENSCPUG00000004964
apteryx_haastii ENSAHAG00000002722
apteryx_owenii ENSAOWG00000006434
apteryx_rowi ENSARWG00000017517
dromaius_novaehollandiae ENSDNVG00000006527
nothoprocta_perdicaria ENSNPEG00000002679
crocodylus_porosus ENSCPRG00005011084
chrysemys_picta_bellii ENSCPBG00000027519
