anas_platyrhynchos_platyrhynchos ENSAPLG00000027036
notechis_scutatus ENSNSUG00000017214
castor_canadensis ENSCCNG00000029101
vulpes_vulpes ENSVVUG00000007425
ursus_americanus ENSUAMG00000026579
phascolarctos_cinereus ENSPCIG00000031472
apteryx_haastii ENSAHAG00000011119
apteryx_rowi ENSARWG00000016902
apteryx_owenii ENSAOWG00000019030
manacus_vitellinus ENSMVIG00005016764
chelonoidis_abingdonii ENSCABG00000010297
poecilia_mexicana ENSPMEG00000022276
poecilia_latipinna ENSPLAG00000014467
stegastes_partitus ENSSPAG00000006916
