kryptolebias_marmoratus ENSKMAG00000001850
oryzias_latipes_asm223469v1 ENSORLG00015009799
poecilia_latipinna ENSPLAG00000014674
poecilia_mexicana ENSPMEG00000019707
gambusia_affinis ENSGAFG00000018865
xiphophorus_maculatus ENSXMAG00000029325
xiphophorus_couchianus ENSXCOG00000003597
cyprinodon_variegatus ENSCVAG00000013715
fundulus_heteroclitus ENSFHEG00000016860
scophthalmus_maximus ENSSMAG00000020580
acanthochromis_polyacanthus ENSAPOG00000002573
amphiprion_ocellaris ENSAOCG00000024146
stegastes_partitus ENSSPAG00000000117
seriola_dumerili ENSSDUG00000001333
seriola_lalandi_dorsalis ENSSLDG00000003851
labrus_bergylta ENSLBEG00000003415
monopterus_albus ENSMALG00000016804
mastacembelus_armatus ENSMAMG00000004155
anabas_testudineus ENSATEG00000007764
periophthalmus_magnuspinnatus ENSPMGG00000009895
paramormyrops_kingsleyae ENSPKIG00000002805
scleropages_formosus ENSSFOG00015004907
