chelonoidis_abingdonii ENSCABG00000006905
gopherus_agassizii ENSGAGG00000019722
chrysemys_picta_bellii ENSCPBG00000012759
numida_meleagris ENSNMEG00000014948
numida_meleagris ENSNMEG00000014947
gallus_gallus ENSGALG00000033510
meleagris_gallopavo ENSMGAG00000016511
coturnix_japonica ENSCJPG00005002126
lonchura_striata_domestica ENSLSDG00000003865
calidris_pygmaea ENSCPGG00000005214
calidris_pugnax ENSCPUG00000013918
apteryx_owenii ENSAOWG00000008068
pelodiscus_sinensis ENSPSIG00000003096
sphenodon_punctatus ENSSPUG00000014805
pogona_vitticeps ENSPVIG00000017574
anolis_carolinensis ENSACAG00000005090
notechis_scutatus ENSNSUG00000008483
salvator_merianae ENSSMRG00000004913
mus_spicilegus ENSMSIG00000000751
mus_musculus ENSMUSG00000018166
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016770
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015945
mus_pahari MGP_PahariEiJ_G0031139
rattus_norvegicus ENSRNOG00000004964
meriones_unguiculatus ENSMUGG00000022725
peromyscus_maniculatus_bairdii ENSPEMG00000008685
microtus_ochrogaster ENSMOCG00000018658
cricetulus_griseus_chok1gshd ENSCGRG00001001394
cricetulus_griseus_crigri ENSCGRG00000005793
cricetulus_griseus_crigri-picr ENSCGRG00015028221
mesocricetus_auratus ENSMAUG00000015213
nannospalax_galili ENSNGAG00000013267
jaculus_jaculus ENSJJAG00000021056
urocitellus_parryii ENSUPAG00010015264
spermophilus_dauricus ENSSDAG00000006255
marmota_marmota_marmota ENSMMMG00000014039
ictidomys_tridecemlineatus ENSSTOG00000024297
castor_canadensis ENSCCNG00000019882
dipodomys_ordii ENSDORG00000001076
cavia_porcellus ENSCPOG00000014852
cavia_aperea ENSCAPG00000002677
octodon_degus ENSODEG00000008152
chinchilla_lanigera ENSCLAG00000010219
heterocephalus_glaber_female ENSHGLG00000014143
heterocephalus_glaber_male ENSHGLG00100013951
fukomys_damarensis ENSFDAG00000004307
oryctolagus_cuniculus ENSOCUG00000017322
ochotona_princeps ENSOPRG00000005724
carlito_syrichta ENSTSYG00000006754
tupaia_belangeri ENSTBEG00000000147
