xiphophorus_maculatus ENSXMAG00000014738
xiphophorus_couchianus ENSXCOG00000012086
gambusia_affinis ENSGAFG00000005258
poecilia_latipinna ENSPLAG00000020655
poecilia_formosa ENSPFOG00000015056
poecilia_mexicana ENSPMEG00000008711
poecilia_reticulata ENSPREG00000009419
fundulus_heteroclitus ENSFHEG00000010772
kryptolebias_marmoratus ENSKMAG00000020545
oryzias_melastigma ENSOMEG00000004956
amphilophus_citrinellus ENSACIG00000007116
neolamprologus_brichardi ENSNBRG00000004651
mastacembelus_armatus ENSMAMG00000020196
periophthalmus_magnuspinnatus ENSPMGG00000001363
gadus_morhua ENSGMOG00000012407
esox_lucius ENSELUG00000018377
astyanax_mexicanus ENSAMXG00000021028
pygocentrus_nattereri ENSPNAG00000008233
ictalurus_punctatus ENSIPUG00000017938
scleropages_formosus ENSSFOG00015015086
paramormyrops_kingsleyae ENSPKIG00000008300
lepisosteus_oculatus ENSLOCG00000009273
phascolarctos_cinereus ENSPCIG00000033559
notamacropus_eugenii ENSMEUG00000008756
sarcophilus_harrisii ENSSHAG00000010386
monodelphis_domestica ENSMODG00000017302
spermophilus_dauricus ENSSDAG00000020254
urocitellus_parryii ENSUPAG00010008465
ictidomys_tridecemlineatus ENSSTOG00000011694
marmota_marmota_marmota ENSMMMG00000009618
dipodomys_ordii ENSDORG00000008959
cricetulus_griseus_crigri ENSCGRG00000014801
cricetulus_griseus_crigri-picr ENSCGRG00015010878
cricetulus_griseus_chok1gshd ENSCGRG00001000055
mesocricetus_auratus ENSMAUG00000002986
peromyscus_maniculatus_bairdii ENSPEMG00000014458
microtus_ochrogaster ENSMOCG00000019026
mus_spicilegus ENSMSIG00000030392
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016205
mus_musculus ENSMUSG00000036875
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015394
mus_pahari MGP_PahariEiJ_G0030810
rattus_norvegicus ENSRNOG00000000387
meriones_unguiculatus ENSMUGG00000016401
nannospalax_galili ENSNGAG00000020408
jaculus_jaculus ENSJJAG00000021501
chinchilla_lanigera ENSCLAG00000012086
octodon_degus ENSODEG00000004357
cavia_porcellus ENSCPOG00000026598
cavia_aperea ENSCAPG00000014821
heterocephalus_glaber_male ENSHGLG00100017056
heterocephalus_glaber_female ENSHGLG00000012094
fukomys_damarensis ENSFDAG00000012131
oryctolagus_cuniculus ENSOCUG00000008534
ochotona_princeps ENSOPRG00000014902
tupaia_belangeri ENSTBEG00000010166
microcebus_murinus ENSMICG00000004377
propithecus_coquereli ENSPCOG00000027108
prolemur_simus ENSPSMG00000010012
otolemur_garnettii ENSOGAG00000011182
carlito_syrichta ENSTSYG00000000984
pan_paniscus ENSPPAG00000037011
pan_troglodytes ENSPTRG00000002556
homo_sapiens ENSG00000138346
pongo_abelii ENSPPYG00000002395
gorilla_gorilla ENSGGOG00000010645
nomascus_leucogenys ENSNLEG00000011828
macaca_fascicularis ENSMFAG00000030634
nomascus_leucogenys ENSNLEG00000030777
propithecus_coquereli ENSPCOG00000024631
castor_canadensis ENSCCNG00000022606
ursus_americanus ENSUAMG00000012839
piliocolobus_tephrosceles ENSPTEG00000028964
colobus_angolensis_palliatus ENSCANG00000029426
rhinopithecus_roxellana ENSRROG00000032794
rhinopithecus_bieti ENSRBIG00000041239
macaca_fascicularis ENSMFAG00000036094
macaca_nemestrina ENSMNEG00000027893
macaca_mulatta ENSMMUG00000030532
theropithecus_gelada ENSTGEG00000029205
papio_anubis ENSPANG00000022119
cercocebus_atys ENSCATG00000033971
mandrillus_leucophaeus ENSMLEG00000029705
chlorocebus_sabaeus ENSCSAG00000007597
cebus_capucinus ENSCCAG00000022556
saimiri_boliviensis_boliviensis ENSSBOG00000026235
callithrix_jacchus ENSCJAG00000019040
aotus_nancymaae ENSANAG00000037527
dasypus_novemcinctus ENSDNOG00000007324
choloepus_hoffmanni ENSCHOG00000002056
loxodonta_africana ENSLAFG00000012975
echinops_telfairi ENSETEG00000010406
ovis_aries ENSOARG00000005076
capra_hircus ENSCHIG00000018956
bos_taurus ENSBTAG00000002620
bos_mutus ENSBMUG00000022769
bison_bison_bison ENSBBBG00000008416
tursiops_truncatus ENSTTRG00000013325
sus_scrofa ENSSSCG00000010240
vicugna_pacos ENSVPAG00000011816
ailuropoda_melanoleuca ENSAMEG00000018028
ursus_maritimus ENSUMAG00000007318
neovison_vison ENSNVIG00000012601
mustela_putorius_furo ENSMPUG00000012166
canis_lupus_dingo ENSCAFG00020026143
canis_lupus_familiaris ENSCAFG00000013710
vulpes_vulpes ENSVVUG00000020201
panthera_pardus ENSPPRG00000001961
panthera_tigris_altaica ENSPTIG00000010858
felis_catus ENSFCAG00000010848
myotis_lucifugus ENSMLUG00000015224
myotis_lucifugus ENSMLUG00000029232
pteropus_vampyrus ENSPVAG00000008039
equus_caballus ENSECAG00000022137
equus_asinus_asinus ENSEASG00005015449
sorex_araneus ENSSARG00000011548
erinaceus_europaeus ENSEEUG00000008764
ornithorhynchus_anatinus ENSOANG00000015051
ornithorhynchus_anatinus ENSOANG00000010124
calidris_pygmaea ENSCPGG00000016700
calidris_pugnax ENSCPUG00000011347
melopsittacus_undulatus ENSMUNG00000008394
taeniopygia_guttata ENSTGUG00000016711
taeniopygia_guttata ENSTGUG00000003702
taeniopygia_guttata ENSTGUG00000016116
