seriola_dumerili ENSSDUG00000002171
cynoglossus_semilaevis ENSCSEG00000010115
amphiprion_percula ENSAPEG00000006161
amphiprion_ocellaris ENSAOCG00000012287
stegastes_partitus ENSSPAG00000007818
poecilia_latipinna ENSPLAG00000018856
poecilia_formosa ENSPFOG00000007365
poecilia_mexicana ENSPMEG00000017728
poecilia_reticulata ENSPREG00000008078
periophthalmus_magnuspinnatus ENSPMGG00000020908
tetraodon_nigroviridis ENSTNIG00000010535
tetraodon_nigroviridis ENSTNIG00000000871
takifugu_rubripes ENSTRUG00000008727
mola_mola ENSMMOG00000021436
gasterosteus_aculeatus ENSGACG00000005156
esox_lucius ENSELUG00000023366
danio_rerio ENSDARG00000070487
xenopus_tropicalis ENSXETG00000014152
xenopus_tropicalis ENSXETG00000002733
oryzias_melastigma ENSOMEG00000015500
eptatretus_burgeri ENSEBUG00000007519
ciona_savignyi ENSCSAVG00000006039
caenorhabditis_elegans_strain_n2 WBGene00018925
drosophila_melanogaster FBgn0033451
