poecilia_formosa ENSPFOG00000022010
poecilia_latipinna ENSPLAG00000003349
poecilia_mexicana ENSPMEG00000009186
poecilia_reticulata ENSPREG00000013653
xiphophorus_maculatus ENSXMAG00000028923
gambusia_affinis ENSGAFG00000013981
cyprinodon_variegatus ENSCVAG00000017035
oryzias_latipes_asm223469v1 ENSORLG00015007517
oryzias_latipes ENSORLG00020017016
oryzias_latipes ENSORLG00000030258
oryzias_melastigma ENSOMEG00000022657
amphiprion_ocellaris ENSAOCG00000005800
amphiprion_percula ENSAPEG00000016810
acanthochromis_polyacanthus ENSAPOG00000011991
stegastes_partitus ENSSPAG00000020099
scophthalmus_maximus ENSSMAG00000000373
cynoglossus_semilaevis ENSCSEG00000009481
gasterosteus_aculeatus ENSGACG00000003618
monopterus_albus ENSMALG00000003798
mastacembelus_armatus ENSMAMG00000019229
hippocampus_comes ENSHCOG00000001606
esox_lucius ENSELUG00000001960
paramormyrops_kingsleyae ENSPKIG00000021405
scleropages_formosus ENSSFOG00015015138
paramormyrops_kingsleyae ENSPKIG00000023896
scleropages_formosus ENSSFOG00015008262
