seriola_lalandi_dorsalis ENSSLDG00000023382
scophthalmus_maximus ENSSMAG00000001709
labrus_bergylta ENSLBEG00000024332
mastacembelus_armatus ENSMAMG00000010720
anabas_testudineus ENSATEG00000014404
acanthochromis_polyacanthus ENSAPOG00000024403
amphiprion_percula ENSAPEG00000010798
stegastes_partitus ENSSPAG00000023182
periophthalmus_magnuspinnatus ENSPMGG00000017592
scleropages_formosus ENSSFOG00015011433
paramormyrops_kingsleyae ENSPKIG00000017591
manacus_vitellinus ENSMVIG00005016122
lepidothrix_coronata ENSLCOG00000013226
serinus_canaria ENSSCAG00000011815
