serinus_canaria ENSSCAG00000000404
lonchura_striata_domestica ENSLSDG00000017074
junco_hyemalis ENSJHYG00000004793
zonotrichia_albicollis ENSZALG00000008299
ficedula_albicollis ENSFALG00000005611
cyanistes_caeruleus ENSCCEG00000007402
parus_major ENSPMJG00000014790
manacus_vitellinus ENSMVIG00005010398
lepidothrix_coronata ENSLCOG00000011985
calidris_pygmaea ENSCPGG00000015289
calidris_pugnax ENSCPUG00000015046
melopsittacus_undulatus ENSMUNG00000000985
gallus_gallus ENSGALG00000041014
meleagris_gallopavo ENSMGAG00000011559
coturnix_japonica ENSCJPG00005014481
numida_meleagris ENSNMEG00000019891
anser_brachyrhynchus ENSABRG00000009980
anas_platyrhynchos_platyrhynchos ENSAPLG00000025892
apteryx_haastii ENSAHAG00000010562
apteryx_owenii ENSAOWG00000003969
apteryx_rowi ENSARWG00000009317
dromaius_novaehollandiae ENSDNVG00000018585
nothoprocta_perdicaria ENSNPEG00000002991
crocodylus_porosus ENSCPRG00005018391
chelonoidis_abingdonii ENSCABG00000015781
anolis_carolinensis ENSACAG00000015768
pogona_vitticeps ENSPVIG00000018968
notechis_scutatus ENSNSUG00000017331
salvator_merianae ENSSMRG00000010050
pongo_abelii ENSPPYG00000006399
piliocolobus_tephrosceles ENSPTEG00000022043
microcebus_murinus ENSMICG00000035926
marmota_marmota_marmota ENSMMMG00000019261
spermophilus_dauricus ENSSDAG00000015934
neovison_vison ENSNVIG00000019417
mustela_putorius_furo ENSMPUG00000009908
canis_lupus_dingo ENSCAFG00020003888
sorex_araneus ENSSARG00000001294
bison_bison_bison ENSBBBG00000002751
vicugna_pacos ENSVPAG00000006262
tursiops_truncatus ENSTTRG00000016198
erinaceus_europaeus ENSEEUG00000004058
pteropus_vampyrus ENSPVAG00000013767
procavia_capensis ENSPCAG00000001480
tupaia_belangeri ENSTBEG00000001160
ochotona_princeps ENSOPRG00000013673
choloepus_hoffmanni ENSCHOG00000006183
ursus_americanus ENSUAMG00000024500
ursus_maritimus ENSUMAG00000011006
chlorocebus_sabaeus ENSCSAG00000008832
loxodonta_africana ENSLAFG00000005473
echinops_telfairi ENSETEG00000002466
heterocephalus_glaber_male ENSHGLG00100019338
heterocephalus_glaber_female ENSHGLG00000015391
fukomys_damarensis ENSFDAG00000005616
chinchilla_lanigera ENSCLAG00000008839
cavia_porcellus ENSCPOG00000013181
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025089
mus_spicilegus ENSMSIG00000028189
mus_musculus ENSMUSG00000033705
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024173
mus_pahari MGP_PahariEiJ_G0025615
rattus_norvegicus ENSRNOG00000010050
meriones_unguiculatus ENSMUGG00000005509
cricetulus_griseus_crigri ENSCGRG00000013532
cricetulus_griseus_crigri-picr ENSCGRG00015021299
peromyscus_maniculatus_bairdii ENSPEMG00000031243
phascolarctos_cinereus ENSPCIG00000036506
notamacropus_eugenii ENSMEUG00000004622
sarcophilus_harrisii ENSSHAG00000006962
monodelphis_domestica ENSMODG00000017875
ornithorhynchus_anatinus ENSOANG00000011509
xenopus_tropicalis ENSXETG00000000988
latimeria_chalumnae ENSLACG00000001439
hippocampus_comes ENSHCOG00000014691
periophthalmus_magnuspinnatus ENSPMGG00000011813
tetraodon_nigroviridis ENSTNIG00000019262
takifugu_rubripes ENSTRUG00000010200
gasterosteus_aculeatus ENSGACG00000011127
anabas_testudineus ENSATEG00000004908
monopterus_albus ENSMALG00000009859
cynoglossus_semilaevis ENSCSEG00000005035
acanthochromis_polyacanthus ENSAPOG00000005826
acanthochromis_polyacanthus ENSAPOG00000005793
amphiprion_percula ENSAPEG00000010810
amphiprion_ocellaris ENSAOCG00000019596
stegastes_partitus ENSSPAG00000009934
pundamilia_nyererei ENSPNYG00000005328
haplochromis_burtoni ENSHBUG00000015717
neolamprologus_brichardi ENSNBRG00000010283
amphilophus_citrinellus ENSACIG00000006518
xiphophorus_couchianus ENSXCOG00000000286
xiphophorus_maculatus ENSXMAG00000015867
gambusia_affinis ENSGAFG00000018737
poecilia_latipinna ENSPLAG00000005967
poecilia_formosa ENSPFOG00000017208
poecilia_formosa ENSPFOG00000024444
poecilia_reticulata ENSPREG00000013096
fundulus_heteroclitus ENSFHEG00000001188
cyprinodon_variegatus ENSCVAG00000004794
oryzias_latipes ENSORLG00020021238
oryzias_latipes ENSORLG00000011265
oryzias_melastigma ENSOMEG00000017542
gadus_morhua ENSGMOG00000007102
pygocentrus_nattereri ENSPNAG00000015405
ictalurus_punctatus ENSIPUG00000023731
scleropages_formosus ENSSFOG00015005816
paramormyrops_kingsleyae ENSPKIG00000009050
scophthalmus_maximus ENSSMAG00000016742
scophthalmus_maximus ENSSMAG00000016791
maylandia_zebra ENSMZEG00005014390
ornithorhynchus_anatinus ENSOANG00000021141
eptatretus_burgeri ENSEBUG00000007936
