astyanax_mexicanus ENSAMXG00000005041
pygocentrus_nattereri ENSPNAG00000006472
ictalurus_punctatus ENSIPUG00000021264
danio_rerio ENSDARG00000079187
anabas_testudineus ENSATEG00000009344
anabas_testudineus ENSATEG00000009214
monopterus_albus ENSMALG00000001349
mola_mola ENSMMOG00000013237
amphiprion_ocellaris ENSAOCG00000006443
amphiprion_percula ENSAPEG00000009213
stegastes_partitus ENSSPAG00000017511
acanthochromis_polyacanthus ENSAPOG00000009499
cyprinodon_variegatus ENSCVAG00000004186
fundulus_heteroclitus ENSFHEG00000008291
xiphophorus_maculatus ENSXMAG00000006226
xiphophorus_couchianus ENSXCOG00000016561
poecilia_mexicana ENSPMEG00000004261
poecilia_latipinna ENSPLAG00000017242
gambusia_affinis ENSGAFG00000000070
poecilia_formosa ENSPFOG00000006034
seriola_lalandi_dorsalis ENSSLDG00000014716
seriola_dumerili ENSSDUG00000002635
tetraodon_nigroviridis ENSTNIG00000006586
takifugu_rubripes ENSTRUG00000005718
scophthalmus_maximus ENSSMAG00000000042
mastacembelus_armatus ENSMAMG00000022611
astatotilapia_calliptera ENSACLG00000004149
haplochromis_burtoni ENSHBUG00000001444
maylandia_zebra ENSMZEG00005012217
pundamilia_nyererei ENSPNYG00000020563
oreochromis_niloticus ENSONIG00000008985
neolamprologus_brichardi ENSNBRG00000022333
amphilophus_citrinellus ENSACIG00000009695
oryzias_latipes ENSORLG00020006397
oryzias_latipes_asm223469v1 ENSORLG00015009733
oryzias_latipes ENSORLG00000001239
oryzias_melastigma ENSOMEG00000017664
hippocampus_comes ENSHCOG00000007330
esox_lucius ENSELUG00000001301
scleropages_formosus ENSSFOG00015003776
paramormyrops_kingsleyae ENSPKIG00000022234
lepisosteus_oculatus ENSLOCG00000010586
apteryx_owenii ENSAOWG00000005509
apteryx_rowi ENSARWG00000015887
apteryx_haastii ENSAHAG00000002060
dromaius_novaehollandiae ENSDNVG00000008146
nothoprocta_perdicaria ENSNPEG00000004766
anser_brachyrhynchus ENSABRG00000009116
anas_platyrhynchos_platyrhynchos ENSAPLG00000010506
meleagris_gallopavo ENSMGAG00000009129
meleagris_gallopavo ENSMGAG00000014919
coturnix_japonica ENSCJPG00005017479
gallus_gallus ENSGALG00000015244
numida_meleagris ENSNMEG00000017239
calidris_pygmaea ENSCPGG00000001444
calidris_pugnax ENSCPUG00000004949
melopsittacus_undulatus ENSMUNG00000005227
manacus_vitellinus ENSMVIG00005011376
lepidothrix_coronata ENSLCOG00000004474
taeniopygia_guttata ENSTGUG00000013434
lonchura_striata_domestica ENSLSDG00000005676
junco_hyemalis ENSJHYG00000017899
zonotrichia_albicollis ENSZALG00000015130
serinus_canaria ENSSCAG00000009075
parus_major ENSPMJG00000011107
cyanistes_caeruleus ENSCCEG00000015309
ficedula_albicollis ENSFALG00000005706
crocodylus_porosus ENSCPRG00005004255
chelonoidis_abingdonii ENSCABG00000015701
gopherus_agassizii ENSGAGG00000009354
chrysemys_picta_bellii ENSCPBG00000003775
pelodiscus_sinensis ENSPSIG00000015509
pogona_vitticeps ENSPVIG00000019657
anolis_carolinensis ENSACAG00000010693
salvator_merianae ENSSMRG00000005188
sphenodon_punctatus ENSSPUG00000008716
phascolarctos_cinereus ENSPCIG00000030646
notamacropus_eugenii ENSMEUG00000006159
sarcophilus_harrisii ENSSHAG00000018940
monodelphis_domestica ENSMODG00000002921
pan_paniscus ENSPPAG00000032131
pan_troglodytes ENSPTRG00000042723
homo_sapiens ENSG00000143178
gorilla_gorilla ENSGGOG00000001338
pongo_abelii ENSPPYG00000000540
nomascus_leucogenys ENSNLEG00000014917
macaca_nemestrina ENSMNEG00000024897
macaca_fascicularis ENSMFAG00000038069
cercocebus_atys ENSCATG00000034131
theropithecus_gelada ENSTGEG00000006923
papio_anubis ENSPANG00000021432
mandrillus_leucophaeus ENSMLEG00000044410
chlorocebus_sabaeus ENSCSAG00000011055
rhinopithecus_roxellana ENSRROG00000002279
rhinopithecus_bieti ENSRBIG00000033174
piliocolobus_tephrosceles ENSPTEG00000018886
colobus_angolensis_palliatus ENSCANG00000012603
cebus_capucinus ENSCCAG00000036805
saimiri_boliviensis_boliviensis ENSSBOG00000029923
callithrix_jacchus ENSCJAG00000016812
aotus_nancymaae ENSANAG00000036932
carlito_syrichta ENSTSYG00000004961
propithecus_coquereli ENSPCOG00000028024
microcebus_murinus ENSMICG00000007817
prolemur_simus ENSPSMG00000006680
otolemur_garnettii ENSOGAG00000004458
microtus_ochrogaster ENSMOCG00000016219
peromyscus_maniculatus_bairdii ENSPEMG00000022626
cricetulus_griseus_crigri-picr ENSCGRG00015009095
