homo_sapiens ENSG00000273820
pan_paniscus ENSPPAG00000012284
gorilla_gorilla ENSGGOG00000012167
pongo_abelii ENSPPYG00000020348
nomascus_leucogenys ENSNLEG00000028156
macaca_fascicularis ENSMFAG00000035150
macaca_nemestrina ENSMNEG00000012053
cercocebus_atys ENSCATG00000042897
theropithecus_gelada ENSTGEG00000001667
papio_anubis ENSPANG00000008411
mandrillus_leucophaeus ENSMLEG00000000154
chlorocebus_sabaeus ENSCSAG00000000130
rhinopithecus_roxellana ENSRROG00000037286
rhinopithecus_bieti ENSRBIG00000012219
piliocolobus_tephrosceles ENSPTEG00000030452
colobus_angolensis_palliatus ENSCANG00000020519
cebus_capucinus ENSCCAG00000011856
callithrix_jacchus ENSCJAG00000002942
saimiri_boliviensis_boliviensis ENSSBOG00000019555
aotus_nancymaae ENSANAG00000019357
carlito_syrichta ENSTSYG00000037344
propithecus_coquereli ENSPCOG00000025358
microcebus_murinus ENSMICG00000041837
otolemur_garnettii ENSOGAG00000028141
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034031
mus_musculus ENSMUSG00000046269
mus_spicilegus ENSMSIG00000003984
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032883
mus_pahari MGP_PahariEiJ_G0031431
rattus_norvegicus ENSRNOG00000002844
meriones_unguiculatus ENSMUGG00000007627
cricetulus_griseus_crigri-picr ENSCGRG00015008557
mesocricetus_auratus ENSMAUG00000002688
peromyscus_maniculatus_bairdii ENSPEMG00000005635
microtus_ochrogaster ENSMOCG00000006681
nannospalax_galili ENSNGAG00000000783
jaculus_jaculus ENSJJAG00000017064
heterocephalus_glaber_male ENSHGLG00100020106
heterocephalus_glaber_female ENSHGLG00000001525
fukomys_damarensis ENSFDAG00000005412
cavia_porcellus ENSCPOG00000034700
octodon_degus ENSODEG00000001537
dipodomys_ordii ENSDORG00000029639
castor_canadensis ENSCCNG00000004682
urocitellus_parryii ENSUPAG00010004551
ictidomys_tridecemlineatus ENSSTOG00000023186
spermophilus_dauricus ENSSDAG00000008283
marmota_marmota_marmota ENSMMMG00000011213
oryctolagus_cuniculus ENSOCUG00000000066
ailuropoda_melanoleuca ENSAMEG00000012113
ursus_americanus ENSUAMG00000008812
neovison_vison ENSNVIG00000008292
mustela_putorius_furo ENSMPUG00000014078
canis_lupus_dingo ENSCAFG00020020142
canis_lupus_familiaris ENSCAFG00000015958
vulpes_vulpes ENSVVUG00000018016
panthera_pardus ENSPPRG00000021225
panthera_pardus ENSPPRG00000021237
panthera_tigris_altaica ENSPTIG00000003801
felis_catus ENSFCAG00000024245
myotis_lucifugus ENSMLUG00000009859
pteropus_vampyrus ENSPVAG00000003544
equus_asinus_asinus ENSEASG00005013213
equus_caballus ENSECAG00000009308
sorex_araneus ENSSARG00000007497
bos_mutus ENSBMUG00000004091
bos_taurus ENSBTAG00000039391
bison_bison_bison ENSBBBG00000012099
ovis_aries ENSOARG00000005706
tursiops_truncatus ENSTTRG00000016981
sus_scrofa ENSSSCG00000012305
loxodonta_africana ENSLAFG00000021827
procavia_capensis ENSPCAG00000010860
dasypus_novemcinctus ENSDNOG00000001002
