macaca_fascicularis ENSMFAG00000032951
callithrix_jacchus ENSCJAG00000041647
vulpes_vulpes ENSVVUG00000009478
canis_lupus_dingo ENSCAFG00020015255
felis_catus ENSFCAG00000037877
panthera_pardus ENSPPRG00000007442
bison_bison_bison ENSBBBG00000016533
bos_mutus ENSBMUG00000026302
vulpes_vulpes ENSVVUG00000003920
vulpes_vulpes ENSVVUG00000010970
canis_lupus_dingo ENSCAFG00020004531
neovison_vison ENSNVIG00000013325
ursus_americanus ENSUAMG00000002254
ursus_americanus ENSUAMG00000002632
ursus_maritimus ENSUMAG00000003329
heterocephalus_glaber_male ENSHGLG00100004513
heterocephalus_glaber_male ENSHGLG00100003223
heterocephalus_glaber_female ENSHGLG00000000246
heterocephalus_glaber_female ENSHGLG00000004046
heterocephalus_glaber_female ENSHGLG00000015407
heterocephalus_glaber_male ENSHGLG00100015269
heterocephalus_glaber_female ENSHGLG00000004306
prolemur_simus ENSPSMG00000002597
cavia_aperea ENSCAPG00000006420
sphenodon_punctatus ENSSPUG00000004130
calidris_pygmaea ENSCPGG00000002010
seriola_lalandi_dorsalis ENSSLDG00000008901
seriola_lalandi_dorsalis ENSSLDG00000012011
neolamprologus_brichardi ENSNBRG00000007099
