crocodylus_porosus ENSCPRG00005017995
salvator_merianae ENSSMRG00000016000
pongo_abelii ENSPPYG00000018055
echinops_telfairi ENSETEG00000012967
xenopus_tropicalis ENSXETG00000002672
latimeria_chalumnae ENSLACG00000015491
xiphophorus_maculatus ENSXMAG00000004303
gambusia_affinis ENSGAFG00000016957
poecilia_formosa ENSPFOG00000011953
poecilia_mexicana ENSPMEG00000022494
poecilia_latipinna ENSPLAG00000012931
poecilia_reticulata ENSPREG00000009438
fundulus_heteroclitus ENSFHEG00000008798
cyprinodon_variegatus ENSCVAG00000011873
kryptolebias_marmoratus ENSKMAG00000000251
mastacembelus_armatus ENSMAMG00000006295
monopterus_albus ENSMALG00000003279
anabas_testudineus ENSATEG00000009840
seriola_dumerili ENSSDUG00000009393
seriola_lalandi_dorsalis ENSSLDG00000007644
scophthalmus_maximus ENSSMAG00000018150
amphiprion_ocellaris ENSAOCG00000021780
amphiprion_percula ENSAPEG00000015053
acanthochromis_polyacanthus ENSAPOG00000002367
maylandia_zebra ENSMZEG00005012095
astatotilapia_calliptera ENSACLG00000003446
pundamilia_nyererei ENSPNYG00000006663
haplochromis_burtoni ENSHBUG00000004462
neolamprologus_brichardi ENSNBRG00000023421
oreochromis_niloticus ENSONIG00000016722
labrus_bergylta ENSLBEG00000028379
gasterosteus_aculeatus ENSGACG00000018953
cynoglossus_semilaevis ENSCSEG00000011553
takifugu_rubripes ENSTRUG00000006592
hippocampus_comes ENSHCOG00000012611
periophthalmus_magnuspinnatus ENSPMGG00000017556
esox_lucius ENSELUG00000015356
pygocentrus_nattereri ENSPNAG00000000327
ictalurus_punctatus ENSIPUG00000012054
danio_rerio ENSDARG00000099322
scleropages_formosus ENSSFOG00015023397
lepisosteus_oculatus ENSLOCG00000017083
ciona_intestinalis ENSCING00000011719
caenorhabditis_elegans_strain_n2 WBGene00011718
