astyanax_mexicanus ENSAMXG00000004717
pygocentrus_nattereri ENSPNAG00000017987
ictalurus_punctatus ENSIPUG00000004181
danio_rerio ENSDARG00000076659
tetraodon_nigroviridis ENSTNIG00000002905
takifugu_rubripes ENSTRUG00000008420
mola_mola ENSMMOG00000020070
labrus_bergylta ENSLBEG00000024554
gasterosteus_aculeatus ENSGACG00000006495
seriola_dumerili ENSSDUG00000007164
seriola_lalandi_dorsalis ENSSLDG00000007786
scophthalmus_maximus ENSSMAG00000011440
monopterus_albus ENSMALG00000016287
mastacembelus_armatus ENSMAMG00000010174
anabas_testudineus ENSATEG00000017881
cynoglossus_semilaevis ENSCSEG00000008916
amphiprion_ocellaris ENSAOCG00000024272
amphiprion_percula ENSAPEG00000016592
stegastes_partitus ENSSPAG00000006002
maylandia_zebra ENSMZEG00005007471
haplochromis_burtoni ENSHBUG00000020213
astatotilapia_calliptera ENSACLG00000022200
oreochromis_niloticus ENSONIG00000010874
neolamprologus_brichardi ENSNBRG00000008937
pundamilia_nyererei ENSPNYG00000002780
amphilophus_citrinellus ENSACIG00000020274
fundulus_heteroclitus ENSFHEG00000013390
cyprinodon_variegatus ENSCVAG00000014238
xiphophorus_maculatus ENSXMAG00000000584
xiphophorus_couchianus ENSXCOG00000020194
gambusia_affinis ENSGAFG00000018330
poecilia_formosa ENSPFOG00000001712
poecilia_latipinna ENSPLAG00000003295
poecilia_mexicana ENSPMEG00000004578
poecilia_reticulata ENSPREG00000003506
kryptolebias_marmoratus ENSKMAG00000001697
oryzias_latipes ENSORLG00020002505
oryzias_latipes_asm223469v1 ENSORLG00015013281
oryzias_latipes ENSORLG00000003944
hippocampus_comes ENSHCOG00000010723
oryzias_melastigma ENSOMEG00000000397
gadus_morhua ENSGMOG00000017758
esox_lucius ENSELUG00000003203
scleropages_formosus ENSSFOG00015012653
paramormyrops_kingsleyae ENSPKIG00000022621
lepisosteus_oculatus ENSLOCG00000011532
paramormyrops_kingsleyae ENSPKIG00000020031
pogona_vitticeps ENSPVIG00000016311
anolis_carolinensis ENSACAG00000014127
