lepidothrix_coronata ENSLCOG00000007327
manacus_vitellinus ENSMVIG00005008202
lonchura_striata_domestica ENSLSDG00000007597
taeniopygia_guttata ENSTGUG00000012201
junco_hyemalis ENSJHYG00000016292
zonotrichia_albicollis ENSZALG00000003611
serinus_canaria ENSSCAG00000013140
ficedula_albicollis ENSFALG00000008347
cyanistes_caeruleus ENSCCEG00000010142
parus_major ENSPMJG00000014923
calidris_pygmaea ENSCPGG00000000131
calidris_pugnax ENSCPUG00000012952
melopsittacus_undulatus ENSMUNG00000013007
anser_brachyrhynchus ENSABRG00000005909
anas_platyrhynchos_platyrhynchos ENSAPLG00000007415
gallus_gallus ENSGALG00000017000
coturnix_japonica ENSCJPG00005019778
meleagris_gallopavo ENSMGAG00000015010
numida_meleagris ENSNMEG00000007103
apteryx_haastii ENSAHAG00000018356
apteryx_rowi ENSARWG00000009927
apteryx_owenii ENSAOWG00000001917
dromaius_novaehollandiae ENSDNVG00000013502
nothoprocta_perdicaria ENSNPEG00000005476
crocodylus_porosus ENSCPRG00005002083
chelonoidis_abingdonii ENSCABG00000019882
gopherus_agassizii ENSGAGG00000012223
chrysemys_picta_bellii ENSCPBG00000008438
pelodiscus_sinensis ENSPSIG00000011451
anolis_carolinensis ENSACAG00000003339
pogona_vitticeps ENSPVIG00000014872
notechis_scutatus ENSNSUG00000000438
salvator_merianae ENSSMRG00000021065
sphenodon_punctatus ENSSPUG00000011922
pteropus_vampyrus ENSPVAG00000002749
myotis_lucifugus ENSMLUG00000008378
equus_caballus ENSECAG00000022606
equus_asinus_asinus ENSEASG00005017255
sus_scrofa ENSSSCG00000009400
vicugna_pacos ENSVPAG00000006886
ovis_aries ENSOARG00000008336
capra_hircus ENSCHIG00000012624
bos_mutus ENSBMUG00000001512
bos_taurus ENSBTAG00000006647
bison_bison_bison ENSBBBG00000004512
tursiops_truncatus ENSTTRG00000004261
ursus_americanus ENSUAMG00000012042
ursus_maritimus ENSUMAG00000018329
ailuropoda_melanoleuca ENSAMEG00000003585
canis_lupus_dingo ENSCAFG00020020123
canis_lupus_familiaris ENSCAFG00000004432
vulpes_vulpes ENSVVUG00000028249
neovison_vison ENSNVIG00000011257
mustela_putorius_furo ENSMPUG00000001418
panthera_tigris_altaica ENSPTIG00000013056
panthera_pardus ENSPPRG00000005884
felis_catus ENSFCAG00000006999
sorex_araneus ENSSARG00000001550
erinaceus_europaeus ENSEEUG00000000084
castor_canadensis ENSCCNG00000010257
dipodomys_ordii ENSDORG00000013999
peromyscus_maniculatus_bairdii ENSPEMG00000006635
