dromaius_novaehollandiae ENSDNVG00000017210
apteryx_rowi ENSARWG00000004711
nothoprocta_perdicaria ENSNPEG00000007023
gallus_gallus ENSGALG00000053765
coturnix_japonica ENSCJPG00005016749
numida_meleagris ENSNMEG00000016892
anser_brachyrhynchus ENSABRG00000012557
anas_platyrhynchos_platyrhynchos ENSAPLG00000000776
parus_major ENSPMJG00000007316
cyanistes_caeruleus ENSCCEG00000013904
serinus_canaria ENSSCAG00000011629
lonchura_striata_domestica ENSLSDG00000012011
junco_hyemalis ENSJHYG00000010114
zonotrichia_albicollis ENSZALG00000017376
melopsittacus_undulatus ENSMUNG00000001929
calidris_pugnax ENSCPUG00000005927
calidris_pygmaea ENSCPGG00000005660
crocodylus_porosus ENSCPRG00005005775
gopherus_agassizii ENSGAGG00000021738
