salvator_merianae ENSSMRG00000019635
pogona_vitticeps ENSPVIG00000013056
notechis_scutatus ENSNSUG00000001754
notechis_scutatus ENSNSUG00000001712
taeniopygia_guttata ENSTGUG00000000100
lonchura_striata ENSLSDG00000014579
serinus_canaria ENSSCAG00000000837
zonotrichia_albicollis ENSZALG00000001581
junco_hyemalis ENSJHYG00000014302
cyanistes_caeruleus ENSCCEG00000022172
parus_major ENSPMJG00000004507
ficedula_albicollis ENSFALG00000011787
lepidothrix_coronata ENSLCOG00000001349
manacus_vitellinus ENSMVIG00005007976
melopsittacus_undulatus ENSMUNG00000004166
calidris_pugnax ENSCPUG00000001587
calidris_pygmaea ENSCPGG00000011660
anser_brachyrhynchus ENSABRG00000005838
anas_platyrhynchos ENSAPLG00000011387
gallus_gallus ENSGALG00000026161
meleagris_gallopavo ENSMGAG00000017295
numida_meleagris ENSNMEG00000007824
coturnix_japonica ENSCJPG00005006140
apteryx_rowi ENSARWG00000015782
apteryx_owenii ENSAOWG00000014438
apteryx_haastii ENSAHAG00000008833
dromaius_novaehollandiae ENSDNVG00000005394
nothoprocta_perdicaria ENSNPEG00000011078
crocodylus_porosus ENSCPRG00005013029
gopherus_agassizii ENSGAGG00000016182
chelonoidis_abingdonii ENSCABG00000001316
chrysemys_picta ENSCPBG00000017071
pelodiscus_sinensis ENSPSIG00000002801
ornithorhynchus_anatinus ENSOANG00000002981
xenopus_tropicalis ENSXETG00000012842
latimeria_chalumnae ENSLACG00000017294
denticeps_clupeoides ENSDCDG00000025961
clupea_harengus ENSCHAG00000004916
scophthalmus_maximus ENSSMAG00000021189
cynoglossus_semilaevis ENSCSEG00000018520
seriola_dumerili ENSSDUG00000008031
seriola_lalandi ENSSLDG00000025164
lates_calcarifer ENSLCAG00010005845
larimichthys_crocea ENSLCRG00005018983
mola_mola ENSMMOG00000008316
labrus_bergylta ENSLBEG00000002494
mastacembelus_armatus ENSMAMG00000003582
anabas_testudineus ENSATEG00000014646
amphiprion_percula ENSAPEG00000004435
amphiprion_ocellaris ENSAOCG00000008139
acanthochromis_polyacanthus ENSAPOG00000014816
stegastes_partitus ENSSPAG00000003997
parambassis_ranga ENSPRNG00000001344
astatotilapia_calliptera ENSACLG00000024805
haplochromis_burtoni ENSHBUG00000015649
pundamilia_nyererei ENSPNYG00000018895
maylandia_zebra ENSMZEG00005017045
neolamprologus_brichardi ENSNBRG00000003549
oreochromis_niloticus ENSONIG00000012626
amphilophus_citrinellus ENSACIG00000005357
gouania_willdenowi ENSGWIG00000002128
betta_splendens ENSBSLG00000008989
hippocampus_comes ENSHCOG00000009069
gadus_morhua ENSGMOG00000001850
hucho_hucho ENSHHUG00000038903
esox_lucius ENSELUG00000002717
denticeps_clupeoides ENSDCDG00000004461
clupea_harengus ENSCHAG00000017254
electrophorus_electricus ENSEEEG00000017525
ictalurus_punctatus ENSIPUG00000016376
astyanax_mexicanus ENSAMXG00000004636
astyanax_mexicanus ENSAMXG00005009759
pygocentrus_nattereri ENSPNAG00000028357
danio_rerio ENSDARG00000035861
fundulus_heteroclitus ENSFHEG00000005848
cyprinodon_variegatus ENSCVAG00000000326
poecilia_formosa ENSPFOG00000002581
poecilia_mexicana ENSPMEG00000002040
poecilia_latipinna ENSPLAG00000000190
poecilia_reticulata ENSPREG00000008765
xiphophorus_maculatus ENSXMAG00000013952
xiphophorus_couchianus ENSXCOG00000007165
gambusia_affinis ENSGAFG00000012946
kryptolebias_marmoratus ENSKMAG00000015756
oryzias_latipes ENSORLG00020000664
oryzias_latipes ENSORLG00000005249
oryzias_latipes ENSORLG00015005733
oryzias_melastigma ENSOMEG00000017117
cynoglossus_semilaevis ENSCSEG00000011743
tetraodon_nigroviridis ENSTNIG00000011060
hippocampus_comes ENSHCOG00000005862
larimichthys_crocea ENSLCRG00005023695
mola_mola ENSMMOG00000006245
cottoperca_gobio ENSCGOG00000019973
gasterosteus_aculeatus ENSGACG00000015571
labrus_bergylta ENSLBEG00000013525
seriola_dumerili ENSSDUG00000012679
seriola_lalandi ENSSLDG00000021351
amphiprion_percula ENSAPEG00000015821
amphiprion_ocellaris ENSAOCG00000019130
acanthochromis_polyacanthus ENSAPOG00000015219
stegastes_partitus ENSSPAG00000000029
haplochromis_burtoni ENSHBUG00000011314
pundamilia_nyererei ENSPNYG00000003151
astatotilapia_calliptera ENSACLG00000008070
maylandia_zebra ENSMZEG00005004006
neolamprologus_brichardi ENSNBRG00000001500
oreochromis_niloticus ENSONIG00000010504
amphilophus_citrinellus ENSACIG00000020577
lates_calcarifer ENSLCAG00010022295
scophthalmus_maximus ENSSMAG00000005754
parambassis_ranga ENSPRNG00000022707
gouania_willdenowi ENSGWIG00000012426
monopterus_albus ENSMALG00000000797
mastacembelus_armatus ENSMAMG00000005777
anabas_testudineus ENSATEG00000018284
betta_splendens ENSBSLG00000026416
periophthalmus_magnuspinnatus ENSPMGG00000017480
gadus_morhua ENSGMOG00000010292
hucho_hucho ENSHHUG00000006682
esox_lucius ENSELUG00000020144
scleropages_formosus ENSSFOG00015020170
paramormyrops_kingsleyae ENSPKIG00000008159
lepisosteus_oculatus ENSLOCG00000002693
erpetoichthys_calabaricus ENSECRG00000022237
eptatretus_burgeri ENSEBUG00000004402
