seriola_lalandi_dorsalis ENSSLDG00000014068
seriola_dumerili ENSSDUG00000014332
amphiprion_ocellaris ENSAOCG00000013941
anabas_testudineus ENSATEG00000018611
pundamilia_nyererei ENSPNYG00000015766
xiphophorus_couchianus ENSXCOG00000005600
poecilia_latipinna ENSPLAG00000001342
sarcophilus_harrisii ENSSHAG00000000259
acanthochromis_polyacanthus ENSAPOG00000006684
neolamprologus_brichardi ENSNBRG00000017724
hippocampus_comes ENSHCOG00000013414
ursus_americanus ENSUAMG00000018245
parus_major ENSPMJG00000008488
eptatretus_burgeri ENSEBUG00000008534
