canis_lupus_dingo ENSCAFG00020006923
mustela_putorius_furo ENSMPUG00000015284
felis_catus ENSFCAG00000044605
bos_taurus ENSBTAG00000054832
pteropus_vampyrus ENSPVAG00000006880
equus_caballus ENSECAG00000010124
papio_anubis ENSPANG00000024337
chlorocebus_sabaeus ENSCSAG00000010809
theropithecus_gelada ENSTGEG00000023554
cercocebus_atys ENSCATG00000033764
macaca_nemestrina ENSMNEG00000010096
rhinopithecus_roxellana ENSRROG00000033579
rhinopithecus_bieti ENSRBIG00000032747
piliocolobus_tephrosceles ENSPTEG00000019340
pan_troglodytes ENSPTRG00000028769
homo_sapiens ENSG00000070031
gorilla_gorilla ENSGGOG00000015101
callithrix_jacchus ENSCJAG00000012073
cebus_capucinus ENSCCAG00000033264
aotus_nancymaae ENSANAG00000027728
propithecus_coquereli ENSPCOG00000022911
prolemur_simus ENSPSMG00000025272
microcebus_murinus ENSMICG00000027911
cavia_porcellus ENSCPOG00000026934
cavia_aperea ENSCAPG00000012441
chinchilla_lanigera ENSCLAG00000002156
octodon_degus ENSODEG00000014530
heterocephalus_glaber_female ENSHGLG00000005290
heterocephalus_glaber_male ENSHGLG00100012674
ictidomys_tridecemlineatus ENSSTOG00000033308
marmota_marmota_marmota ENSMMMG00000006247
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031799
mus_spicilegus ENSMSIG00000027352
mus_musculus ENSMUSG00000038580
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030688
mus_pahari MGP_PahariEiJ_G0013887
rattus_norvegicus ENSRNOG00000017873
meriones_unguiculatus ENSMUGG00000012413
peromyscus_maniculatus_bairdii ENSPEMG00000015413
microtus_ochrogaster ENSMOCG00000020640
cricetulus_griseus_crigri-picr ENSCGRG00015027228
cricetulus_griseus_chok1gshd ENSCGRG00001014913
cricetulus_griseus_crigri ENSCGRG00000018010
mesocricetus_auratus ENSMAUG00000019250
nannospalax_galili ENSNGAG00000012623
jaculus_jaculus ENSJJAG00000020063
castor_canadensis ENSCCNG00000011104
