bison_bison_bison ENSBBBG00000001900
sus_scrofa ENSSSCG00000038304
neovison_vison ENSNVIG00000013905
ovis_aries ENSOARG00000010916
gorilla_gorilla ENSGGOG00000025398
pan_paniscus ENSPPAG00000040796
pan_troglodytes ENSPTRG00000046155
nomascus_leucogenys ENSNLEG00000027654
macaca_fascicularis ENSMFAG00000041731
macaca_mulatta ENSMMUG00000003366
macaca_nemestrina ENSMNEG00000036946
mandrillus_leucophaeus ENSMLEG00000038589
theropithecus_gelada ENSTGEG00000001808
papio_anubis ENSPANG00000018676
rhinopithecus_bieti ENSRBIG00000035855
rhinopithecus_roxellana ENSRROG00000038956
colobus_angolensis_palliatus ENSCANG00000043380
macaca_mulatta ENSMMUG00000010577
cebus_capucinus ENSCCAG00000029710
prolemur_simus ENSPSMG00000025872
heterocephalus_glaber_male ENSHGLG00100011767
heterocephalus_glaber_female ENSHGLG00000007536
heterocephalus_glaber_female ENSHGLG00000003890
heterocephalus_glaber_male ENSHGLG00100011999
heterocephalus_glaber_female ENSHGLG00000007708
heterocephalus_glaber_male ENSHGLG00100012753
jaculus_jaculus ENSJJAG00000014755
saimiri_boliviensis_boliviensis ENSSBOG00000025871
cebus_capucinus ENSCCAG00000024345
aotus_nancymaae ENSANAG00000033951
cebus_capucinus ENSCCAG00000021719
pan_troglodytes ENSPTRG00000044792
carlito_syrichta ENSTSYG00000035012
prolemur_simus ENSPSMG00000021475
prolemur_simus ENSPSMG00000024870
nannospalax_galili ENSNGAG00000012575
peromyscus_maniculatus_bairdii ENSPEMG00000026948
jaculus_jaculus ENSJJAG00000011978
ursus_maritimus ENSUMAG00000011745
carlito_syrichta ENSTSYG00000036089
procavia_capensis ENSPCAG00000003414
sarcophilus_harrisii ENSSHAG00000008133
anolis_carolinensis ENSACAG00000007777
sphenodon_punctatus ENSSPUG00000005889
cyanistes_caeruleus ENSCCEG00000012922
coturnix_japonica ENSCJPG00005000620
nothoprocta_perdicaria ENSNPEG00000015386
crocodylus_porosus ENSCPRG00005013619
crocodylus_porosus ENSCPRG00005013634
chelonoidis_abingdonii ENSCABG00000021616
apteryx_haastii ENSAHAG00000000257
anas_platyrhynchos_platyrhynchos ENSAPLG00000018906
latimeria_chalumnae ENSLACG00000009547
