macaca_mulatta ENSMMUG00000038675
macaca_fascicularis ENSMFAG00000039109
macaca_nemestrina ENSMNEG00000029642
theropithecus_gelada ENSTGEG00000017886
colobus_angolensis_palliatus ENSCANG00000035473
piliocolobus_tephrosceles ENSPTEG00000024473
rhinopithecus_bieti ENSRBIG00000030492
mandrillus_leucophaeus ENSMLEG00000014724
chlorocebus_sabaeus ENSCSAG00000010796
papio_anubis ENSPANG00000016259
cercocebus_atys ENSCATG00000005822
rhinopithecus_roxellana ENSRROG00000029970
pan_troglodytes ENSPTRG00000019622
pan_paniscus ENSPPAG00000011992
homo_sapiens ENSG00000106013
gorilla_gorilla ENSGGOG00000025444
pongo_abelii ENSPPYG00000018274
nomascus_leucogenys ENSNLEG00000011773
cebus_capucinus ENSCCAG00000028943
saimiri_boliviensis_boliviensis ENSSBOG00000021785
aotus_nancymaae ENSANAG00000027505
