lonchura_striata ENSLSDG00000017276
serinus_canaria ENSSCAG00000005663
cyanistes_caeruleus ENSCCEG00000011532
parus_major ENSPMJG00000001064
zonotrichia_albicollis ENSZALG00000001542
calidris_pugnax ENSCPUG00000018732
melopsittacus_undulatus ENSMUNG00000003170
anser_brachyrhynchus ENSABRG00000021931
anas_platyrhynchos ENSAPLG00000029464
coturnix_japonica ENSCJPG00005020329
numida_meleagris ENSNMEG00000023042
dromaius_novaehollandiae ENSDNVG00000005614
apteryx_rowi ENSARWG00000013170
nothoprocta_perdicaria ENSNPEG00000013659
crocodylus_porosus ENSCPRG00005016818
chelonoidis_abingdonii ENSCABG00000001248
gopherus_agassizii ENSGAGG00000024707
chrysemys_picta ENSCPBG00000006991
salvator_merianae ENSSMRG00000022312
pogona_vitticeps ENSPVIG00000002716
