mus_musculus ENSMUSG00000067786
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025500
mus_spicilegus ENSMSIG00000027812
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024578
mus_pahari MGP_PahariEiJ_G0026022
meriones_unguiculatus ENSMUGG00000020627
cricetulus_griseus_crigri ENSCGRG00000014053
cricetulus_griseus_chok1gshd ENSCGRG00001021006
mesocricetus_auratus ENSMAUG00000022172
peromyscus_maniculatus_bairdii ENSPEMG00000027306
microtus_ochrogaster ENSMOCG00000009018
castor_canadensis ENSCCNG00000019704
marmota_marmota_marmota ENSMMMG00000015679
