oryzias_latipes_asm223469v1 ENSORLG00015015406
oryzias_latipes ENSORLG00020012032
oryzias_latipes ENSORLG00000011855
oryzias_melastigma ENSOMEG00000012411
hippocampus_comes ENSHCOG00000003413
hippocampus_comes ENSHCOG00000003423
monopterus_albus ENSMALG00000004482
cynoglossus_semilaevis ENSCSEG00000004908
periophthalmus_magnuspinnatus ENSPMGG00000010301
mola_mola ENSMMOG00000019800
takifugu_rubripes ENSTRUG00000021697
labrus_bergylta ENSLBEG00000019297
gasterosteus_aculeatus ENSGACG00000002825
anabas_testudineus ENSATEG00000008393
mastacembelus_armatus ENSMAMG00000017103
seriola_dumerili ENSSDUG00000007563
seriola_lalandi_dorsalis ENSSLDG00000012648
haplochromis_burtoni ENSHBUG00000006008
pundamilia_nyererei ENSPNYG00000013639
maylandia_zebra ENSMZEG00005021929
astatotilapia_calliptera ENSACLG00000000544
neolamprologus_brichardi ENSNBRG00000003342
oreochromis_niloticus ENSONIG00000020480
amphilophus_citrinellus ENSACIG00000022012
fundulus_heteroclitus ENSFHEG00000012169
cyprinodon_variegatus ENSCVAG00000005220
xiphophorus_couchianus ENSXCOG00000001778
xiphophorus_maculatus ENSXMAG00000019518
poecilia_mexicana ENSPMEG00000002725
poecilia_formosa ENSPFOG00000016718
poecilia_reticulata ENSPREG00000007806
poecilia_latipinna ENSPLAG00000018511
gambusia_affinis ENSGAFG00000021223
kryptolebias_marmoratus ENSKMAG00000002177
amphiprion_ocellaris ENSAOCG00000013410
amphiprion_percula ENSAPEG00000006060
acanthochromis_polyacanthus ENSAPOG00000010478
stegastes_partitus ENSSPAG00000020944
gadus_morhua ENSGMOG00000016853
esox_lucius ENSELUG00000019568
astyanax_mexicanus ENSAMXG00000014449
pygocentrus_nattereri ENSPNAG00000024870
ictalurus_punctatus ENSIPUG00000023812
danio_rerio ENSDARG00000010010
scleropages_formosus ENSSFOG00015010232
paramormyrops_kingsleyae ENSPKIG00000013357
lepisosteus_oculatus ENSLOCG00000009265
calidris_pygmaea ENSCPGG00000007096
calidris_pugnax ENSCPUG00000012996
melopsittacus_undulatus ENSMUNG00000012437
zonotrichia_albicollis ENSZALG00000003648
junco_hyemalis ENSJHYG00000016182
serinus_canaria ENSSCAG00000013034
taeniopygia_guttata ENSTGUG00000012115
lonchura_striata_domestica ENSLSDG00000011648
parus_major ENSPMJG00000014937
cyanistes_caeruleus ENSCCEG00000010222
ficedula_albicollis ENSFALG00000014481
manacus_vitellinus ENSMVIG00005008287
lepidothrix_coronata ENSLCOG00000007361
gallus_gallus ENSGALG00000017011
meleagris_gallopavo ENSMGAG00000015580
coturnix_japonica ENSCJPG00005019794
numida_meleagris ENSNMEG00000007296
anser_brachyrhynchus ENSABRG00000005719
anas_platyrhynchos_platyrhynchos ENSAPLG00000001137
apteryx_owenii ENSAOWG00000007839
apteryx_rowi ENSARWG00000007448
apteryx_haastii ENSAHAG00000013412
dromaius_novaehollandiae ENSDNVG00000013620
nothoprocta_perdicaria ENSNPEG00000005824
crocodylus_porosus ENSCPRG00005002256
gopherus_agassizii ENSGAGG00000014515
chelonoidis_abingdonii ENSCABG00000005760
chrysemys_picta_bellii ENSCPBG00000008621
pelodiscus_sinensis ENSPSIG00000001307
anolis_carolinensis ENSACAG00000013825
pogona_vitticeps ENSPVIG00000021852
notechis_scutatus ENSNSUG00000001176
salvator_merianae ENSSMRG00000021092
sphenodon_punctatus ENSSPUG00000006825
notamacropus_eugenii ENSMEUG00000002014
phascolarctos_cinereus ENSPCIG00000019431
sarcophilus_harrisii ENSSHAG00000001829
monodelphis_domestica ENSMODG00000024106
loxodonta_africana ENSLAFG00000029759
procavia_capensis ENSPCAG00000017086
echinops_telfairi ENSETEG00000019264
choloepus_hoffmanni ENSCHOG00000006047
dasypus_novemcinctus ENSDNOG00000047157
chinchilla_lanigera ENSCLAG00000005696
octodon_degus ENSODEG00000005624
cavia_porcellus ENSCPOG00000001929
cavia_aperea ENSCAPG00000013165
heterocephalus_glaber_female ENSHGLG00000003545
