ovis_aries ENSOARG00000012968
capra_hircus ENSCHIG00000015669
bos_taurus ENSBTAG00000003548
bos_indicus ENSBIXG00000010413
bison_bison ENSBBBG00000011647
sus_scrofa ENSSSCG00000032003
ailuropoda_melanoleuca ENSAMEG00000001017
ursus_americanus ENSUAMG00000005646
mustela_putorius ENSMPUG00000004023
neovison_vison ENSNVIG00000012900
canis_lupus ENSCAFG00020001669
canis_lupus ENSCAFG00000025332
vulpes_vulpes ENSVVUG00000010271
ursus_americanus ENSUAMG00000005495
ursus_maritimus ENSUMAG00000003110
ursus_maritimus ENSUMAG00000013046
panthera_pardus ENSPPRG00000007615
ursus_americanus ENSUAMG00000009803
equus_caballus ENSECAG00000020136
equus_asinus ENSEASG00005005953
sorex_araneus ENSSARG00000000715
propithecus_coquereli ENSPCOG00000013544
prolemur_simus ENSPSMG00000017669
dipodomys_ordii ENSDORG00000024771
castor_canadensis ENSCCNG00000003469
cricetulus_griseus ENSCGRG00000014941
cricetulus_griseus ENSCGRG00015019259
cricetulus_griseus ENSCGRG00001014473
mesocricetus_auratus ENSMAUG00000016934
peromyscus_maniculatus ENSPEMG00000030796
microtus_ochrogaster ENSMOCG00000020117
mus_spretus MGP_SPRETEiJ_G0023400
mus_musculus ENSMUSG00000058216
mus_spicilegus ENSMSIG00000006920
mus_caroli MGP_CAROLIEiJ_G0022486
mus_pahari MGP_PahariEiJ_G0013982
rattus_norvegicus ENSRNOG00000018287
meriones_unguiculatus ENSMUGG00000013334
nannospalax_galili ENSNGAG00000000204
jaculus_jaculus ENSJJAG00000024233
heterocephalus_glaber ENSHGLG00000011960
heterocephalus_glaber ENSHGLG00100012868
fukomys_damarensis ENSFDAG00000005494
dasypus_novemcinctus ENSDNOG00000046765
