melopsittacus_undulatus ENSMUNG00000007482
calidris_pugnax ENSCPUG00000000808
numida_meleagris ENSNMEG00000005017
cyanistes_caeruleus ENSCCEG00000005681
dromaius_novaehollandiae ENSDNVG00000015323
anolis_carolinensis ENSACAG00000010163
xenopus_tropicalis ENSXETG00000001672
sorex_araneus ENSSARG00000005031
erinaceus_europaeus ENSEEUG00000007539
canis_lupus_familiaris ENSCAFG00000013654
canis_lupus_dingo ENSCAFG00020014969
vulpes_vulpes ENSVVUG00000027189
neovison_vison ENSNVIG00000016764
mustela_putorius_furo ENSMPUG00000011987
ursus_maritimus ENSUMAG00000009693
ursus_americanus ENSUAMG00000000449
ailuropoda_melanoleuca ENSAMEG00000017545
panthera_pardus ENSPPRG00000014643
panthera_tigris_altaica ENSPTIG00000013904
felis_catus ENSFCAG00000023858
equus_asinus_asinus ENSEASG00005017960
equus_caballus ENSECAG00000001650
pteropus_vampyrus ENSPVAG00000007932
myotis_lucifugus ENSMLUG00000003890
ovis_aries ENSOARG00000014337
capra_hircus ENSCHIG00000011852
bos_taurus ENSBTAG00000003077
bos_mutus ENSBMUG00000002373
bison_bison_bison ENSBBBG00000019075
tursiops_truncatus ENSTTRG00000017257
sus_scrofa ENSSSCG00000012995
vicugna_pacos ENSVPAG00000000623
saimiri_boliviensis_boliviensis ENSSBOG00000029354
callithrix_jacchus ENSCJAG00000002301
cebus_capucinus ENSCCAG00000029873
aotus_nancymaae ENSANAG00000035150
pan_paniscus ENSPPAG00000043218
pan_troglodytes ENSPTRG00000003872
homo_sapiens ENSG00000133884
gorilla_gorilla ENSGGOG00000026412
pongo_abelii ENSPPYG00000003069
nomascus_leucogenys ENSNLEG00000005574
mandrillus_leucophaeus ENSMLEG00000034766
papio_anubis ENSPANG00000004688
macaca_mulatta ENSMMUG00000012317
macaca_fascicularis ENSMFAG00000000560
macaca_nemestrina ENSMNEG00000032739
cercocebus_atys ENSCATG00000044255
theropithecus_gelada ENSTGEG00000009427
chlorocebus_sabaeus ENSCSAG00000007767
piliocolobus_tephrosceles ENSPTEG00000024101
colobus_angolensis_palliatus ENSCANG00000043074
rhinopithecus_bieti ENSRBIG00000027097
rhinopithecus_roxellana ENSRROG00000036505
pan_troglodytes ENSPTRG00000046619
pan_paniscus ENSPPAG00000035883
gorilla_gorilla ENSGGOG00000014758
nomascus_leucogenys ENSNLEG00000032784
piliocolobus_tephrosceles ENSPTEG00000018432
theropithecus_gelada ENSTGEG00000010250
carlito_syrichta ENSTSYG00000000038
propithecus_coquereli ENSPCOG00000027002
microcebus_murinus ENSMICG00000008672
prolemur_simus ENSPSMG00000000228
otolemur_garnettii ENSOGAG00000014697
tupaia_belangeri ENSTBEG00000010120
castor_canadensis ENSCCNG00000024857
dipodomys_ordii ENSDORG00000011600
heterocephalus_glaber_male ENSHGLG00100017915
cricetulus_griseus_chok1gshd ENSCGRG00001020101
cricetulus_griseus_crigri ENSCGRG00000002327
cricetulus_griseus_crigri-picr ENSCGRG00015014613
mesocricetus_auratus ENSMAUG00000015922
peromyscus_maniculatus_bairdii ENSPEMG00000010943
peromyscus_maniculatus_bairdii ENSPEMG00000011637
microtus_ochrogaster ENSMOCG00000021188
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023489
mus_spicilegus ENSMSIG00000030307
mus_musculus ENSMUSG00000024826
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022575
mus_pahari MGP_PahariEiJ_G0014072
rattus_norvegicus ENSRNOG00000020892
meriones_unguiculatus ENSMUGG00000020560
nannospalax_galili ENSNGAG00000014669
jaculus_jaculus ENSJJAG00000018564
chinchilla_lanigera ENSCLAG00000016884
octodon_degus ENSODEG00000017997
cavia_porcellus ENSCPOG00000021560
cavia_aperea ENSCAPG00000014217
heterocephalus_glaber_female ENSHGLG00000010867
heterocephalus_glaber_male ENSHGLG00100017254
fukomys_damarensis ENSFDAG00000020975
urocitellus_parryii ENSUPAG00010009890
marmota_marmota_marmota ENSMMMG00000010009
ictidomys_tridecemlineatus ENSSTOG00000003746
spermophilus_dauricus ENSSDAG00000006723
spermophilus_dauricus ENSSDAG00000010021
peromyscus_maniculatus_bairdii ENSPEMG00000026547
dasypus_novemcinctus ENSDNOG00000042153
choloepus_hoffmanni ENSCHOG00000009506
loxodonta_africana ENSLAFG00000016450
procavia_capensis ENSPCAG00000000083
oryctolagus_cuniculus ENSOCUG00000004593
ochotona_princeps ENSOPRG00000006232
echinops_telfairi ENSETEG00000009861
notamacropus_eugenii ENSMEUG00000010850
phascolarctos_cinereus ENSPCIG00000029217
sarcophilus_harrisii ENSSHAG00000003172
monodelphis_domestica ENSMODG00000009794
ornithorhynchus_anatinus ENSOANG00000002079
lonchura_striata_domestica ENSLSDG00000006112
taeniopygia_guttata ENSTGUG00000016038
manacus_vitellinus ENSMVIG00005000953
cyanistes_caeruleus ENSCCEG00000017721
ficedula_albicollis ENSFALG00000012848
parus_major ENSPMJG00000003384
serinus_canaria ENSSCAG00000006029
manacus_vitellinus ENSMVIG00005000943
lepidothrix_coronata ENSLCOG00000002739
junco_hyemalis ENSJHYG00000012903
apteryx_owenii ENSAOWG00000013124
apteryx_haastii ENSAHAG00000019665
apteryx_rowi ENSARWG00000003214
calidris_pygmaea ENSCPGG00000009210
meleagris_gallopavo ENSMGAG00000009931
numida_meleagris ENSNMEG00000005020
coturnix_japonica ENSCJPG00005005840
calidris_pugnax ENSCPUG00000000834
calidris_pugnax ENSCPUG00000000821
calidris_pugnax ENSCPUG00000000817
anolis_carolinensis ENSACAG00000024392
tetraodon_nigroviridis ENSTNIG00000017436
takifugu_rubripes ENSTRUG00000014959
mola_mola ENSMMOG00000001599
gasterosteus_aculeatus ENSGACG00000005935
xiphophorus_maculatus ENSXMAG00000026177
xiphophorus_couchianus ENSXCOG00000010894
poecilia_latipinna ENSPLAG00000014368
poecilia_formosa ENSPFOG00000013496
poecilia_mexicana ENSPMEG00000012171
poecilia_reticulata ENSPREG00000019549
gambusia_affinis ENSGAFG00000017175
fundulus_heteroclitus ENSFHEG00000013909
cyprinodon_variegatus ENSCVAG00000008130
kryptolebias_marmoratus ENSKMAG00000001479
oryzias_latipes_asm223469v1 ENSORLG00015004720
oryzias_latipes ENSORLG00000016762
oryzias_latipes ENSORLG00020005347
oryzias_melastigma ENSOMEG00000019672
astatotilapia_calliptera ENSACLG00000001433
maylandia_zebra ENSMZEG00005009306
pundamilia_nyererei ENSPNYG00000022003
haplochromis_burtoni ENSHBUG00000017752
oreochromis_niloticus ENSONIG00000012058
neolamprologus_brichardi ENSNBRG00000002977
amphilophus_citrinellus ENSACIG00000009134
amphiprion_percula ENSAPEG00000002070
amphiprion_ocellaris ENSAOCG00000009546
acanthochromis_polyacanthus ENSAPOG00000004051
stegastes_partitus ENSSPAG00000023202
seriola_lalandi_dorsalis ENSSLDG00000021906
seriola_dumerili ENSSDUG00000004507
cynoglossus_semilaevis ENSCSEG00000000941
labrus_bergylta ENSLBEG00000027099
mastacembelus_armatus ENSMAMG00000006717
monopterus_albus ENSMALG00000015897
anabas_testudineus ENSATEG00000002746
periophthalmus_magnuspinnatus ENSPMGG00000015485
hippocampus_comes ENSHCOG00000014660
gadus_morhua ENSGMOG00000016092
nothoprocta_perdicaria ENSNPEG00000013375
notechis_scutatus ENSNSUG00000017262
pogona_vitticeps ENSPVIG00000003629
salvator_merianae ENSSMRG00000020354
sphenodon_punctatus ENSSPUG00000000759
gopherus_agassizii ENSGAGG00000014005
chelonoidis_abingdonii ENSCABG00000001614
chrysemys_picta_bellii ENSCPBG00000023614
pelodiscus_sinensis ENSPSIG00000010805
latimeria_chalumnae ENSLACG00000010180
mastacembelus_armatus ENSMAMG00000000360
monopterus_albus ENSMALG00000012762
anabas_testudineus ENSATEG00000013844
labrus_bergylta ENSLBEG00000027352
seriola_dumerili ENSSDUG00000016305
seriola_lalandi_dorsalis ENSSLDG00000015218
mola_mola ENSMMOG00000003031
cynoglossus_semilaevis ENSCSEG00000006094
gasterosteus_aculeatus ENSGACG00000017632
scophthalmus_maximus ENSSMAG00000018242
astatotilapia_calliptera ENSACLG00000015806
maylandia_zebra ENSMZEG00005004207
haplochromis_burtoni ENSHBUG00000012016
pundamilia_nyererei ENSPNYG00000015554
neolamprologus_brichardi ENSNBRG00000003106
oreochromis_niloticus ENSONIG00000005264
amphilophus_citrinellus ENSACIG00000022069
poecilia_latipinna ENSPLAG00000023225
poecilia_formosa ENSPFOG00000010752
poecilia_mexicana ENSPMEG00000003346
poecilia_reticulata ENSPREG00000015970
xiphophorus_maculatus ENSXMAG00000009802
xiphophorus_couchianus ENSXCOG00000001925
gambusia_affinis ENSGAFG00000000826
cyprinodon_variegatus ENSCVAG00000012084
fundulus_heteroclitus ENSFHEG00000002746
kryptolebias_marmoratus ENSKMAG00000013618
oryzias_latipes ENSORLG00000002835
oryzias_latipes_asm223469v1 ENSORLG00015017764
oryzias_latipes ENSORLG00020018350
oryzias_melastigma ENSOMEG00000019422
amphiprion_percula ENSAPEG00000010630
amphiprion_ocellaris ENSAOCG00000011403
acanthochromis_polyacanthus ENSAPOG00000013765
stegastes_partitus ENSSPAG00000008754
hippocampus_comes ENSHCOG00000008986
periophthalmus_magnuspinnatus ENSPMGG00000017785
takifugu_rubripes ENSTRUG00000014692
tetraodon_nigroviridis ENSTNIG00000016789
gadus_morhua ENSGMOG00000012198
esox_lucius ENSELUG00000005633
astyanax_mexicanus ENSAMXG00000034779
pygocentrus_nattereri ENSPNAG00000023318
ictalurus_punctatus ENSIPUG00000002015
danio_rerio ENSDARG00000037291
paramormyrops_kingsleyae ENSPKIG00000019113
scleropages_formosus ENSSFOG00015005603
xiphophorus_maculatus ENSXMAG00000012461
xiphophorus_couchianus ENSXCOG00000006942
gambusia_affinis ENSGAFG00000003949
poecilia_formosa ENSPFOG00000010917
poecilia_mexicana ENSPMEG00000021767
poecilia_latipinna ENSPLAG00000012465
poecilia_reticulata ENSPREG00000023000
fundulus_heteroclitus ENSFHEG00000003564
cyprinodon_variegatus ENSCVAG00000012609
kryptolebias_marmoratus ENSKMAG00000009108
oryzias_latipes_asm223469v1 ENSORLG00015009866
oryzias_latipes ENSORLG00020004610
oryzias_latipes ENSORLG00000007390
oryzias_melastigma ENSOMEG00000002306
amphilophus_citrinellus ENSACIG00000010529
scophthalmus_maximus ENSSMAG00000013886
amphiprion_percula ENSAPEG00000001796
amphiprion_ocellaris ENSAOCG00000008038
acanthochromis_polyacanthus ENSAPOG00000005997
stegastes_partitus ENSSPAG00000000566
maylandia_zebra ENSMZEG00005016695
astatotilapia_calliptera ENSACLG00000015457
pundamilia_nyererei ENSPNYG00000016943
haplochromis_burtoni ENSHBUG00000023076
neolamprologus_brichardi ENSNBRG00000020992
oreochromis_niloticus ENSONIG00000005334
mastacembelus_armatus ENSMAMG00000016763
monopterus_albus ENSMALG00000017136
anabas_testudineus ENSATEG00000016175
seriola_dumerili ENSSDUG00000010990
seriola_lalandi_dorsalis ENSSLDG00000018516
takifugu_rubripes ENSTRUG00000025548
tetraodon_nigroviridis ENSTNIG00000010057
mola_mola ENSMMOG00000016658
labrus_bergylta ENSLBEG00000024416
gasterosteus_aculeatus ENSGACG00000020405
hippocampus_comes ENSHCOG00000002025
periophthalmus_magnuspinnatus ENSPMGG00000020094
gadus_morhua ENSGMOG00000018636
esox_lucius ENSELUG00000017145
pygocentrus_nattereri ENSPNAG00000011701
astyanax_mexicanus ENSAMXG00000001974
ictalurus_punctatus ENSIPUG00000021418
danio_rerio ENSDARG00000012219
paramormyrops_kingsleyae ENSPKIG00000004967
scleropages_formosus ENSSFOG00015002492
lepisosteus_oculatus ENSLOCG00000002649
petromyzon_marinus ENSPMAG00000009440
eptatretus_burgeri ENSEBUG00000007895
scleropages_formosus ENSSFOG00015016979
ciona_savignyi ENSCSAVG00000004815
ciona_intestinalis ENSCING00000018662
