theropithecus_gelada ENSTGEG00000006295
piliocolobus_tephrosceles ENSPTEG00000021213
prolemur_simus ENSPSMG00000003923
cricetulus_griseus_crigri-picr ENSCGRG00015000354
cricetulus_griseus_crigri ENSCGRG00000018947
cricetulus_griseus_chok1gshd ENSCGRG00001003201
peromyscus_maniculatus_bairdii ENSPEMG00000031317
mus_spicilegus ENSMSIG00000019462
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026912
mus_musculus ENSMUSG00000050215
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025951
mus_pahari MGP_PahariEiJ_G0024096
rattus_norvegicus ENSRNOG00000015652
meriones_unguiculatus ENSMUGG00000006570
nannospalax_galili ENSNGAG00000021114
jaculus_jaculus ENSJJAG00000012082
castor_canadensis ENSCCNG00000028408
spermophilus_dauricus ENSSDAG00000021659
urocitellus_parryii ENSUPAG00010017627
spermophilus_dauricus ENSSDAG00000021662
ictidomys_tridecemlineatus ENSSTOG00000007067
cavia_aperea ENSCAPG00000007701
cavia_porcellus ENSCPOG00000022117
chinchilla_lanigera ENSCLAG00000002334
oryctolagus_cuniculus ENSOCUG00000026831
bos_taurus ENSBTAG00000052564
bos_mutus ENSBMUG00000009479
bison_bison_bison ENSBBBG00000017009
bison_bison_bison ENSBBBG00000017026
bos_taurus ENSBTAG00000052875
bos_mutus ENSBMUG00000009576
bos_mutus ENSBMUG00000024257
bos_taurus ENSBTAG00000053732
ovis_aries ENSOARG00000001435
capra_hircus ENSCHIG00000013865
bos_mutus ENSBMUG00000009534
bison_bison_bison ENSBBBG00000016996
sus_scrofa ENSSSCG00000005326
myotis_lucifugus ENSMLUG00000023784
ursus_maritimus ENSUMAG00000007462
ursus_americanus ENSUAMG00000009922
ailuropoda_melanoleuca ENSAMEG00000019337
mustela_putorius_furo ENSMPUG00000018504
felis_catus ENSFCAG00000030010
dasypus_novemcinctus ENSDNOG00000040303
loxodonta_africana ENSLAFG00000026344
