sarcophilus_harrisii ENSSHAG00000007875
phascolarctos_cinereus ENSPCIG00000030931
notamacropus_eugenii ENSMEUG00000009586
monodelphis_domestica ENSMODG00000013894
monodelphis_domestica ENSMODG00000000664
loxodonta_africana ENSLAFG00000032597
procavia_capensis ENSPCAG00000004291
ovis_aries ENSOARG00000004837
capra_hircus ENSCHIG00000016748
bos_mutus ENSBMUG00000016732
bos_taurus ENSBTAG00000015915
bison_bison_bison ENSBBBG00000023516
tursiops_truncatus ENSTTRG00000015130
sus_scrofa ENSSSCG00000033702
erinaceus_europaeus ENSEEUG00000007386
neovison_vison ENSNVIG00000017941
mustela_putorius_furo ENSMPUG00000006888
canis_lupus_dingo ENSCAFG00020019121
vulpes_vulpes ENSVVUG00000015151
ailuropoda_melanoleuca ENSAMEG00000000347
ursus_maritimus ENSUMAG00000018524
panthera_tigris_altaica ENSPTIG00000016489
panthera_pardus ENSPPRG00000024008
felis_catus ENSFCAG00000023717
myotis_lucifugus ENSMLUG00000017105
equus_caballus ENSECAG00000030532
equus_asinus_asinus ENSEASG00005000465
propithecus_coquereli ENSPCOG00000007626
microcebus_murinus ENSMICG00000042629
prolemur_simus ENSPSMG00000024431
otolemur_garnettii ENSOGAG00000001494
carlito_syrichta ENSTSYG00000028529
oryctolagus_cuniculus ENSOCUG00000010917
rhinopithecus_roxellana ENSRROG00000019100
colobus_angolensis_palliatus ENSCANG00000032472
piliocolobus_tephrosceles ENSPTEG00000016310
macaca_fascicularis ENSMFAG00000001196
macaca_mulatta ENSMMUG00000000836
theropithecus_gelada ENSTGEG00000010390
cercocebus_atys ENSCATG00000032639
chlorocebus_sabaeus ENSCSAG00000004493
macaca_nemestrina ENSMNEG00000027478
mandrillus_leucophaeus ENSMLEG00000037895
papio_anubis ENSPANG00000010970
rhinopithecus_bieti ENSRBIG00000028525
homo_sapiens ENSG00000189001
gorilla_gorilla ENSGGOG00000000126
pan_paniscus ENSPPAG00000038927
pan_troglodytes ENSPTRG00000010847
pongo_abelii ENSPPYG00000009866
nomascus_leucogenys ENSNLEG00000011196
cebus_capucinus ENSCCAG00000025043
callithrix_jacchus ENSCJAG00000010338
saimiri_boliviensis_boliviensis ENSSBOG00000017970
aotus_nancymaae ENSANAG00000025944
rhinopithecus_bieti ENSRBIG00000027742
urocitellus_parryii ENSUPAG00010011431
dipodomys_ordii ENSDORG00000029573
mus_musculus ENSMUSG00000046056
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029543
mus_spicilegus ENSMSIG00000011482
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030639
mus_pahari MGP_PahariEiJ_G0012777
rattus_norvegicus ENSRNOG00000021015
meriones_unguiculatus ENSMUGG00000013552
cricetulus_griseus_crigri ENSCGRG00000010501
cricetulus_griseus_crigri-picr ENSCGRG00015012601
cricetulus_griseus_chok1gshd ENSCGRG00001014797
mesocricetus_auratus ENSMAUG00000016689
microtus_ochrogaster ENSMOCG00000002298
peromyscus_maniculatus_bairdii ENSPEMG00000011203
nannospalax_galili ENSNGAG00000014325
jaculus_jaculus ENSJJAG00000017376
castor_canadensis ENSCCNG00000008454
urocitellus_parryii ENSUPAG00010011418
spermophilus_dauricus ENSSDAG00000008449
ictidomys_tridecemlineatus ENSSTOG00000027294
marmota_marmota_marmota ENSMMMG00000005884
heterocephalus_glaber_female ENSHGLG00000015078
heterocephalus_glaber_male ENSHGLG00100018266
fukomys_damarensis ENSFDAG00000016320
chinchilla_lanigera ENSCLAG00000012824
octodon_degus ENSODEG00000014823
cavia_aperea ENSCAPG00000006219
cavia_porcellus ENSCPOG00000030769
dasypus_novemcinctus ENSDNOG00000032403
canis_lupus_familiaris ENSCAFG00000031912
ursus_americanus ENSUAMG00000020731
choloepus_hoffmanni ENSCHOG00000013104
echinops_telfairi ENSETEG00000000585
ornithorhynchus_anatinus ENSOANG00000008108
