poecilia_mexicana ENSPMEG00000011812
poecilia_reticulata ENSPREG00000007120
poecilia_formosa ENSPFOG00000006340
xiphophorus_couchianus ENSXCOG00000002110
fundulus_heteroclitus ENSFHEG00000016288
cyprinodon_variegatus ENSCVAG00000012054
kryptolebias_marmoratus ENSKMAG00000021541
oryzias_latipes ENSORLG00020005600
neolamprologus_brichardi ENSNBRG00000000658
neolamprologus_brichardi ENSNBRG00000016427
oreochromis_niloticus ENSONIG00000016686
amphiprion_percula ENSAPEG00000024065
amphiprion_ocellaris ENSAOCG00000001123
acanthochromis_polyacanthus ENSAPOG00000019895
scophthalmus_maximus ENSSMAG00000000572
cynoglossus_semilaevis ENSCSEG00000003337
seriola_dumerili ENSSDUG00000012733
seriola_lalandi_dorsalis ENSSLDG00000008825
mastacembelus_armatus ENSMAMG00000003059
hippocampus_comes ENSHCOG00000013860
labrus_bergylta ENSLBEG00000012890
esox_lucius ENSELUG00000009564
