eptatretus_burgeri ENSEBUG00000014676
petromyzon_marinus ENSPMAG00000002333
paramormyrops_kingsleyae ENSPKIG00000020067
scleropages_formosus ENSSFOG00015023266
amphilophus_citrinellus ENSACIG00000005175
tetraodon_nigroviridis ENSTNIG00000011927
amphiprion_ocellaris ENSAOCG00000002099
amphiprion_percula ENSAPEG00000008053
acanthochromis_polyacanthus ENSAPOG00000021763
stegastes_partitus ENSSPAG00000020491
astatotilapia_calliptera ENSACLG00000018580
maylandia_zebra ENSMZEG00005005769
pundamilia_nyererei ENSPNYG00000009810
haplochromis_burtoni ENSHBUG00000021002
neolamprologus_brichardi ENSNBRG00000008088
oreochromis_niloticus ENSONIG00000002903
kryptolebias_marmoratus ENSKMAG00000001726
mola_mola ENSMMOG00000016280
takifugu_rubripes ENSTRUG00000025507
labrus_bergylta ENSLBEG00000000161
gasterosteus_aculeatus ENSGACG00000014624
periophthalmus_magnuspinnatus ENSPMGG00000006957
poecilia_mexicana ENSPMEG00000011090
poecilia_formosa ENSPFOG00000014152
poecilia_latipinna ENSPLAG00000011109
poecilia_reticulata ENSPREG00000008079
xiphophorus_maculatus ENSXMAG00000022710
xiphophorus_couchianus ENSXCOG00000012651
cyprinodon_variegatus ENSCVAG00000009596
oryzias_latipes ENSORLG00000014262
oryzias_latipes ENSORLG00020019646
oryzias_latipes_asm223469v1 ENSORLG00015017903
oryzias_melastigma ENSOMEG00000017062
scophthalmus_maximus ENSSMAG00000009973
cynoglossus_semilaevis ENSCSEG00000011181
seriola_lalandi_dorsalis ENSSLDG00000016630
seriola_dumerili ENSSDUG00000007455
monopterus_albus ENSMALG00000014456
mastacembelus_armatus ENSMAMG00000005273
anabas_testudineus ENSATEG00000004025
hippocampus_comes ENSHCOG00000001248
gadus_morhua ENSGMOG00000002132
esox_lucius ENSELUG00000007348
astyanax_mexicanus ENSAMXG00000043216
ictalurus_punctatus ENSIPUG00000010197
danio_rerio ENSDARG00000076618
lepisosteus_oculatus ENSLOCG00000014600
anser_brachyrhynchus ENSABRG00000015279
anas_platyrhynchos_platyrhynchos ENSAPLG00000009696
meleagris_gallopavo ENSMGAG00000005044
coturnix_japonica ENSCJPG00005012703
gallus_gallus ENSGALG00000026271
numida_meleagris ENSNMEG00000021304
taeniopygia_guttata ENSTGUG00000005792
lonchura_striata_domestica ENSLSDG00000015376
serinus_canaria ENSSCAG00000016533
zonotrichia_albicollis ENSZALG00000000832
junco_hyemalis ENSJHYG00000016219
ficedula_albicollis ENSFALG00000012412
parus_major ENSPMJG00000015951
cyanistes_caeruleus ENSCCEG00000004085
lepidothrix_coronata ENSLCOG00000004482
manacus_vitellinus ENSMVIG00005016613
calidris_pygmaea ENSCPGG00000010744
calidris_pugnax ENSCPUG00000015823
melopsittacus_undulatus ENSMUNG00000015653
apteryx_haastii ENSAHAG00000012269
apteryx_owenii ENSAOWG00000009020
apteryx_rowi ENSARWG00000011156
dromaius_novaehollandiae ENSDNVG00000018463
nothoprocta_perdicaria ENSNPEG00000003367
crocodylus_porosus ENSCPRG00005009334
gopherus_agassizii ENSGAGG00000010788
chelonoidis_abingdonii ENSCABG00000008408
chrysemys_picta_bellii ENSCPBG00000010781
pelodiscus_sinensis ENSPSIG00000008431
sphenodon_punctatus ENSSPUG00000001555
neovison_vison ENSNVIG00000006409
mustela_putorius_furo ENSMPUG00000010985
ursus_americanus ENSUAMG00000019871
ursus_maritimus ENSUMAG00000024478
ailuropoda_melanoleuca ENSAMEG00000003063
canis_lupus_dingo ENSCAFG00020020812
canis_lupus_familiaris ENSCAFG00000010503
vulpes_vulpes ENSVVUG00000014697
panthera_tigris_altaica ENSPTIG00000013716
panthera_pardus ENSPPRG00000011846
felis_catus ENSFCAG00000029210
equus_caballus ENSECAG00000022561
equus_asinus_asinus ENSEASG00005017716
bos_mutus ENSBMUG00000013642
bos_taurus ENSBTAG00000007649
bison_bison_bison ENSBBBG00000001955
ovis_aries ENSOARG00000016585
capra_hircus ENSCHIG00000016740
vicugna_pacos ENSVPAG00000010580
tursiops_truncatus ENSTTRG00000016203
sus_scrofa ENSSSCG00000005782
macaca_fascicularis ENSMFAG00000021961
macaca_mulatta ENSMMUG00000000277
macaca_nemestrina ENSMNEG00000042388
mandrillus_leucophaeus ENSMLEG00000032831
papio_anubis ENSPANG00000022400
cercocebus_atys ENSCATG00000045049
theropithecus_gelada ENSTGEG00000012899
chlorocebus_sabaeus ENSCSAG00000016830
rhinopithecus_roxellana ENSRROG00000045294
rhinopithecus_bieti ENSRBIG00000037615
colobus_angolensis_palliatus ENSCANG00000036775
piliocolobus_tephrosceles ENSPTEG00000037876
homo_sapiens ENSG00000184277
gorilla_gorilla ENSGGOG00000011598
pan_troglodytes ENSPTRG00000007515
pan_paniscus ENSPPAG00000036970
pongo_abelii ENSPPYG00000006829
nomascus_leucogenys ENSNLEG00000000529
saimiri_boliviensis_boliviensis ENSSBOG00000022550
cebus_capucinus ENSCCAG00000033979
callithrix_jacchus ENSCJAG00000017340
aotus_nancymaae ENSANAG00000036977
carlito_syrichta ENSTSYG00000004536
prolemur_simus ENSPSMG00000007576
microcebus_murinus ENSMICG00000013029
propithecus_coquereli ENSPCOG00000000142
otolemur_garnettii ENSOGAG00000010190
cricetulus_griseus_chok1gshd ENSCGRG00001000383
cricetulus_griseus_crigri-picr ENSCGRG00015020446
cricetulus_griseus_crigri ENSCGRG00000013516
mesocricetus_auratus ENSMAUG00000013075
peromyscus_maniculatus_bairdii ENSPEMG00000009183
microtus_ochrogaster ENSMOCG00000020623
mus_spicilegus ENSMSIG00000022212
mus_musculus ENSMUSG00000078681
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030937
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029835
mus_pahari MGP_PahariEiJ_G0013060
rattus_norvegicus ENSRNOG00000011290
meriones_unguiculatus ENSMUGG00000022215
nannospalax_galili ENSNGAG00000021108
jaculus_jaculus ENSJJAG00000010106
heterocephalus_glaber_male ENSHGLG00100016135
heterocephalus_glaber_female ENSHGLG00000012566
fukomys_damarensis ENSFDAG00000017188
chinchilla_lanigera ENSCLAG00000012439
octodon_degus ENSODEG00000014026
cavia_porcellus ENSCPOG00000008845
cavia_aperea ENSCAPG00000010008
castor_canadensis ENSCCNG00000025419
dipodomys_ordii ENSDORG00000009651
urocitellus_parryii ENSUPAG00010009894
spermophilus_dauricus ENSSDAG00000015586
ictidomys_tridecemlineatus ENSSTOG00000009090
marmota_marmota_marmota ENSMMMG00000021261
myotis_lucifugus ENSMLUG00000012867
pteropus_vampyrus ENSPVAG00000006750
sorex_araneus ENSSARG00000010984
ochotona_princeps ENSOPRG00000010669
oryctolagus_cuniculus ENSOCUG00000010730
erinaceus_europaeus ENSEEUG00000012128
echinops_telfairi ENSETEG00000014081
procavia_capensis ENSPCAG00000011078
loxodonta_africana ENSLAFG00000011938
choloepus_hoffmanni ENSCHOG00000013423
dasypus_novemcinctus ENSDNOG00000004153
phascolarctos_cinereus ENSPCIG00000022485
notamacropus_eugenii ENSMEUG00000002928
monodelphis_domestica ENSMODG00000011956
ornithorhynchus_anatinus ENSOANG00000013262
anolis_carolinensis ENSACAG00000000192
notechis_scutatus ENSNSUG00000019035
salvator_merianae ENSSMRG00000007534
pogona_vitticeps ENSPVIG00000007388
xenopus_tropicalis ENSXETG00000026576
latimeria_chalumnae ENSLACG00000018693
ciona_savignyi ENSCSAVG00000011274
drosophila_melanogaster FBgn0000077
caenorhabditis_elegans_strain_n2 WBGene00016567
