dasypus_novemcinctus ENSDNOG00000039730
choloepus_hoffmanni ENSCHOG00000010625
rhinopithecus_bieti ENSRBIG00000038006
rhinopithecus_roxellana ENSRROG00000034625
colobus_angolensis_palliatus ENSCANG00000015421
piliocolobus_tephrosceles ENSPTEG00000036647
macaca_fascicularis ENSMFAG00000037128
macaca_mulatta ENSMMUG00000002537
macaca_nemestrina ENSMNEG00000044819
cercocebus_atys ENSCATG00000026070
mandrillus_leucophaeus ENSMLEG00000044146
theropithecus_gelada ENSTGEG00000003390
papio_anubis ENSPANG00000013432
pan_paniscus ENSPPAG00000024230
pan_troglodytes ENSPTRG00000017870
homo_sapiens ENSG00000137185
gorilla_gorilla ENSGGOG00000000688
pongo_abelii ENSPPYG00000029879
nomascus_leucogenys ENSNLEG00000004504
saimiri_boliviensis_boliviensis ENSSBOG00000019006
cebus_capucinus ENSCCAG00000030777
callithrix_jacchus ENSCJAG00000018658
aotus_nancymaae ENSANAG00000029003
carlito_syrichta ENSTSYG00000006203
microcebus_murinus ENSMICG00000010443
propithecus_coquereli ENSPCOG00000014448
prolemur_simus ENSPSMG00000015681
tupaia_belangeri ENSTBEG00000005669
chinchilla_lanigera ENSCLAG00000006959
cavia_porcellus ENSCPOG00000013706
equus_caballus ENSECAG00000015075
equus_asinus_asinus ENSEASG00005012094
ursus_maritimus ENSUMAG00000019401
ursus_americanus ENSUAMG00000021366
ailuropoda_melanoleuca ENSAMEG00000019895
neovison_vison ENSNVIG00000014090
panthera_pardus ENSPPRG00000013228
panthera_tigris_altaica ENSPTIG00000020285
felis_catus ENSFCAG00000033998
bos_mutus ENSBMUG00000006954
bos_taurus ENSBTAG00000040168
bison_bison_bison ENSBBBG00000014296
tursiops_truncatus ENSTTRG00000013203
sus_scrofa ENSSSCG00000001203
vicugna_pacos ENSVPAG00000000028
procavia_capensis ENSPCAG00000015393
procavia_capensis ENSPCAG00000000616
phascolarctos_cinereus ENSPCIG00000031913
